Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Life after Bilski [article],"Lemley, Mark A. (Cited 14493 times); Risch, Michael (Cited 689 times); Sichelman, Ted (Cited 791 times); Wagner, R. Polk (Cited 1284 times)",4880,"Stanford Law Review, Vol. 63, Issue 6 (June 2011), pp. 1315-1348",63 Stan. L. Rev. 1315 (2010-2011),"Software, Cloud Computing, Intellectual Property Law, Science and Technology",155,32,36
Everything is Patentable [article],"Risch, Michael (Cited 689 times)",4880,"Tennessee Law Review, Vol. 75, Issue 4 (Summer 2008), pp. 591-658",75 Tenn. L. Rev. 591 (2007-2008),"Intellectual Property Law, Software",103,4,23
Patent Troll Myths [article],"Risch, Michael (Cited 689 times)",4880,"Seton Hall Law Review, Vol. 42, Issue 2 (2012), pp. 457-500",42 Seton Hall L. Rev. 457 (2012),"Comparative Law, States, Dispute Resolution, Intellectual Property Law, Law and Society",99,na,110
The Failure of Public Notice in Patent Prosecution [article],"Risch, Michael (Cited 689 times)",4880,"Harvard Journal of Law & Technology, Vol. 21, Issue 1 (Fall 2007), pp. 179-232",21 Harv. J. L. & Tech. 179 (2007-2008),"Intellectual Property Law, Notice, Presumptions, Practice and Procedure",65,na,11
Why Do We Have Trade Secrets [article],"Risch, Michael (Cited 689 times)",4880,"Marquette Intellectual Property Law Review, Vol. 11, Issue 1 (Winter 2007), pp. 1-76",11 Marq. Intell. Prop. L. Rev. 1 (2007),"Trade Secrets, Intellectual Property Law, Obligations",60,1,69
America's First Patents [article],"Risch, Michael (Cited 689 times)",4880,"Florida Law Review, Vol. 64, Issue 5 (September 2012), pp. 1279-1336",64 Fla. L. Rev. 1279 (2012),"Research, Trademarks",26,na,11
Reinventing Usefulness [article],"Risch, Michael (Cited 689 times)",4880,"Brigham Young University Law Review, Vol. 2010, Issue 4 (2010), pp. 1195-1256",2010 BYU L. Rev. 1195 (2010),"Intellectual Property Law, Labor",26,na,8
A Surprisingly Useful Requirement [article],"Risch, Michael (Cited 689 times)",4880,"George Mason Law Review, Vol. 19, Issue 1 (Fall 2011), pp. 57-112",19 Geo. Mason L. Rev. 57 (2011-2012),Intellectual Property Law,23,na,4
Patent Portfolios as Securities [article],"Risch, Michael (Cited 689 times)",4880,"Duke Law Journal, Vol. 63, Issue 1 (October 2013), pp. 89-154",63 Duke L.J. 89 (2013-2014),"Securities Law, Economics, Intellectual Property Law, Fees, Maintenance",21,na,22
Licensing Acquired Patents [article],"Risch, Michael (Cited 689 times)",4880,"George Mason Law Review, Vol. 21, Issue 4 (2014), pp. 979-1014",21 Geo. Mason L. Rev. 979 (2014),"Licensing, Legislation, Practice and Procedure",16,na,13
Patent Challenges and Royalty Inflation [article],"Risch, Michael (Cited 689 times)",4880,"Indiana Law Journal , Vol. 85, Issue 3 (Summer 2010), pp. 1003-1058",85 Ind. L.J. 1003 (2010),"Economics, Licensing, Revolution",16,na,7
Virtual Rule of Law [article],"Risch, Michael (Cited 689 times)",4880,"West Virginia Law Review, Vol. 112, Issue 1 (2009), pp. 1-52",112 W. Va. L. Rev. 1 (2009-2010),"Commercial Law, Intellectual Property Law, Rule of Law, Science and Technology, International Agencies, Money Laundering, Capital Gains",15,na,38
Functionality and Graphical User Interface Design Patents [article],"Risch, Michael (Cited 689 times)",4880,"Stanford Technology Law Review, Vol. 17, pp. 53-106",17 Stan. Tech. L. Rev. 53 (2013-2014),"Software, Computer Law, Intellectual Property Law, Trade Dress, Constitutional Law",15,na,36
A Generation of Patent Litigation [article],"Risch, Michael (Cited 689 times)",4880,"San Diego Law Review, Vol. 52, Issue 1 (February-March 2015), pp. 67-132",52 San Diego L. Rev. 67 (2015),"Intellectual Property Law, Business Organizations",15,na,26
Recalibrating Patent Venue [article],"Chien, Colleen V. (Cited 832 times); Risch, Michael (Cited 689 times)",4880,"Maryland Law Review, Vol. 77, Issue 1 (2017), pp. 47-107",77 Md. L. Rev. 47 (2017-2018),"Intellectual Property Law, Practice and Procedure, Age, Internet",7,na,27
