Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Taking the New Consumer Bankruptcy Model for a Test Drive: Means-Testing Real Chapter 7 Debtors [notes],"Culhane, Marianne B. (Cited 252 times); White, Michaela M. (Cited 268 times)",9618,"American Bankrutpcy Institute Law Review, Vol. 7, Issue 1 (Spring 1999), pp. 27-78",7 Am. Bankr. Inst. L. Rev. 27 (1999),"Bankruptcy Law, Bankruptcy Law",84,na,11
Catching Can-Pay Debtors: Is the Means Test the Only Way [article],"Culhane, Marianne B. (Cited 252 times); White, Michaela M. (Cited 268 times)",9618,"American Bankruptcy Institute Law Review, Vol. 13, Issue 2 (Winter 2005), pp. 665-700",13 Am. Bankr. Inst. L. Rev. 665 (2005),"Judges, Judicial Discretion, Bankruptcy Law, Ownership",56,50,13
Debt after Discharge: An Empirical Study of Reaffirmation [article],"Culhane, Marianne B. (Cited 252 times); White, Michaela M. (Cited 268 times)",9618,"American Bankruptcy Law Journal, Vol. 73, Issue 4 (Fall 1999), pp. 709-774",73 Am. Bankr. L.J. 709 (1999),"Debts, Bankruptcy Law",47,3,2
Does U.C.C. Section 1-207 Apply to the Doctrine of Accord and Satisfaction by Conditional Check [comments],"White, Michaela (Cited 268 times)",9618,"Creighton Law Review, Vol. 11, Issue 2 (1977-1978), pp. 515-528",11 Creighton L. Rev. 515 (1977-1978),"Common Law, Commercial Code, Contracts, Uniform Commercial Code",18,5,1
Divorce after the Bankruptcy Reform Act of 1994: Can You Stay Warm after You Split the Blanket [article],"White, Michaela M. (Cited 268 times)",9618,"Creighton Law Review, Vol. 29, Issue 2 (February 1996), pp. 617-646",29 Creighton L. Rev. 617 (February 1996),"Bankruptcy Law, Divorce, Domestic Relations, Family Responsibility/Support Laws, Aviation",13,na,2
Strange Bedfellows: The Uneasy Alliance between Bankruptcy and Family Law [article],"White, Michaela M. (Cited 268 times)",9618,"New Mexico Law Review, Vol. 17, Issue 1 (Winter 1987), pp. 1-54",17 N.M. L. Rev. 1 (1987),"Alimony, Bankruptcy Law, Child Support, Family Responsibility/Support Laws, Maintenance, Divorce, Bankruptcy Law, State and Local Government Law",12,1,2
Spousal and Child Support Payment Provisions in Chapter 13 Plans [article],"White, Michaela M. (Cited 268 times)",9618,"Capital University Law Review, Vol. 16, Issue 3 (1987), pp. 369-402",16 Cap. U. L. Rev. 369 (1986-1987),"Child Support, Bankruptcy Law",9,na,3
But Can She Keep the Car - Some Thoughts on Collateral Retention in Consumer Chapter 7 Cases [article],"Culhane, Marianne B. (Cited 252 times); White, Michaela M. (Cited 268 times)",9618,"Fordham Journal of Corporate & Financial Law, Vol. 7, Issue 2 (2001), pp. 471-498",7 Fordham J. Corp. & Fin. L. 471 (2001),"Bankruptcy Law, Bankruptcy Law",8,2,2
The Effects of Chapter 13 Plan Confirmation and Case Conversion on Property [article],"White, Michaela M. (Cited 268 times)",9618,"Creighton Law Review, Vol. 26, Issue 3 (1993), pp. 785-840",26 Creighton L. Rev. 785 (1993),"Bankruptcy Law, Child Support",6,4,4
The Dog that Didn't Bark: Domestic Support Obligations and Exempt Property after BAPCA [article],"White, Michaela M. (Cited 268 times); Caher, James P. (Cited 6 times)",9618,"Family Law Quarterly, Vol. 41, Issue 2 (Summer 2007), pp. 299-320",41 Fam. L.Q. 299 (2007-2008),"Obligations, Bankruptcy Law, Consumer Protection Law, Spousal Support, Domestic Relations, Family Responsibility/Support Laws",6,2,7
The Procedural Plight of the Property Settlement Creditor [article],"White, Michaela M. (Cited 268 times)",9618,"Family Law Quarterly, Vol. 31, Issue 3 (Fall 1997), pp. 463-492",31 Fam. L.Q. 463 (1997-1998),"Bankruptcy Law, Divorce, Debts",5,1,1
Direct Payment Plans [article],"White, Michaela M. (Cited 268 times)",9618,"Creighton Law Review, Vol. 29, Issue 2 (February 1996), pp. 583-616",29 Creighton L. Rev. 583 (February 1996),"Bankruptcy Law, Compensation, Courts",4,1,na
Governmental Units as Persons for the Purpose of Official Committee Membership: A Call For Reform [article],"White, Michaela M. (Cited 268 times); Felderstein, Steven H. (Cited 24 times)",9618,"Commercial Law Journal, Vol. 95, Issue 1 (Spring 1990), pp. 1-23",95 Com. L.J. 1 (1990),"Liability, Creditors",na,na,1
Some Reaffirmation FAQs [notes],"Culhane, Marianne (Cited 252 times); White, Michaela (Cited 268 times)",9618,"Nebraska Lawyer, Vol. 2001, Issue 5 (May 2001), pp. 10-14",2001 Neb. Law. 10 (May 2001),"Debts, Bankruptcy Law, Congress, Creditors, Remedies, Bankruptcy Law, Consumer Protection Law",na,na,na
