Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Quasi-Cities [article],"Shoked, Nadav (Cited 88 times)",7333,"Boston University Law Review, Vol. 93, Issue 6 (December 2013), pp. 1971-2032",93 B.U. L. Rev. 1971 (2013),"Politics, Annexation, Economics, State and Local Government Law",17,1,11
The Duty to Maintain [article],"Shoked, Nadav (Cited 88 times)",7333,"Duke Law Journal, Vol. 64, Issue 3 (December 2014), pp. 437-514",64 Duke L.J. 437 (2014-2015),"Intellectual Property Law, Legal Profession, Property Law, States",13,na,20
The New Local [article],"Shoked, Nadav (Cited 88 times)",7333,"Virginia Law Review, Vol. 100, Issue 7 (November 2014), pp. 1323-1404",100 Va. L. Rev. 1323 (November 2014),"Politics, State and Local Government Law, States, Pollution, Transportation Law, Transportation Law",12,na,13
The Reinvention of Ownership: The Embrace of Residential Zoning and the Modern Populist Reading of Property [article],"Shoked, Nadav (Cited 88 times)",7333,"Yale Journal on Regulation, Vol. 28, Issue 1 (Winter 2011), pp. 91-150",28 Yale J. on Reg. 91 (2011),"Land Use Planning, Legal History, Ownership, Zoning, Homes, Cooperatives, Equity",9,na,15
Debt Limits' End [article],"Shoked, Nadav (Cited 88 times)",7333,"Iowa Law Review, Vol. 102, Issue 3 (March 2017), pp. 1239-1298",102 Iowa L. Rev. 1239 (2016-2017),"Debts, Economics, Politics, State and Local Government Law, Constitutional Amendment, Property Tax, Utilities",8,na,13
The Community Aspect of Private Ownership [article],"Shoked, Nadav (Cited 88 times)",7333,"Florida State University Law Review, Vol. 38, Issue 4 (Summer 2011), pp. 759-826",38 Fla. St. U. L. Rev. 759 (2010-2011),"Law and Society, Ownership",8,na,12
Reclaiming Fiduciary Law for the City [article],"Schanzenbach, Max (Cited 440 times); Shoked, Nadav (Cited 88 times)",7333,"Stanford Law Review, Vol. 70, Issue 2 (February 2018), pp. 565-642",70 Stan. L. Rev. 565 (2018),"Business Organizations, Estates, State and Local Government Law, Duty of Loyalty, Estoppel, Trusts",6,na,46
Comparative Local Government Law in Motion: How Different Local Government Law Regimes Affects Global Cities' Bike Share Plans [article],"Rodriguez, Daniel B. (Cited 802 times); Shoked, Nadav (Cited 88 times)",7333,"Fordham Urban Law Journal, Vol. 42, Issue 1 (November 2014), pp. 123-192",42 Fordham Urb. L.J. 123 (2014-2015),"Government, Local Government, Transportation Law, Legal Profession, State and Local Government Law, International Law: History",4,na,28
"An American Oddity: The Law, History, and Toll of the School District [article]","Shoked, Nadav (Cited 88 times)",7333,"Northwestern University Law Review, Vol. 111, Issue 4 (2017), pp. 945-1024",111 Nw. U. L. Rev. 945 (2016-2017),"Education Law, History, Legal History, State and Local Government Law, Legislation, Students, Tuition, Racial Discrimination, State Action",4,na,21
Property's Perspective (or of Whom to Be Jealous) [comments],"Shoked, Nadav (Cited 88 times)",7333,"University of Pennsylvania Law Review PENNumbra, Vol. 161, pp. 118-131",161 U. Pa. L. Rev. PENNumbra 118 (2012),"Torts, Civil Procedure, Contracts",2,na,1
Two Hundred Years of Spite [article],"Shoked, Nadav (Cited 88 times)",7333,"Northwestern University Law Review, Vol. 110, Issue 2 (2016), pp. 357-422",110 Nw. U. L. Rev. 357 (2015-2016),"Legal History, Jurisprudence, Law and Society",2,na,22
Cities Taxing New Sins: The Judicial Embrace of Local Excise Taxation [article],"Shoked, Nadav (Cited 88 times)",7333,"Ohio State Law Journal, Vol. 79, Issue 4 (2018), pp. 801-842",79 Ohio St. L.J. 801 (2018),"Taxation, Commerce, Commerce Clause, Constitutional Law, Jurisdiction, Sales",1,na,18
Property's Edges [article],"Dana, David A. (Cited 844 times); Shoked, Nadav (Cited 88 times)",7333,"Boston College Law Review, Vol. 60, Issue 3 (March 2019), pp. 753-822",60 B.C. L. Rev. 753 (2019),"Partition, Maintenance, Negligence",na,na,22
"Public, by Necessity [article]","Dana, David (Cited 844 times); Shoked, Nadav (Cited 88 times)",7333,"Seattle Journal for Social Justice, Vol. 13, Issue 2 (Fall 2014), pp. 341-380",13 Seattle J. Soc. Just. 341 (2014-2015),"History, First Amendment, Politics",na,na,6
