Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
CPLR 3212(a)'s Timing Requirement for Summary Judgment Motions - Ona Brill's Stroll through Brooklyn and the Dramatic Effect It Has Had on New York State's Civil Practice [article],"Connors, Patrick M. (Cited 32 times)",5357,"Brooklyn Law Review, Vol. 71, Issue 4 (Summer 2006), pp. 1529-1585",71 Brook. L. Rev. 1529 (2005-2006),"Practice and Procedure, Summary Judgment, Appeals, Negligence",7,4,20
Professional Responsibility [article],"Connors, Patrick M. (Cited 32 times)",5357,"Syracuse Law Review, Vol. 50, Issue 2 (2000), pp. 827-862",50 Syracuse L. Rev. 827 (2000),"Professional Ethics, Appeals, Employment, Employment Practice, Attorneys",6,na,3
Professional Responsibility [article],"Connors, Patrick M. (Cited 32 times)",5357,"Syracuse Law Review, Vol. 48, Issue 2 (1998), pp. 793-820",48 Syracuse L. Rev. 793 (1998),"Legal Profession, Appeals, Common Law, Real Property",5,na,2
Professional Responsibility [article],"Connors, Patrick M. (Cited 32 times)",5357,"Syracuse Law Review, Vol. 49, Issue 2 (1999), pp. 679-702",49 Syracuse 679 (1998-1999),"Obligations, Professional Ethics, Ethics",3,na,3
The King of New York Practice [comments],"Connors, Patrick M. (Cited 32 times)",5357,"Albany Law Review , Vol. 72, Issue 2 (2009), pp. 447-456",72 Alb. L. Rev. 447 (2009),"Biography, Appeals, Practice and Procedure",3,na,2
Dedication to the Honorable Richard D. Simons [comments],"Hancock, Stewart F. Jr. (Cited 103 times); Pierce, Alan J. (Cited 33 times); Connors, Patrick M. (Cited 32 times)",5357,"Syracuse Law Review, Vol. 47, Issue 2 (1996), pp. 287-290",47 Syracuse L. Rev. 287 (1996-1997),"State and Local Government Law, Misconduct",3,na,na
CPLR 3126 Conditional Orders Requiring Disclosure Can't Get No Respect [article],"Connors, Patrick M. (Cited 32 times)",5357,"Albany Law Review , Vol. 73, Issue 3 (2010), pp. 853-888",73 Alb. L. Rev. 853 (2009-2010),"Practice and Procedure, Corporations, Costs, Habeas Corpus",2,na,6
Professional Responsibility [article],"Connors, Patrick M. (Cited 32 times)",5357,"Syracuse Law Review, Vol. 47, Issue 2 (1996), pp. 655-680",47 Syracuse L. Rev. 655 (1996-1997),"Professional Ethics, Government, Local Government, Constitutional Law, Crimes, Privacy, Right of Privacy, Sodomy",2,na,2
Dedication to the Honorable Richard D. Simons [comments],"Connors, Patrick M. (Cited 32 times)",5357,"Touro Law Review, Vol. 13, Issue 3 (Spring 1997), pp. 587-594",13 Touro L. Rev. 587 (1996-1997),"State and Local Government Law, Misconduct",1,na,na
Which Party Pays the Costs of Document Disclosure [notes],"Connors, Patrick M. (Cited 32 times)",5357,"Pace Law Review , Vol. 29, Issue 3 (Spring 2009), pp. 441-454",29 Pace L. Rev. 441 (2008-2009),"Costs, Practice and Procedure",na,4,6
The King of New York Practice [comments],"Connors, Patrick M. (Cited 32 times)",5357,"Albany Law Review, Vol. 78, Issue 2 (2014-2015), pp. 317-326",78 Alb. L. Rev. 317 (2014-2015),"Biography, Appeals, Practice and Procedure",na,na,2
Torts [article],"Connors, Patrick M. (Cited 32 times)",5357,"Syracuse Law Review, Vol. 44, Issue 1 (1993), pp. 547-566",44 Syracuse L. Rev. 547 (1993),"Torts, Liability, Privity, Credit, Negligence",na,na,1
Introduction of the Panelists [comments],"Andrews, Penelope (Cited 55 times); Bonventre, Vincent Martin (Cited 311 times); Connors, Patrick M. (Cited 32 times); Queenan, Rosemary",5357,"Albany Law Review, Vol. 76, Issue 4 (2012-2013), pp. 1899-1908",76 Alb. L. Rev. 1899 (2012-2013),"Courts, Constitutional Law, State and Local Government Law, Biography, Judges",na,na,na
