Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Ethics and the Law School: The Confusion Persists [comments],"Rofes, Peter K. (Cited 55 times)",1640,"Georgetown Journal of Legal Ethics, Vol. 8, Issue 4 (Summer 1995), pp. 981-986",8 Geo. J. Legal Ethics 981 (1994-1995),"Ethics, Legal Ethics, Curriculum",14,na,1
Another Misunderstood Relation: Confidentiality and the Duty to Report [article],"Rofes, Peter K. (Cited 55 times)",1640,"Georgetown Journal of Legal Ethics, Vol. 14, Issue 2 (Winter 2001), pp. 621-662",14 Geo. J. Legal Ethics 621 (2000-2001),"Confidentiality, Legal Profession, Malpractice, Professional Ethics, Misconduct",8,na,5
Mandatory Obsolescence: The Thirty Credit Rule and the Wisconsin Supreme Court [article],"Rofes, Peter K. (Cited 55 times)",1640,"Marquette Law Review, Vol. 82, Issue 4 (Summer 1999), pp. 787-826",82 Marq. L. Rev. 787 (1998-1999),"Credit, Legal Education, Legal Profession, Commerce, Commerce Clause, Constitutional Law",6,na,na
The First Amendment in Its Third Century: Three Wisconsin Pieces to the Constitutional Puzzle [article],"Rofes, Peter K. (Cited 55 times)",1640,"Wisconsin Law Review, Vol. 1998, Issue 3 (1998), pp. 861-882",1998 Wis. L. Rev. 861 (1998),"First Amendment, Crimes, Criminal Law, Hate Crimes, Constitutional Law, Martin Luther King, Jr, Statutes",5,na,3
"Public Law, Private School: Choice, the Constitution, and Some Emerging Issues [article]","Rofes, Peter K. (Cited 55 times)",1640,"Journal of Law & Education, Vol. 21, Issue 4 (Fall 1992), pp. 503-528",21 J.L. & Educ. 503 (1992),"Law and Society, Public Law, Education Law, Schools, Administration Law, Charter Schools, Parochial Schools, Private Schools, Regulation, Religion",4,na,3
Grades [comments],"Rofes, Peter K. (Cited 55 times)",1640,"Washington University Law Quarterly, Vol. 73, Issue 4 (Winter 1995), pp. 1643-1648",73 Wash. U. L. Q. 1643 (1995),"Schools, Legal Analysis and Writing, Legal Education, Legal Writing",4,na,1
Law School and the Constituion [comments],"Rofes, Peter K. (Cited 55 times)",1640,"Florida State University Law Review, Vol. 23, Issue 1 (Summer 1995), pp. 71-76",23 Fla. St. U. L. Rev. 71 (Summer 1995),"Law Students, Students, Jurisprudence, Revolution, Second Amendment, Religion",4,na,na
Getting Out: A Speech to the Law Class of 1996 [comments],"Rofes, Peter K. (Cited 55 times)",1640,"Marquette Law Review, Vol. 79, Issue 2 (Winter 1996), pp. 543-548",79 Marq. L. Rev. 543 (1995-1996),"Legal Profession, Evidence, Medical Jurisprudence",2,na,1
Ducking the Question: Some Observations on Mallard v. United States District Court and the Case of the Unwilling Lawyer [article],"Rofes, Peter K. (Cited 55 times)",1640,"Brooklyn Law Review, Vol. 55, Issue 4 (Winter 1990), pp. 1129-1158",55 Brook. L. Rev. 1129 (1989-1990),"States, Legal Profession, Practice and Procedure",2,na,na
One Fine Day [comments],"Rofes, Peter K. (Cited 55 times)",1640,"Duke Law Journal, Vol. 45, Issue 1 (October 1995), pp. 133-137",45 Duke L.J. 133 (1995-1996),"Law Students, Misconduct, Students, Education Law, Legal Education, Legal Research, Research",2,na,na
The Responsible Law School [article],"Rofes, Peter K. (Cited 55 times)",1640,"Marquette Law Review, Vol. 74, Issue 2 (Winter 1991), pp. 119-146",74 Marq. L. Rev. 119 (1990-1991),"Technology, Education Law, Legal Education, Law Students, Students",2,na,na
"Underwood, Julie K. [comments]","Rofes, Peter K. (Cited 55 times)",1640,"Journal of Law & Education, Vol. 21, Issue 4 (Fall 1992), pp. 501-502",21 J.L. & Educ. 501 (1992),"Law and Society, Public Law, Education Law, Schools",1,na,1
Getting in: The Why and the How of It [article],"Rofes, Peter K. (Cited 55 times)",1640,"Utah Law Review, Vol. 1995, Issue 4 (1995), pp. 1097-1104",1995 Utah L. Rev. 1097 (1995),"Legal Education, Education Law",1,na,na
What's a Typical Day Like in the Life of a Law School Professor [notes],"Thain, Gerald J. (Cited 101 times); Rofes, Peter K. (Cited 55 times)",1640,"Wisconsin Lawyer, Vol. 63, Issue 12 (December 1990), pp. 69-70",63 Wis. Law. 69 (1990),"Legal Education, Retirement, Confessions",na,na,na
