Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
An Analysis of the Scope of Copyright Protection for Application Programs [article],"Menell, Peter S. (Cited 1595 times)",8894,"Stanford Law Review, Vol. 41, Issue 5 (May 1989), pp. 1045-1104",41 Stan. L. Rev. 1045 (May 1989),"Computer Law, Copyright, Software, Science and Technology",229,8,29
Tailoring Legal Protection for Computer Software [article],"Menell, Peter S. (Cited 1595 times)",8894,"Stanford Law Review, Vol. 39, Issue 6 (July 1987), pp. 1329-1372",39 Stan. L. Rev. 1329 (1986-1987),na,195,na,25
Envisioning Copyright Law's Digital Future [article],"Menell, Peter S. (Cited 1595 times)",8894,"New York Law School Law Review, Vol. 46, Issues 1 & 2 (2002-2003), pp. 63-200",46 N.Y.L. Sch. L. Rev. 63 (2002-2003),"Copyright, Environmental Law, Software",159,na,43
Forty Years of Wondering in the Wilderness and No Closer to the Promised Land: Bilski's Superficial Textualism and the Missed Opportunity to Return Patent Law to Its Technology Mooring [article],"Menell, Peter S. (Cited 1595 times)",8894,"Stanford Law Review, Vol. 63, Issue 6 (June 2011), pp. 1289-1314",63 Stan. L. Rev. 1289 (2010-2011),"Technology, States, Age",81,na,30
"Informal Deference: A Historical, Empirical, and Normative Analysis of Patent Claim Construction [article]","Anderson, J. Jonas (Cited 291 times); Menell, Peter S. (Cited 1595 times)",8894,"Northwestern University Law Review, Vol. 108, Issue 1 (Fall 2013), pp. 1-84",108 Nw. U. L. Rev. 1 (2013-2014),"Intellectual Property Law, Practice and Procedure, Courts",69,na,51
Notice Failure and Notice Externalities [article],"Menell, Peter S. (Cited 1595 times); Meurer, Michael J. (Cited 993 times)",8894,"Journal of Legal Analysis, Vol. 5, Issue 1 (Spring 2013), pp. 1-60",5 J. Legal Analysis 1 (2013),"Notice, Defenses",59,na,21
Unwinding Sony [article],"Menell, Peter S. (Cited 1595 times); Nimmer, David (Cited 1334 times)",8894,"California Law Review, Vol. 95, Issue 4 (August 2007), pp. 941-1026",95 Calif. L. Rev. 941 (August 2007),"Intellectual Property Law, Industry, Science and Technology, Copyright, Liability",54,1,18
Patent Claim Construction: A Modern Synthesis and Structured Framework [article],"Menell, Peter S. (Cited 1595 times); Powers, Matthew D. (Cited 105 times); Carlson, Steven C. (Cited 187 times)",8894,"Berkeley Technology Law Journal, Vol. 25, Issue 2 (Spring 2010), pp. 711-830",25 Berkeley Tech. L.J. 711 (2010),"Intellectual Property Law, Courts",51,2,34
Economic Implications of State Sovereign Immunity from Infringement of Federal Intellectual Property Rights [article],"Menell, Peter S. (Cited 1595 times)",8894,"Loyola of Los Angeles Law Review, Vol. 33, Issue 4 (June 2000), pp. 1399-1466",33 Loy. L. A. L. Rev. 1399 (1999-2000),"Contracts, Immunity, Intellectual Property Law, Intellectual Property Law, Liability, Sovereign Immunity, States",49,na,11
Structuring a Market-Oriented Federal Eco-Information Policy [article],"Menell, Peter S. (Cited 1595 times)",8894,"Maryland Law Review, Vol. 54, Issue 4 (1995), pp. 1435-1474",54 Md. L. Rev. 1435 (1995),"Natural Resources Law, Trade Regulation, Commerce, Environmental Law, Treaties, Deregulation",45,na,18
The Challenges of Reforming Intellectual Property Protection for Computer Software [comments],"Menell, Peter S. (Cited 1595 times)",8894,"Columbia Law Review, Vol. 94, Issue 8 (December 1994), pp. 2644-2654",94 Colum. L. Rev. 2644 (1994),"Intellectual Property Law, Software, Technology, Computer Programs",44,na,31
Legal Realism in Action: Indirect Copyright Liability's Continuing Tort Framework and Sony's De Facto Demise [article],"Menell, Peter S. (Cited 1595 times); Nimmer, David (Cited 1334 times)",8894,"UCLA Law Review, Vol. 55, Issue 1 (October 2007), pp. 143-204",55 UCLA L. Rev. 143 (2007-2008),"Copyright, Intellectual Property Law, Liability, Torts, Science and Technology, Internet",43,1,10
Knowledge Accessibility and Preservation Policy for the Digital Age [article],"Menell, Peter S. (Cited 1595 times)",8894,"Houston Law Review, Vol. 44, Issue 4 - Symposium ( 2007), pp. 1013-1072",44 Hous. L. Rev. 1013 (2007-2008),"Age, Communications Law",42,na,24
Bankruptcy Treatment of Intellectual Property Assets: An Economic Analysis [article],"Menell, Peter S. (Cited 1595 times)",8894,"Berkeley Technology Law Journal, Vol. 22, Issue 2 (Spring 2007), pp. 733-824",22 Berkeley Tech. L.J. 733 (2007),"Bankruptcy Law, Bankruptcy Law, Intellectual Property Law, Intellectual Property Law",38,na,23
A Note on Private versus Social Incentives to Sue in a Costly Legal System [notes],"Menell, Peter S. (Cited 1595 times)",8894,"Journal of Legal Studies, Vol. 12, Issue 1 (January 1983), pp. 41-52",12 J. Legal Stud. 41 (1983),"Liability, Costs, Damages, Remedies, Torts",37,na,2
The Property Rights Movement's Embrace of Intellectual Property: True Love or Doomed Relationship [article],"Menell, Peter S. (Cited 1595 times)",8894,"Ecology Law Quarterly, Vol. 34, Issue 2 (2007), pp. 713-754",34 Ecology L.Q. 713 (2007),"Intellectual Property Law, Intellectual Property Law, Politics, Injunctions",36,na,20
