Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Founders' Privacy: The Fourth Amendment and the Power of Technological Surveillance [article],"Ku, Raymond Shih Ray (Cited 252 times)",2864,"Minnesota Law Review, Vol. 86, Issue 6 (June 2002), pp. 1325-1378",86 Minn. L. Rev. 1325 (2001-2002),"Fourth Amendment, Privacy, Science and Technology, President/Executive Department, Communications Law",89,1,35
Consumers and Creative Destruction: Fair Use beyond Market Failure [article],"Ku, Raymond Shih Ray (Cited 252 times)",2864,"Berkeley Technology Law Journal, Vol. 18, Issue 2 (2003), pp. 539-574",18 Berkeley Tech. L.J. 539 (2003),"Intellectual Property Law, Reproduction, Copyright",33,na,13
Open Internet Access and Freedom of Speech: A First Amendment Catch-22 [article],"Ku, Raymond Shih Ray (Cited 252 times)",2864,"Tulane Law Review, Vol. 75, Issue 1 (November 2000), pp. 87-136",75 Tul. L. Rev. 87 (2000-2001),"Computer Law, First Amendment, Freedom of Speech, Internet, Internet Service Providers, Communications Law",30,1,81
Consensus of the Governed: The Legitimacy of Constitutional Change [article],"Ku, Raymond (Cited 252 times)",2864,"Fordham Law Review, Vol. 64, Issue 2 (November 1995), pp. 535-586",64 Fordham L. Rev. 535 (1995-1996),"Equal Protection, Law and Society, Discrimination, Religion",25,na,11
"Antitrust Immunity, the First Amendment and Settlements: Defining the Boundaries of the Right to Petition [article]","Ku, Raymond (Cited 252 times)",2864,"Indiana Law Review, Vol. 33, Issue 2 (2000), pp. 385-434",33 Ind. L. Rev. 385 (1999-2000),"Antitrust, Boundaries, Constitutional Law, First Amendment, Immunity, Settlements, Trade Regulation, Fraud, Liability",16,2,2
Grokking Grokster [article],"Ku, Raymond Shih Ray (Cited 252 times)",2864,"Wisconsin Law Review, Vol. 2005, Issue 5 (2005), pp. 1217-1282",2005 Wis. L. Rev. 1217 (2005),"Communications Law, Intellectual Property Law, Economics, Constitutional Law",13,na,8
Swingers: Morality Legislation and the Limits of State Police Power [article],"Ku, Raymond (Cited 252 times)",2864,"St. Thomas Law Review, Vol. 12, pp. 1-38",12 St. Thomas L. Rev. 1 (1999),"Legislation, Police, Police Power, Sexuality and the Law, State and Local Government Law, Martial Law, Same-Sex Marriage, Sex, States, Privacy",11,na,15
Foreword: A Brave New Cyberworld [article],"Ku, Raymond (Cited 252 times)",2864,"Thomas Jefferson Law Review, Vol. 22, Issue 2 (Spring 2000), pp. 125-132",22 T. Jefferson L. Rev. 125 (1999-2000),"Computer Crime, Jurisdiction, Communications Law, Jurisprudence, Computer Law",7,na,9
Irreconcilable: Congressional Treatment of Internet Service Providers as Speakers [article],"Ku, Raymond Shih Ray (Cited 252 times)",2864,"Vanderbilt Journal of Entertainment Law & Practice, Vol. 3, Issue 1 (Winter 2001), pp. 70-83",3 Vand. J. Ent. L. & Prac. 70 (Winter 2001),"Internet, Internet Service Providers, Computer Law, First Amendment, Freedom of Speech",7,na,2
F(r)ee Expression - Reconciling Copyright and the First Amendment [article],"Ku, Raymond Shih Ray (Cited 252 times)",2864,"Case Western Reserve Law Review, Vol. 57, Issue 4 (Summer 2007), pp. 863-894",57 Case W. Res. L. Rev. 863 (2006-2007),"Copyright, First Amendment, Intellectual Property Law, Liability",5,na,1
Is Nominal Use an Answer to the Free Speech and Right of Publicity Quandary: Lessons from America's National Pastime [article],"Ku, Raymond Shih Ray (Cited 252 times)",2864,"Chapman Law Review, Vol. 11, Issue 3 (Spring 2008), pp. 435-448",11 Chap. L. Rev. 435 (Spring 2008),"Publicity, Right of Publicity, First Amendment",4,na,1
Copyright Lochnerism [article],"Ku, Raymond Shih Ray (Cited 252 times)",2864,"Northern Kentucky Law Review, Vol. 33, Issue 4 (2006), pp. 401-420",33 N. Ky. L. Rev. 401 (2006),"Copyright, First Amendment, Intellectual Property Law",4,na,1
Data Privacy as a Civil Right: The EU Gets It [article],"Ku, Raymond Shih Ray (Cited 252 times)",2864,"Kentucky Law Journal, Vol. 103, Issue 3 (2014-2015), pp. 391-404",103 Ky. L.J. 391 (2014-2015),"Privacy, Data Protection, Social Media",3,na,34
Unlimited Power: They the President's (Warrantless) Surveillance Program is Unconstitutional [article],"Ku, Raymond Shih Ray (Cited 252 times)",2864,"Case Western Reserve Journal of International Law, Vol. 42, Issue 3 (2010), pp. 647-674",42 Case W. Res. J. Int'l L. 647 (2009-2010),"President/Executive Department, Communications Law, Privacy, Fourth Amendment, Technology",3,na,6
The Internet Revolution [article],"Ku, Raymond Shih Ray (Cited 252 times)",2864,"Santa Clara Computer & High Technology Law Journal, Vol. 20, Issue 1 (2003), pp. 205-214",20 Santa Clara Computer & High Tech. L.J. 205 (2003-2004),"Internet, Revolution, Civil War, War",2,na,6
Privacy is the Problem [article],"Ku, Raymond Shih Ray (Cited 252 times)",2864,"Widener Law Journal, Vol. 19, Issue 3 (2010), pp. 873-892",19 Widener L.J. 873 (2009-2010),"Communications Law, Privacy, President/Executive Department, States",na,na,4
"Intellectual Property Aspects of Entrepreneurship: Protection in Patent and Trademark Areas, as well as Copyright and Know-How Areas (Local and Foreign); Penetration of Overseas Markets (Directly or through Licensing); Possible Industrial Espionage concerns - Introduction [comments]","Ku, Raymond (Cited 252 times)",2864,"Canada-United States Law Journal, Vol. 33, Issue 1 (2007), pp. 247-248",33 Can.-U.S. L.J. 247 (2007-2008),"Copyright, Espionage, Intellectual Property Law, Intellectual Property Law, Licensing, States",na,na,1
