Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
A More Majestic Conception: The Importance of Judicial Integrity in Preserving the Exclusionary Rule [article],"Bloom, Robert M. (Cited 209 times); Fentin, David H. (Cited 33 times)",1002,"University of Pennsylvania Journal of Constitutional Law, Vol. 13, Issue 1 (November 2010), pp. 47-80",13 U. Pa. J. Const. L. 47 (2010-2011),"Criminal Law, Exclusionary Rule, Judges",33,5,8
The Supreme Court and Its Purportd Preference for Search Warrants [article],"Bloom, Robert M. (Cited 209 times)",1002,"Tennessee Law Review, Vol. 50, Issue 2 (Winter 1983), pp. 231-270",50 Tenn. L. Rev. 231 (1982-1983),"Search Warrants, Fourth Amendment, Good Faith, Courts",32,na,7
Warrant Requirement - The Burger Court Approach [article],"Bloom, Robert M. (Cited 209 times)",1002,"University of Colorado Law Review, Vol. 53, Issue 4 (Summer 1982), pp. 691-744",53 U. Colo. L. Rev. 691 (1981-1982),"Constitutional Law, Privacy, Search Warrants, States",30,4,2
Judicial Integrity: A Call for its Re-Emergence in the Adjudication of Criminal Cases [article],"Bloom, Robert M. (Cited 209 times)",1002,"Journal of Criminal Law and Criminology, Vol. 84, Issue 3 (Fall 1993), pp. 462-501",84 J. Crim. L. & Criminology 462 (Fall 1993),"Criminal Law, Extradition, International Law: History, Jurisdiction, States, Criminal Law",21,na,12
Jury Trials in Japan [article],"Bloom, Robert M. (Cited 209 times)",1002,"Loyola of Los Angeles International and Comparative Law Review, Vol. 28, Issue 1 (Winter 2006), pp. 35-68",28 Loy. L.A. Int'l & Comp. L. Rev. 35 (2006),"Comparative Law, Jury, Trials",16,na,11
The Constitutional Infirmity of Warrantless NSA Surveillance: The Abuse of Presidential Power and the Injury to the Fourth Amendment [article],"Bloom, Robert (Cited 209 times); Dunn, William J. (Cited 16 times)",1002,"William and Mary Bill of Rights Journal , Vol. 15, Issue 1 (October 2006), pp. 147-202",15 Wm. & Mary Bill Rts. J. 147 (2006-2007),"Fourth Amendment, President/Executive Department, Legal Research, Research, Courts, Democracy, Government",16,na,28
Inevitable Discovery: An Exception beyond the Fruits [article],"Bloom, Robert M. (Cited 209 times)",1002,"American Journal of Criminal Law, Vol. 20, Issue 1 (Fall 1992), pp. 79-104",20 Am. J. Crim. L. 79 (1992-1993),"Discovery, Practice and Procedure, Criminal Law, Exclusionary Rule",15,3,5
Jailhouse Informants [article],"Bloom, Robert M. (Cited 209 times)",1002,"Criminal Justice, Vol. 18, Issue 1 (Spring 2003), pp. 20-78",18 Crim. Just. 20 (2003-2004),"Evidence, Law Enforcement, Comparative Law, Habeas Corpus, Immunity",10,9,77
Accounting for Federalism in State Courts: Exclusion of Evidence Obtained Lawfully by Federal Agents [article],"Bloom, Robert M. (Cited 209 times); Massey, Hillary (Cited 10 times)",1002,"University of Colorado Law Review , Vol. 79, Issue 2 (2008), pp. 381-420",79 U. Colo. L. Rev. 381 (2008),"Accounting, Courts, Evidence, Federalism, Law Enforcement, Constitutional Law, State and Local Government Law, Banking, Financial Services, Industry",10,na,27
United States v. Leon and Its Ramifications [article],"Bloom, Robert M. (Cited 209 times)",1002,"University of Colorado Law Review, Vol. 56, Issue 2 (Winter 1985), pp. 247-264",56 U. Colo. L. Rev. 247 (1984-1985),"States, Adopted Children, Exclusionary Rule, Good Faith, Evidence, Testimony",8,na,1
Border Searches in the Age of Terrorism [article],"Bloom, Robert M. (Cited 209 times)",1002,"Mississippi Law Journal, Vol. 78, Issue 2 (Winter 2008), pp. 295-328",78 Miss. L.J. 295 (2008-2009),"Age, Terrorism, Separation, Separation of Powers, International Law: History, Judges, President/Executive Department",7,na,5
Hearing Procedures of the Office of the Comptroller of the Currency [article],"Bloom, Robert (Cited 209 times)",1002,"Law and Contemporary Problems, Vol. 31, Issue 4 (Autumn 1966), pp. 723-732",31 Law & Contemp. Probs. 723 (1966),"Banking, Securities Law",6,1,na
Changes in Control of Banks [article],"Bloom, Robert (Cited 209 times)",1002,"Annual Review of Banking Law, Vol. 2, pp. 21-50",2 Ann. Rev. Banking L. 21 (1983),"Mergers, Comparative Law, Corporations, Petroleum, Procedure",2,na,1
The Fourth Amendment Fetches Fido: New Approaches to Dog Sniffs [article],"Bloom, Robert M. (Cited 209 times); Walsh, Dana L. (Cited 2 times)",1002,"Wake Forest Law Review, Vol. 48, Issue 5 (2013), pp. 1271-1294",48 Wake Forest L. Rev. 1271 (2013),"Fourth Amendment, Law Enforcement",2,na,1
"Small Cells, Big Problems: The Increasing Precision of Cell Site Location Information and the Need for Fourth Amendment Protections [article]","Bloom, Robert M. (Cited 209 times); Clark, William T. (Cited 1 times)",1002,"Journal of Criminal Law and Criminology, Vol. 106, Issue 2 (Spring 2016), pp. 167-202",106 J. Crim. L. & Criminology 167 (2016),"Communications Law, Fourth Amendment, Information Privacy, Science and Technology, States, Criminal Law, Jurisprudence, Law Enforcement",1,na,18
Rent Control [notes],"Bloom, Robert M. (Cited 209 times); Newman, Marshall F. (Cited 6 times)",1002,"Annual Survey of Massachusetts Law, Vol. 21, pp. 502-537",21 Ann. Surv. Mass. L. 502 (1973-1974),"Rent, Rent Control, Legislation",na,na,3
Bank Supervision and the Consumer [article],"Bloom, Robert (Cited 209 times)",1002,"Business Lawyer (ABA), Vol. 26, Issue 1 (September 1970), pp. 57-68",26 Bus. Law. 57 (1970-1971),"Banking, Banking Law, Interest, Banks and Banking, Deposit Insurance, Insurance Law",na,na,4
Inventory Accounting and Income Taxation [article],"Bloom, Robert (Cited 209 times)",1002,"Taxes: The Tax Magazine, Vol. 88, Issue 5 (May 2010), pp. 77-84",88 Tax Mag. 77 (2010),"Accounting, Income Taxation, Taxation",na,na,3
Financial Accounting vs. Income Taxation of Defined Benefit Pensions and Other Post-Retirement Benefits Plans [article],"Bloom, Robert (Cited 209 times); Cenker, William J. (Cited 2 times)",1002,"Taxes: The Tax Magazine, Vol. 87, Issue 2 (February 2009), pp. 88-92",87 Tax Mag. 88 (February 2009),"Accounting, Income Taxation, Pensions, Retirement, Taxation, Obligations",na,na,na
When Rights Become Empty Promises: Promoting an Exclusionary Rule That Vindicates Personal Rights [article],"Bloom, Robert M. (Cited 209 times); Dewey, Erin (Cited 15 times)",1002,"Irish Jurist, Vol. 46, pp. 38-73",46 Irish Jurist (N.S.) 38 (2011),"Exclusionary Rule, Evidence",na,na,16
