Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Structural Turn and the Limits of Antidiscrimination Law [article],"Bagenstos, Samuel R. (Cited 1481 times)",8071,"California Law Review, Vol. 94, Issue 1 (January 2006), pp. 1-48",94 Calif. L. Rev. 1 (2006),"Employment Practice, Administration Law, Discrimination, Education Law, Employment, Employment Discrimination, Race, Remedies",232,2,60
"Subordination, Stigma, and Disability [article]","Bagenstos, Samuel R. (Cited 1481 times)",8071,"Virginia Law Review, Vol. 86, Issue 3 (April 2000), pp. 397-534",86 Va. L. Rev. 397 (2000),"Disability, Civil Rights, Legislation",218,2,101
"Rational Discrimination, Accomodation, and the Politics of (Disability) Civil Rights [article]","Bagenstos, Samuel R. (Cited 1481 times)",8071,"Virginia Law Review, Vol. 89, Issue 5 (September 2003), pp. 825-924",89 Va. L. Rev. 825 (2003),"Civil Rights, Disability, Discrimination, Politics, Administration Law, Employment Practice",149,na,41
The Future of Disability Law [article],"Bagenstos, Samuel R. (Cited 1481 times)",8071,"Yale Law Journal, Vol. 114, Issue 1 (October 2004), pp. 1-84",114 Yale L.J. 1 (October 2004),"Disability, Disability Law, Civil Rights, Health, Health Insurance, Health Law, Insurance Law",130,3,65
The Americans with Disabilities Act as Welfare Reform [article],"Bagenstos, Samuel R. (Cited 1481 times)",8071,"William and Mary Law Review, Vol. 44, Issue 3 (February 2003), pp. 921-1028",44 Wm. & Mary L. Rev. 921 (2002-2003),"Discrimination, Civil Rights, Disability Law, Disability",90,na,20
Spending Clause Litigation in the Roberts Court [article],"Bagenstos, Samuel R. (Cited 1481 times)",8071,"Duke Law Journal, Vol. 58, Issue 3 (December 2008), pp. 345-410",58 Duke L.J. 345 (2008-2009),"Constitutional Law, Jurisdiction, Environmental Law, Environmental Law, Federalism, History, Politics",59,1,12
The Anti-Leveraging Principle and the Spending Clause after NFIB [article],"Bagenstos, Samuel R. (Cited 1481 times)",8071,"Georgetown Law Journal, Vol. 101, Issue 4 (April 2013), pp. 861-922",101 Geo. L.J. 861 (2012-2013),"Education Law, Education Law, Federalism, New Deal, Government",58,3,22
"Implicit Bias, Science, and Antidiscrimination Law [article]","Bagenstos, Samuel R. (Cited 1481 times)",8071,"Harvard Law & Policy Review, Vol. 1, Issue 2 (Summer 2007), pp. 477-494",1 Harv. L. & Pol'y Rev. 477 (2007),"Psychiatrists and Psychologists, Law and Society, Discrimination, Employment, Employment Discrimination, Employment Practice, Liability",58,na,163
"Hedonic Damages, Hedonic Adaptation, and Disability [article]","Bagenstos, Samuel R. (Cited 1481 times); Schlanger, Margo (Cited 831 times)",8071,"Vanderbilt Law Review, Vol. 60, Issue 3 (April 2007), pp. 745-798",60 Vand. L. Rev. 745 (2007),"Damages, Disability, Remedies, Gender, Jurisprudence, Politics, Democracy",57,na,36
The Unrelenting Libertarian Challenge to Public Accommodations Law [article],"Bagenstos, Samuel R. (Cited 1481 times)",8071,"Stanford Law Review, Vol. 66, Issue 6 (June 2014), pp. 1205-1240",66 Stan. L. Rev. 1205 (2014),"Politics, Public Accommodations, Discrimination, Civil Rights",55,na,26
The Perversity of Limited Civil Rights Remedies: The Case of Abusive ADA Litigation [article],"Bagenstos, Samuel R. (Cited 1481 times)",8071,"UCLA Law Review, Vol. 54, Issue 1 (October 2006), pp. 1-36",54 UCLA L. Rev. 1 (October 2006),"Civil Rights, Remedies, Attorneys, Attorneys' Fees, Fees, Health, Water Law",49,9,31
Employment Law and Social Equality [article],"Bagenstos, Samuel R. (Cited 1481 times)",8071,"Michigan Law Review, Vol. 112, Issue 2 (November 2013), pp. 225-274",112 Mich. L. Rev. 225 (2013-2014),"Employment, Employment Practice, Labor, Law and Society, Religion",40,na,52
The Past and Future of Deinstitutionalization Litigation [article],"Bagenstos, Samuel R. (Cited 1481 times)",8071,"Cardozo Law Review, Vol. 34, Issue 1 (October 2012), pp. 1-52",34 Cardozo L. Rev. 1 (2012-2013),"Health Law, Politics, Psychiatrists and Psychologists, Hospitals, Medical Jurisprudence, Homelessness",35,na,38
Universalism and Civil Rights (with Notes on Voting Rights after Shelby) [article],"Bagenstos, Samuel R. (Cited 1481 times)",8071,"Yale Law Journal, Vol. 123, Issue 8 (June 2014), pp. 2838-2877",123 Yale L. J. 2838 (2013-2014),"Civil Rights, Voting, Death, Race",34,na,18
The Americans with Disabilities Act as Risk Regulation [article],"Bagenstos, Samuel R. (Cited 1481 times)",8071,"Columbia Law Review, Vol. 101, Issue 6 (October 2001), pp. 1479-1514",101 Colum. L. Rev. 1479 (2001),"Civil Rights, Employment Practice, Regulation, Disability",33,na,21
Has the Americans with Disabilities Act Reduced Employment for People with Disabilities [comments],"Bagenstos, Samuel R. (Cited 1481 times)",8071,"Berkeley Journal of Employment and Labor Law, Vol. 25, Issue 2 (2004), pp. 527-564",25 Berkeley J. Emp. & Lab. L. 527 (2004),"Civil Rights, Employment, Economics, Labor, Labor, Employment Practice",32,na,21
"The Supreme Court, the Americans with Disabilities Act, and Rational Discrimination [article]","Bagenstos, Samuel R. (Cited 1481 times)",8071,"Alabama Law Review, Vol. 55, Issue 4 (Summer 2004), pp. 923-950",55 Ala. L. Rev. 923 (2003-2004),"Discrimination, Employees, Employment Practice, Disability, Jurisprudence",28,na,30
Justice Ginsburg and the Judicial Role in Expanding We the People: The Disability Rights Cases [article],"Bagenstos, Samuel R. (Cited 1481 times)",8071,"Columbia Law Review, Vol. 104, Issue 1 (January 2004), pp. 49-59",104 Colum. L. Rev. 49 (2004),"Civil Rights, Disability, Human Rights Law",24,na,31
