Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Municipal Bankruptcy: When Doing Less Is Doing Best [article],"Pryor, C. Scott (Cited 96 times)",3173,"American Bankruptcy Law Journal, Vol. 88, Issue 1 (Winter 2014), pp. 85-iv",88 Am. Bankr. L.J. 85 (2014),"Bankruptcy Law, Constitutional Law, Contracts",13,na,17
"Rock, Scissors, Paper: ERISA, the Bankruptcy Code and State Exemption Laws for Individual Retirement Accounts [article]","Pryor, C. Scott (Cited 96 times)",3173,"American Bankruptcy Law Journal, Vol. 77, Issue 1 (Winter 2003), pp. 65-128",77 Am. Bankr. L.J. 65 (2003),"Bankruptcy Law, Bankruptcy Law, Pensions, Retirement",12,1,4
Revised Uniform Commercial Code Article 9: Impact in Bankruptcy [article],"Pryor, C. Scott (Cited 96 times)",3173,"American Bankrutpcy Institute Law Review, Vol. 7, Issue 2 (Winter 1999), pp. 465-516",7 Am. Bankr. Inst. L. Rev. 465 (1999),"Bankruptcy Law, Commercial Code, Commercial Law, Uniform Commercial Code",11,1,6
How Revised Article 9 Will Turn the Trustee's Strong-Arm into a Weak Finger: A Potpourri of Cases [article],"Pryor, C. Scott (Cited 96 times)",3173,"American Bankruptcy Institute Law Review, Vol. 9, Issue 1 (Spring 2001), pp. 229-286",9 Am. Bankr. Inst. L. Rev. 229 (2001),"Bankruptcy Law, Oil, Gas, and Mineral Law, Real Property",9,na,4
Principled Pluralism and Contract Remedies [article],"Pryor, C. Scott (Cited 96 times)",3173,"McGeorge Law Review, Vol. 40, Issue 3 (2009), pp. 723-756",40 McGeorge L. Rev. 723 (2009),"Contracts, Remedies, Breach of Contract, Damages",9,na,5
Mission Possible: A Paradigm for Analysis of Contractual Impossiblity at Regent University [article],"Pryor, C. Scott (Cited 96 times)",3173,"St. John's Law Review, Vol. 74, Issue 3 (Summer 2000), pp. 691-730",74 St. John's L. Rev. 691 (2000),"Contracts, Religion, Schools",8,na,2
Consideration in the Common Law of Contracts: A Biblical-Theological Critique [article],"Pryor, C. Scott (Cited 96 times)",3173,"Regent University Law Review, Vol. 18, Issue 1 (2005-2006), pp. 1-52",18 Regent U. L. Rev. 1 (2005-2006),"Common Law, Contracts, Religion, Precedents",7,na,385
Puritan Revolution and the Law of Contracts [article],"Pryor, C. Scott (Cited 96 times); Hoshauer, Glenn M. (Cited 5 times)",3173,"Texas Wesleyan Law Review, Vol. 11, Issue 2 (Spring 2005), pp. 291-360",11 Tex. Wesleyan L. Rev. 291 (2004-2005),"Contracts, Revolution, Jurisprudence, Martial Law, Same-Sex Marriage, Sex",5,2,7
God's Bridle: John Calvin's Application of Natural Law [article],"Pryor, C. Scott (Cited 96 times)",3173,"Journal of Law and Religion , Vol. 22, Issue 1 (2006-2007), pp. 225-254",22 J. L. & Religion 225 (2006-2007),"Natural Law, Human Rights Law",5,na,7
Third Time's the Charm: The Coming Impact of the Restatement (Third) Restitution and Unjust Enrichment in Bankruptcy [article],"Pryor, C. Scott (Cited 96 times)",3173,"Pepperdine Law Review, Vol. 40, Issue 4 (2013), pp. 843-910",40 Pepp. L. Rev. 843 (2012-2013),"Bankruptcy Law, Restitution, Equity",4,na,12
Who Bears the Burden: The Place for Participation of Municipal Residents in Chapter 9 [article],"Pryor, C. Scott (Cited 96 times)",3173,"Campbell Law Review, Vol. 37, Issue 1 (Spring 2015), pp. 161-[ii]",37 Campbell L. Rev. 161 (2015),"Jurisdiction, Bankruptcy Law, Congress, Legislation, Taxation-State and Local",4,na,4
Contractual Good Faith: Variations on the Theme of Expectations [article],"Pryor, C. Scott (Cited 96 times)",3173,"Florida Bar Journal, Vol. 72, Issue 1 (January 1998), pp. 20-25",72 Fla. B.J. 20 (1998),"Good Faith, Liability, Loans",3,na,2
Clear Rules Still Produce Fuzzy Results: Impossibility in Indian Contract Law [article],"Pryor, C. Scott (Cited 96 times)",3173,"Arizona Journal of International and Comparative Law, Vol. 27, Issue 1 (Spring 2010), pp. 1-30",27 Ariz. J. Int'l & Comp. L. 1 (2010),"Contracts, Labor, Strikes",2,na,19
"Looking for Bedrock: Accounting for Human Rights in Classical Liberalism, Modern Secularism, and the Christian Tradition [article]","Pryor, C. Scott (Cited 96 times)",3173,"Campbell Law Review, Vol. 33, Issue 3 (2011), pp. 609-640",33 Campbell L. Rev. 609 (2010-2011),"Accounting, Human Rights Law, Legal History, Human Rights Law",2,na,42
Natural Law and the Two Kingdoms: A Study in the Development of Reformed Social Thought. By David VanDrunen [reviews],"Pryor, C. Scott (Cited 96 times)",3173,"Journal of Law and Religion, Vol. 26, Issue 2 (2010-2011), pp. 695-700",26 J. L. & Religion 695 (2010-2011),"Natural Law, Church and State, Legal History",1,na,na
Reflections on Evangelicals and Catholics Together on Law: The Lord of Heaving and Earth [article],"Pryor, C. Scott (Cited 96 times)",3173,"Journal of Christian Legal Thought, Vol. 3, Issue 2 (Fall 2013), pp. 2-3",3 J. Christian Legal Thought 2 (2013),"Abortion, Jurisprudence, Natural Law, Organizations",1,na,2
"Law and the Bible: Justice, Mercy and Legal Institutions [reviews]","Pryor, C. Scott (Cited 96 times)",3173,"Journal of Law and Religion, Vol. 29, Issue 2 (2014), pp. 351-354",29 J. L. & Religion 351 (2014),"Divorce, No-Fault Insurance, No-Fault Divorce, Jurisprudence, Criminal Law, Minors, Roman Law",na,na,11
Justice Right and Wrongs [reviews],"Pryor, Scott (Cited 96 times)",3173,"Christian Lawyer, Vol. 5, Issue 3 (Fall 2009), pp. 10-11",5 Christian Law. 10 (2009),na,na,na,2
Watertight - Royalty Indemnity Ruling is Not: Ambiguity Often Results When Concision Trumps Clarity [article],"Pryor, C. Scott (Cited 96 times); Pryor, Jeremy L. (Cited 3 times)",3173,"VBA News Journal , Vol. 38, Issue 2 (Summer 2011), pp. 22-24",38 VBA News J. 22 (2011),"Warranties, Contracts, Government, Government Contracts, Liability, States, Implied Warranties, Livestock, Uniform Commercial Code",na,na,2
Who Pays the Price: The Necessity of Taxpayer Participation in Chapter 9 [article],"Pryor, C. Scott (Cited 96 times)",3173,"Widener Law Journal, Vol. 24, Issue 1 (2015), pp. 81-120",24 Widener L.J. 81 (2015),"Jurisdiction, Taxation-State and Local, Bankruptcy Law, History",na,na,8
Nine into Eleven: Accounting for Common Interest Communities in Bankruptcy [article],"Pryor, C. Scott (Cited 96 times)",3173,"Emory Bankruptcy Developments Journal, Vol. 33, Issue 2 (2017), pp. 455-486",33 Emory Bankr. Dev. J. 455 (2016-2017),"Accounting, Bankruptcy Law, Housing Law, Interest, Damages, Liability, Government",na,na,10
The Law of Contracts: A Place to Start [article],"Pryor, C. Scott (Cited 96 times)",3173,"Journal of Christian Legal Thought, Vol. 1, Issue 3 (Winter 2011), pp. 7-20",1 J. Christian Legal Thought 7 (2011),"Contracts, Ethics, Politics",na,na,12
