Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Saving Granny from the Wolf: Elder Abuse and Neglect--The Legal Framework [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Connecticut Law Review, Vol. 31, Issue 1 (Fall 1998), pp. 77-204",31 Conn. L. Rev. 77 (1998-1999),"Abandonment, Clergy, Desertion, Elder Abuse, Elder Law, Health Care Providers, Hospitals, Physicians, Police, Psychiatrists and Psychologists",73,na,45
Filial Responsibility Statutes: Legal and Policy Considerations [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Journal of Law and Policy, Vol. 9, Issue 3 (2001), pp. 709-736",9 J.L. & Pol'y 709 (2001),"Crimes, Domestic Relations, Family Responsibility/Support Laws, Indigents, Parents and Children, Statutes, Children",32,1,18
Adult Children and Indigent Parents: Intergenerational Responsibilities in International Perspective [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Marquette Law Review, Vol. 86, Issue 3 (Winter 2002), pp. 401-456",86 Marq. L. Rev. 401 (2002-2003),"Children, Domestic Relations, Elder Law, Family Responsibility/Support Laws, Indigents, International Law: History, Parents and Children, Social Welfare Law, Medicaid, Statutes",31,na,10
Rediscovering Discovery: State Procedural Rules and the Level Playing Field [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Rutgers Law Review, Vol. 54, Issue 3 (Spring 2002), pp. 595-648",54 Rutgers L. Rev. 595 (2001-2002),"Civil Procedure, Discovery, Interrogatories, Practice and Procedure, Antitrust",30,na,2
Employment-at-Will & (and) Codes of Ethics: THe Professional's Dilemma [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Valparaiso University Law Review, Vol. 23, Issue 1 (Fall 1988), pp. 33-74",23 Val. U. L. Rev. 33 (1988-1989),"Employment, Employment-At-Will, Ethics, Labor, Professional Ethics",28,3,5
When Silence Resounds: Clergy and the Requirement to Report Elder Abuse and Neglect [article],"Moskowitz, Seymour (Cited 297 times); DeBoer, Michael J. (Cited 56 times)",7522,"DePaul Law Review, Vol. 49, Issue 1 (Fall 1999), pp. 1-84",49 DePaul L. Rev. 1 (1999-2000),"Clergy, Elder Abuse, Elder Law, Religion, Age, Background Checks, Criminal Records",21,na,9
Golden Age in the Golden State: Contemporary Legal Developments in Elder Abuse and Neglect [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Loyola of Los Angeles Law Review, Vol. 36, Issue 2 (Winter 2003), pp. 589-666",36 Loy. L.A. L. Rev. 589 (2002-2003),"Age, Background Checks, Criminal Records, Elder Abuse, Cause of Action, Industry, Long-Term Care, Medical Jurisprudence",21,na,8
Save the Children: The Legal Abandonment of American Youth in the Workplace [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Akron Law Review , Vol. 43, Issue 1 (2010), pp. 107-162",43 Akron L. Rev. 107 (2010),"Abandonment, Child Labor, Children, Contracts, Drivers' Licenses, Juveniles, History, Labor, Students, Labor",13,na,4
Discovering Discovery: Non-Party Access to Pretrial Information in the Federal Courts 1938-2006 [article],"Moskowitz, Seymour (Cited 297 times)",7522,"University of Colorado Law Review, Vol. 78, Issue 3 (2007), pp. 817-878",78 U. Colo. L. Rev. 817 (2007),na,11,na,21
Discovery in State Civil Procedure: The National Perspective [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Western State University Law Review, Vol. 35, Issue 1 (Fall 2007), pp. 121-146",35 W. St. U. L. Rev. 121 (2007-2008),"Civil Procedure, Discovery, Procedure, Defendants",9,na,4
New Remedies for Elder Abuse and Neglect [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Probate and Property, Vol. 12, Issue 1 (January/February 1998), pp. 52-56",12 Prob. & Prop. 52 (1998),"Elder Abuse, Remedies, Cause of Action, Industry, Long-Term Care, Medical Jurisprudence, Elder Law",9,na,4
Pay Equity and American Nurses: A Legal Analysis [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Saint Louis University Law Journal, Vol. 27, Issue 4 (November 1983), pp. 801-856",27 St. Louis U. L.J. 801 (1983),"Equity, Agency, Health, Licensing, Medical Jurisprudence",6,na,na
Malignant Indifference: The Wages of Contemporary Child Labor in the United States [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Oklahoma Law Review, Vol. 57, Issue 3 (Fall 2004), pp. 465-528",57 Okla. L. Rev. 465 (2004),"Child Labor, Juveniles, Labor, Labor, Parents and Children, States, Wages, Agriculture Law, Industry, International Law: History",4,na,7
On Golden Pond: Integrating Legal Issues of the Elderly into Family Law [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Stetson Law Review, Vol. 30, Issue 4 (Spring 2001), pp. 1427-1468",30 Stetson L. Rev. 1427 (2000-2001),"Family Responsibility/Support Laws, Grandparent Visitation Rights, Premarital Agreements, Spouses, Elder Law",4,na,2
New Opportunities for Unions to Foster Equal Employment Opportunity [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Valparaiso University Law Review, Vol. 15, Issue 1 (Fall 1980), pp. 1-48",15 Val. U. L. Rev. 1 (Fall 1980),"Employment, Equal Employment, Unions, Disability, Discrimination, Pregnancy, Sex, Sex Discrimination, Labor, Labor-Management Relations",2,na,4
Dickens Redux: How American Child Labor Law Became a Con Game [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Whittier Journal of Child and Family Advocacy, Vol. 10, Issue 1 (Fall 2010), pp. 89-156",10 Whittier J. Child. & Fam. Advoc. 89 (2010-2011),"Child Labor, Labor, Labor, Agriculture Law, Children, Juveniles, Tobacco, Abandonment, Contracts, Drivers' Licenses",2,na,1
Adolescent Workers and Sexual Harassment [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Labor Law Journal, Vol. 51, Issue 3 (Fall 2000), pp. 78-85",Full Text Not Currently Available in HeinOnline,"Harassment, Sexual Harassment, Employment Practice",na,na,na
Justice Scalia: Class Warrior [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Valparaiso University Law Review, Vol. 50, Issue 3 (Spring 2016), pp. 623-628",50 Val. U. L. Rev. 623 (2015-2016),"Class Actions, Dispute Resolution, Practice and Procedure, Law and Society, Jurisprudence",na,na,4
Protecting the Gold in the Golden Years: Practical Guidance for Professionals on Financial Exploitation [article],"Lemke, Julie A. (Cited 1 times); Moskowitz, Seymour (Cited 297 times)",7522,"Marquette Elder's Advisor, Vol. 7, Issue 1 (Fall 2005), pp. 1-28",7 Marq. Elder's Advisor 1 (2005-2006),"Legal Profession, Elder Law, Trade Regulation, Research, States, Statutes",na,na,1
"Farewell, Big Al [comments]","Moskowitz, Seymour (Cited 297 times)",7522,"Valparaiso University Law Review, Vol. 41, Issue 3 (Spring 2007), pp. 1057-1060",41 Val. U. L. Rev. 1057 (2006-2007),"Legal Aid, Education Law, Psychiatrists and Psychologists, Special Education, Students, Science and Technology",na,na,na
Child Labor in America: Who's Protecting Our Kids [article],"Moskowitz, Seymour (Cited 297 times)",7522,"Labor Law Journal, Vol. 51, Issue 4 (Winter 2000), pp. 202-211",Full Text Not Currently Available in HeinOnline,"Child Labor, Labor, History, Students, States",na,na,na
Connecticut Labor Relations Law: Recent Developments in an Evolving Identity [article],"Foy, J. Larry (Cited 8 times); Moskowitz, Seymour (Cited 297 times)",7522,"Connecticut Law Review, Vol. 17, Issue 2 (Winter 1985 ), pp. 249-306",17 Conn. L. Rev. 249 (1984-1985),"Labor, Labor-Management Relations, Arbitration, Employees, Interest, Interest Arbitration, Collective Bargaining",na,na,na
