Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Mental Health Court Judges as Dynamic Risk Managers: A New Conceptualization of the Role of Judges [article],"Talesh, Shauhin (Cited 53 times)",1233,"DePaul Law Review, Vol. 57, Issue 1 (Fall 2007), pp. 93-132",57 DePaul L. Rev. 93 (2007-2008),"Health, Judges, Mental Health, Psychiatrists and Psychologists, Courts",18,na,22
Welfare Migration to Capture Higher Benefits: Fact or Fiction [notes],"Talesh, Shauhin A. (Cited 53 times)",1233,"Connecticut Law Review, Vol. 32, Issue 2 (Winter 2000), pp. 675-716",32 Conn. L. Rev. 675 (Winter 2000),"Social Welfare Law, Right to Travel, Constitutional Law, Public Policy",7,na,3
How the Haves Come out Ahead in the Twenty-First Century [article],"Talesh, Shauhin (Cited 53 times)",1233,"DePaul Law Review, Vol. 62, Issue 2 (Winter 2013), pp. 519-554",62 DePaul L. Rev. 519 (2012-2013),"Dispute Resolution, Arbitration, Employment Practice",6,na,19
The Privatization of Public Legal Rights: How Manufacturers Construct the Meaning of Consumer Law [article],"Talesh, Shauhin A. (Cited 53 times)",1233,"Law & Society Review, Vol. 43, Issue 3 (2009), pp. 527-562",43 Law & Soc'y Rev. 527 (2009),"Consumer Protection Law, Legislation, Politics, Privatization, Dispute Resolution, Consumer Protection Law, Organizations",5,na,4
How Dispute Resolution System Design Matters: An Organizational Analysis of Dispute Resolution Structures and Consumer Lemon Laws [article],"Talesh, Shauhin A. (Cited 53 times)",1233,"Law & Society Review, Vol. 46, Issue 3 (September 2012), pp. 463-496",46 Law & Soc'y Rev. 463 (2012),"Dispute Resolution, Consumer Protection Law, Consumer Protection Law, Legislation, Organizations, Politics, Privatization",5,na,14
Institutional and Political Sources of Legislative Change: Explaining How Private Organizations Influence the Form and Content of Consumer Protection Legislation [article],"Talesh, Shauhin A. (Cited 53 times)",1233,"Law & Social Inquiry, Vol. 39, Issue 4 (Fall 2014), pp. 973-1005",39 Law & Soc. Inquiry 973 (2014),"Consumer Protection Law, Consumer Protection Law, Legislation, Organizations, Dispute Resolution, Politics, Privatization",2,na,6
"Data Breach, Privacy, and Cyber Insurance: How Insurance Companies Act as Compliance Managers for Businesses [article]","Talesh, Shauhin A. (Cited 53 times)",1233,"Law & Social Inquiry, Vol. 43, Issue 2 (Spring 2018), pp. 417-440",Full Text Not Currently Available in HeinOnline,"Information Privacy, Insurance Law, Insurance Companies, Insurance Law, Privacy",na,na,na
Breaking the Learned Helplessness of Patients: Why MCOs Should be Required to Disclose Financial Incentives [article],"Talesh, Shauhin A. (Cited 53 times)",1233,"Law and Psychology Review, Vol. 26, pp. 49-96",26 Law & Psychol. Rev. 49 (2002),"Patients, Managed Care, Organizations, Health Law, Jurisdiction",2,na,17
"Insurance Companies as Corporate Regulators: The Good, the Bad, and the Ugly [article]","Talesh, Shauhin A. (Cited 53 times)",1233,"DePaul Law Review, Vol. 66, Issue 2 (Winter 2017), pp. 463-502",66 DePaul L. Rev. 463 (2016-2017),"Insurance Law, Insurance Companies, Insurance Law, Business Organizations, Economics, Law and Society, Human Rights Law",2,na,16
Parole Officers and the Exclusionary Rule: Is There any Deterrent Left [notes],"Talesh, Shauhin A. (Cited 53 times)",1233,"Connecticut Law Review, Vol. 31, Issue 3 (Spring 1999), pp. 1179-1216",31 Conn. L. Rev. 1179 (1998-1999),"Exclusionary Rule, Parole, Criminal Law, Probation, Revocation, Constitutional Law, Criminal Procedure, Fourth Amendment, Privacy, Procedure",2,na,1
Legal Intermediaries: How Insurance Companies Construct the Meaning of Compliance with Antidiscrimination Laws [article],"Talesh, Shauhin (Cited 53 times)",1233,"Law and Policy, Vol. 37, Issue 3 (July 2015), pp. 209-239",37 Law & Pol'y 209 (2015),"Insurance Law, Insurance Companies, Employment, Employment Practice, Liability, Liability Insurance, Employment Discrimination, Insurance Law",1,na,9
Insurance Law as Public Interest Law [article],"Talesh, Shauhin (Cited 53 times)",1233,"UC Irvine Law Review, Vol. 2, Issue 3 (December 2012), pp. 985-1010",2 UC Irvine L. Rev. 985 (2012),"Insurance Law, Insurance Law, Interest, Public Interest Law",1,na,6
A New Institutional Theory of Insurance [article],"Talesh, Shauhin (Cited 53 times)",1233,"UC Irvine Law Review, Vol. 5, Issue 3 (August 2015), pp. 617-650",5 UC Irvine L. Rev. 617 (2015),"Insurance Law, Jurisprudence, Damages, Punitive Damages",na,na,10
Rule-Intermediaries in Action: How State and Business Stakeholders Influence the Meaning of Consumer Rights in Regulatory Governance Arrangements [article],"Talesh, Shauhin (Cited 53 times)",1233,"Law and Policy, Vol. 37, Issue 1-2 (January-April 2015), pp. 1-31",37 Law & Pol'y 1 (2015),"Consumer Protection Law, Consumer Protection Law, Legislation, Organizations, Dispute Resolution, Implied Warranties",na,na,14
