Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Justice from the Ground Up: Distributive Inequities, Grassroots Resistance, and the Transformative Politics of the Environmental Justice Movement [article]","Foster, Sheila (Cited 654 times)",255,"California Law Review, Vol. 86, Issue 4 (July 1998), pp. 775-842",86 Calif. L. Rev. 775 (1998),"Environmental Justice, Politics, Civil Rights, Environmental Law, Health Law",123,na,129
Difference and Equality: A Critical Assessment of the Concept of Diversity [article],"Foster, Sheila (Cited 654 times)",255,"Wisconsin Law Review, Vol. 1993, Issue 1 (1993), pp. 105-162",1993 Wis. L. Rev. 105 (1993),"Civil Rights, Jurisprudence, Affirmative Action, Judiciary",82,na,64
Integrative Lawyering: Navigating the Political Economy of Urban Redevelopment [article],"Foster, Sheila R. (Cited 654 times); Glick, Brian (Cited 112 times)",255,"California Law Review, Vol. 95, Issue 5 (October 2007), pp. 1999-2072",95 Calif. L. Rev. 1999 (October 2007),"Redevelopment, Economic Development, State and Local Government Law, Law and Society",58,na,53
Intent and Incoherence [article],"Foster, Sheila (Cited 654 times)",255,"Tulane Law Review , Vol. 72, Issue 4 (March 1998), pp. 1065-1176",72 Tul. L. Rev. 1065 (1997-1998),"Jurisprudence, Equal Protection, Constitutional Law, Discrimination, Fourteenth Amendment",54,1,7
The City as an Ecological Space: Social Capital and Urban Land Use [article],"Foster, Sheila R. (Cited 654 times)",255,"Notre Dame Law Review , Vol. 82, Issue 2 (December 2006), pp. 527-582",82 Notre Dame L. Rev. 527 (2006-2007),"Land Use, Land Use Planning, Law and Society, Children, Property Law, Revolution",46,na,53
Race(ial)Matters: The Quest for Environmental Justice [comments],"Foster, Sheila (Cited 654 times)",255,"Ecology Law Quarterly, Vol. 20, Issue 4 (1993), pp. 721-754",20 Ecology L.Q. 721 (1993),"Civil Rights, Environmental Justice, Law and Society, Race, Evidence",44,na,14
Environmental Justice in an Era of Devolved Collaboration [article],"Foster, Sheila (Cited 654 times)",255,"Harvard Environmental Law Review, Vol. 26, Issue 2 (2002), pp. 459-498",26 Harv. Envtl. L. Rev. 459 (2002),"Environmental Justice, Law and Society, Environmental Law",34,na,32
Causation in Antidiscrimination Law: Beyond Intent versus Impact [article],"Foster, Sheila R. (Cited 654 times)",255,"Houston Law Review, Vol. 41, Issue 5 (Spring 2005), pp. 1469-1548",41 Hous. L. Rev. 1469 (2004-2005),"Causation, Jurisprudence, Law and Society, Discrimination",30,na,26
Collective Action and the Urban Commons [article],"Foster, Sheila R. (Cited 654 times)",255,"Notre Dame Law Review, Vol. 87, Issue 1 (November 2011), pp. 57-134",87 Notre Dame L. Rev. 57 (November 2011),Land Use Planning,25,na,202
The Mobility Case for Regionalism [article],"Davidson, Nestor M. (Cited 527 times); Foster, Sheila R. (Cited 654 times)",255,"U.C. Davis Law Review, Vol. 47, Issue 1 (November 2013), pp. 63-120",47 U.C.D. L. Rev. 63 (2013-2014),"Government, Local Government, Jurisdiction, Jurisprudence, Urban Renewal",20,na,9
Symposium: The Social Function of Property: A Comparative Perspective: Introduction [comments],"Foster, Sheila R. (Cited 654 times); Bonilla, Daniel (Cited 40 times)",255,"Fordham Law Review, Vol. 80, Issue 3 (December 2011), pp. 1003-1016",80 Fordham L. Rev. 1003 (2011-2012),"Law and Society, Comparative Law, Legal History",16,na,13
"Environmental Justice: Stakes, Stakeholders, Strategies [article]","Gauna, Eileen (Cited 230 times); Foster, Sheila (Cited 654 times)",255,"Human Rights, Vol. 30, Issue 4 (Fall 2003), pp. 2-4",30 Hum. Rts. 2 (2003),Environmental Justice,15,2,5
The Symbolism of Rights and the Costs of Symbolism: Some Thoughts on the Campaign for Same-Sex Marriage [article],"Foster, Sheila Rose (Cited 654 times)",255,"Temple Political & Civil Rights Law Review, Vol. 7, Issue 2 (Spring 1998), pp. 319-328",7 Temp. Pol. & Civ. Rts. L. Rev. 319 (1997-1998),"Costs, Martial Law, Same-Sex Marriage, Sex, Family Responsibility/Support Laws, Homosexuality, South Africa, Unmarried Couples, Equal Protection",15,na,9
Urban Informality as a Commons Dilemma [article],"Foster, Sheila R. (Cited 654 times)",255,"University of Miami Inter-American Law Review, Vol. 40, Issue 2 (Winter 2009), pp. 261-284",40 U. Miami Inter-Am. L. Rev. 261 (2008-2009),"Homes, Housing Law, Settlements, Land Use",14,na,39
Foreword [comments],"Foster, Sheila R. (Cited 654 times)",255,"Fordham Law Review, Vol. 73, Issue 5 (April 2005), pp. 2027-2040",73 Fordham L. Rev. 2027 (2004-2005),"Race, Jurisprudence, Law and Society",13,na,22
The City as a Commons [article],"Foster, Sheila R. (Cited 654 times); Iaione, Christian (Cited 28 times)",255,"Yale Law & Policy Review, Vol. 34, Issue 2 (2016), pp. 281-350",34 Yale L. & Pol'y Rev. 281 (2015-2016),"Politics, Legislation, Settlements",12,na,117
Introduction [comments],"Lenhardt, R. A. (Cited 428 times); Cooper, Elizabeth B. (Cited 107 times); Foster, Sheila R. (Cited 654 times); Katyal, Sonia K. (Cited 533 times)",255,"Fordham Law Review , Vol. 76, Issue 6 (May 2008), pp. 2669-2684",76 Fordham L. Rev. 2669 (2007-2008),"Domestic Relations, Sexuality and the Law, Martial Law, Same-Sex Marriage, Sex, Adultery",11,na,7
From Harlem to Havana: Sustainable Urban Development [article],"Foster, Sheila R. (Cited 654 times)",255,"Tulane Environmental Law Journal, Vol. 16, Special Issue (Summer 2003), pp. 783-806",16 Tul. Envtl. L.J. 783 (2002-2003),"Urban Development, Investigations",8,na,18
