Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Personal Jurisdiction: A Doctrinal Labyrinth with No Exit [article],"Grossi, Simona (Cited 45 times)",6229,"Akron Law Review, Vol. 47, Issue 3 (2014), pp. 617-662",47 Akron L. Rev. 617 (2014-2015),"Jurisdiction, Legal History, Sovereignty, Business Organizations, Practice and Procedure",14,1,4
Rethinking the Harmonization of Jurisdictional Rules [article],"Grossi, Simona (Cited 45 times)",6229,"Tulane Law Review, Vol. 86, Issue 3 (February 2012), pp. 623-712",86 Tul. L. Rev. 623 (February 2012),"Conflict of Laws, International Law: History, Jurisdiction, Private International Law, Remedies",10,na,12
A Modified Theory of the Law of Federal Courts: The Case of Arising-under Jurisdiction [article],"Grossi, Simona (Cited 45 times)",6229,"Washington Law Review, Vol. 88, Issue 3 (October 2013), pp. 961-1020",88 Wash. L. Rev. 961 (2013),"Courts, Federal Courts, Jurisdiction, Jurisprudence, Legal Malpractice, Malpractice, Liability, Professional Ethics",7,na,7
Forum Non Conveniens as a Jurisdictional Doctrine [article],"Grossi, Simona (Cited 45 times)",6229,"University of Pittsburgh Law Review, Vol. 75, Issue 1 (Fall 2013), pp. 1-38",75 U. Pitt. L. Rev. 1 (2013-2014),"Forum Non Conveniens, Jurisdiction, Legal History, Practice and Procedure",7,1,45
The Claim [article],"Grossi, Simona (Cited 45 times)",6229,"Houston Law Review, Vol. 55, Issue 1 (Fall 2017), pp. 1-62",55 Hous. L. Rev. 1 (2017-2018),"Practice and Procedure, Courts, Due Process, Fourteenth Amendment",2,na,20
A Comparative Analysis between Italian Civil Proceedings and American Civil Proceedings before Federal Courts [article],"Grossi, Simona (Cited 45 times)",6229,"Indiana International & Comparative Law Review, Vol. 20, Issue 2 (2010), pp. 213-280",20 Ind. Int'l & Comp. L. Rev. 213 (2010),"Courts, Federal Courts, Practice and Procedure, Civil Procedure, Interest, Procedure, Comparative Law",2,na,6
The Purposeful Availment Trap [article],"Idea, Allan (Cited 225 times); Grossi, Simona (Cited 45 times)",6229,"Federal Courts Law Review, Vol. 7, Issue 1 (2014), pp. 113-122",7 Fed. Cts. L. Rev. 113 (2014),"Commerce, Child Support, Domestic Relations, Jurisdiction, Arts, Contracts, Internet, Practice and Procedure",1,na,20
Procedural Due Process [article],"Grossi, Simona (Cited 45 times)",6229,"Seton Hall Circuit Review, Vol. 13, Issue 2 (Spring 2017), pp. 155-202",13 Seton Hall Cir. Rev. 155 (2016-2017),"Due Process, Fourteenth Amendment, Constitutional Rights, Colleges and Universities",1,na,32
The Courts and the People in a Democratic System: Against Federal Court Exceptionalism [article],"Grossi, Simona (Cited 45 times)",6229,"Notre Dame Law Review Online, Vol. 92, pp. 106-111",92 Notre Dame L. Rev. Online 106 (2016),"Courts, Practice and Procedure, Due Process, Fourteenth Amendment",1,na,1
"Purposeful Availment Trap, The","Ides, Allan (Cited 225 times); Grossi, Simona (Cited 45 times)",6229,na,2013 Fed. Cts. L. Rev. 1,na,na,na,na
Venezuela v. Helmerich: Will Formalism Win over Substantive Law Again [article],"Grossi, Simona (Cited 45 times)",6229,"New York University Journal of Law and Liberty, Vol. 11, Issue 1 (2017), pp. 455-469",11 N.Y.U. J.L. & Liberty 455 (2017-2018),"Jurisdiction, International Law: History, Takings",na,na,11
Introducing U.S. Law [reviews],"Grossi, Simona (Cited 45 times)",6229,"Jotwell: The Journal of Things We Like (Lots), Vol. 2016, pp. [414]-[415]",2016 Jotwell: J. Things We Like [414] (2016),"Education Law, Legal Education, States, Students, Brokers",na,na,na
"Frontloading, Class Actions, and a Proposal for a New Rule 23 [article]","Grossi, Simona (Cited 45 times)",6229,"Lewis & Clark Law Review, Vol. 21, Issue 4 (2017), pp. 921-980",21 Lewis & Clark L. Rev. 921 (2017),"Class Actions, Practice and Procedure, Legal History, Consumer Protection Law, Statutes",na,na,5
The Claim-Centered Approach to Arising-under Jurisdiction: A Brief Rejoinder to Professor Mulligan [comments],"Grossi, Simona (Cited 45 times)",6229,"Washington Law Review, Vol. 89, Issue 2 (June 2014), pp. 487-490",89 Wash. L. Rev. 487 (2014),"Jurisdiction, Jurisprudence, Courts, Federal Courts",na,na,na
