Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Towards a Theory of Law and Entrepreneurship [article],"Hobbs, Steven H. (Cited 228 times)",5687,"Capital University Law Review, Vol. 26, Issue 2 (1997), pp. 241-300",26 Cap. U. L. Rev. 241 (1997),"Business Organizations, International Trade, Globalization, Commercial Law, Curriculum, Schools",41,na,21
Facilitative Ethics in Divorce Mediation: A Law and Process Approach [article],"Hobbs, Steven H. (Cited 228 times)",5687,"University of Richmond Law Review, Vol. 22, Issue 3 (Spring 1988), pp. 325-376",22 U. Rich. L. Rev. 325 (1987-1988),"Dispute Resolution, Divorce, Domestic Relations, Ethics, Attorneys",21,na,9
"Ethical Management of Assets for Elder Clients: A Context, Role, and Law Approach [article]","Hobbs, Steven H. (Cited 228 times); Hobbs, Fay Wilson (Cited 27 times)",5687,"Fordham Law Review, Vol. 62, Issue 5 (1994), pp. 1411-1428",62 Fordham L. Rev. 1411 (1993-1994),"Elder Law, Comparative Law, Social Security, Social Welfare Law",18,na,2
From the Shoulders of Houston: A Vision for Social and Economic Justice [article],"Hobbs, Steven H. (Cited 228 times)",5687,"Howard Law Journal, Vol. 32, Issue 3 (1989), pp. 505-548",32 Howard L.J. 505 (1989),"Jurisprudence, Environmental Justice, Remedies",17,na,2
The Lawyer's Duties of Confidentiality and Avoidance of Harm to Others: Lessons from Sunday School [comments],"Hobbs, Steven H. (Cited 228 times)",5687,"Fordham Law Review, Vol. 66, Issue 4 (March 1998), pp. 1431-1454",66 Fordham L. Rev. 1431 (1997-1998),"Confidentiality, Holocaust, Church and State, Religion",15,na,6
In Search of Family Value: Constructing a Framework for Jurisprudential Discourse [article],"Hobbs, Steven H. (Cited 228 times)",5687,"Marquette Law Review, Vol. 75, Issue 3 (Spring 1992), pp. 529-568",75 Marq. L. Rev. 529 (1991-1992),"Domestic Relations, Law and Society, Bioethics, Family Responsibility/Support Laws",11,na,2
Symposium Introduction: Sharing Stories about Our Commitment to Teaching Ethics [comments],"Hobbs, Steven H. (Cited 228 times)",5687,"Journal of the Legal Profession, Vol. 26, pp. 101-122",26 J. Legal Prof. 101 (2002),"Commitment, Ethics, Legal Education, Legal Ethics, Radio, Technology",11,na,na
"We Are Family: Changing Times, Changing Ideologies and Changing Law [article]","Hobbs, Steven H. (Cited 228 times)",5687,"Capital University Law Review, Vol. 14, Issue 4 (1985), pp. 511-558",14 Cap. U. L. Rev. 511 (1984-1985),"Women, Child Support, Domestic Relations, Family Responsibility/Support Laws",10,na,4
Ethics in the Age of Entrepreneurship [article],"Hobbs, Steven H. (Cited 228 times)",5687,"South Texas Law Review, Vol. 39, Issue 2 (March 1998), pp. 599-620",39 S. Tex. L. Rev. 599 (1997-1998),"Age, Ethics, Attorneys, Legal Education, Legal Profession, Tax Policy",9,na,15
Entrepreneurship and Law: Accessing the Power of the Creative Impulse [comments],"Hobbs, Steven H. (Cited 228 times)",5687,"Entrepreneurial Business Law Journal, Vol. 4, Issue 1 (2009), pp. 1-20",4 Entrepreneurial Bus. L.J. 1 (2009-2010),"Courts, Education Law, Arts",9,na,8
Ralph Ellison as Oral Storyteller [article],"Hobbs, Steven H. (Cited 228 times)",5687,"Oklahoma City University Law Review, Vol. 26, Issue 3 (Fall 2001), pp. 927-988",26 Okla. City U. L. Rev. 927 (2001),"Blood, Literature, Lynching",9,na,4
Family Businesses and the Business of Families: A Consideration of the Role of the Lawyer [article],"Hobbs, Steven H. (Cited 228 times); Hobbs, Fay Wilson (Cited 27 times)",5687,"Texas Wesleyan Law Review, Vol. 4, Issue 2 (Spring 1998), pp. 153-176",4 Tex. Wesleyan L. Rev. 153 (1997-1998),"Psychiatrists and Psychologists, Commercial Law, Estate Planning, Ownership",9,na,2
Family Matters: Nonwaivable Conflicts of Interest in Family Law [article],"Hobbs, Steven H. (Cited 228 times)",5687,"Seattle University Law Review, Vol. 22, Issue 1 (Summer 1998), pp. 57-96",22 Seattle U. L. Rev. 57 (1998-1999),"Family Responsibility/Support Laws, Interest",9,na,1
Shout from Taller Rooftops: A Response to Deborah L. Rhode's Access to Justice [comments],"Hobbs, Steven H. (Cited 228 times)",5687,"Fordham Law Review, Vol. 73, Issue 3 (December 2004), pp. 935-954",73 Fordham L. Rev. 935 (2004-2005),"Judges, Interest, Legal Profession, Social Welfare Law",7,na,6
"Following the Drum Major for Justice: Reflections on Luther D. Ivory's Toward a Theology of Radical Involvement: The Theological Legacy of Martin Luther King, Jr. [comments]","Hobbs, Steven H. (Cited 228 times)",5687,"Alabama Law Review, Vol. 50, Issue 1 (Fall 1998), pp. 7-38",50 Ala. L. Rev. 7 (1998-1999),na,6,na,4
Love on the Oregon Trail: What the Story of Maynard v. Hill Teaches Us about Marriage and Democratic Self-Governance [article],"Hobbs, Steven H. (Cited 228 times)",5687,"Hofstra Law Review, Vol. 32, Issue 1 (Fall 2003), pp. 111-144",32 Hofstra L. Rev. 111 (2003-2004),"Legal History, Martial Law, Democracy, Law and Society, Sexuality and the Law, Divorce",6,na,3
Tending to the Spirit: A Proposal for Healing the Hearts of Black Children in Poverty [article],"Hobbs, Steven H. (Cited 228 times); Baity, Shenavia (Cited 5 times)",5687,"Boston College Third World Law Journal, Vol. 26, Issue 1 (Winter 2006), pp. 107-130",26 B.C. Third World L.J. 107 (Winter 2006),"Children, Civil Rights, Medicaid",5,na,9
Hitting the Sweet Spot: Finding the Center in Teaching Professional Responsibility [article],"Hobbs, Steven H. (Cited 228 times)",5687,"Saint Louis University Law Journal, Vol. 51, Issue 4 (Summer 2007), pp. 1269-1290",51 St. Louis U. L.J. 1269 (2006-2007),"Ethics, Legal Ethics, Legal Education, Education Law",3,na,4
An Entrepreneurial Perspective on the Business of Being in Our Profession [article],"Hobbs, Steven H. (Cited 228 times)",5687,"Fordham Urban Law Journal, Vol. 40, Issue 1 (November 2012), pp. 395-432",40 Fordham Urb. L.J. 395 (2012-2013),"Globalization, States, Ethics, Legal Ethics, Legal Profession",3,na,2
Centrist Judging and Traditional Family Values: Or Why Papa Can't Be a Rolling Stone [article],"Hobbs, Steven H. (Cited 228 times); Mulligan, Mary F. (Cited 3 times)",5687,"Washington and Lee Law Review, Vol. 49, Issue 2 (Spring 1992), pp. 345-356",49 Wash. & Lee L. Rev. 345 (Spring 1992),"Domestic Relations, Asylum, Constitutional Law, Due Process, Immigration Law",3,na,1
Alabama's Mirror: The People's Crusade for Civil Rights [comments],"Hobbs, Steven H. (Cited 228 times)",5687,"Alabama Civil Rights & Civil Liberties Law Review, Vol. 6, Issue 1 (2014), pp. 1-20",6 Ala. C.R. & C.L. L. Rev. 1 (2014-2015),"Civil Rights, Cause of Action",2,na,14
O'Connor's Canons: The Professional Responsibility Jurisprudence of Justice Sandra Day O'Connor [article],"Hobbs, Steven H. (Cited 228 times)",5687,"Willamette Law Review, Vol. 52, Issue 1 (Fall 2015), pp. 99-172",52 Willamette L. Rev. 99 (2015-2016),"First Amendment, Jurisprudence, Legal Profession, Professional Ethics, Supreme Court of the United States",2,na,13
The Marcus Garvey Case: A Law and Power Theory Analysis of Political Suppression of Human Dignity [article],"Hobbs, Steven H. (Cited 228 times); Fitch, Frank H. III (Cited 1 times)",5687,"George Mason University Civil Rights Law Journal, Vol. 2, Issue 1 (Summer 1991), pp. 15-44",2 Geo. Mason U. C.R. L.J. 15 (1991-1992),"History, International Law: History, Legal History, Military, War and Peace, Self-Determination, Human Rights Law, United Nations, Freedom of Religion, Religion",1,na,5
Symposium Introduction [comments],"Hobbs, Steven H. (Cited 228 times)",5687,"Alabama Law Review, Vol. 50, Issue 1 (Fall 1998), pp. 1-6",50 Ala. L. Rev. 1 (1998-1999),na,1,na,na
The Tribes of Maycomb County: The Continuing Quest to Transcend Our Differences [article],"Hobbs, Steven H. (Cited 228 times)",5687,"Cumberland Law Review, Vol. 47, Issue 1 (2016-2017), pp. 61-84",47 Cumb. L. Rev. 61 (2016-2017),"Law and Society, Jurisdiction, Sovereignty, Labor, Labor, Labor-Management Relations, Self-Determination",na,na,21
Personal Reflections on Adarand Construction Co. v. Pena [article],"Hobbs, Steven H. (Cited 228 times)",5687,"Race and Ethnic Ancestry Law Digest, Vol. 2, pp. 18-25",2 Race & Ethnic Anc. L. Dig. 18 (1996),"Civil Rights, Race, Constitutional Law, Equal Protection, Fifth Amendment, Fourteenth Amendment, Gender",na,na,4
Community Economic Development and the Concept of Justice [notes],"Hobbs, Steven H. (Cited 228 times)",5687,"Journal of Affordable Housing and Community Development Law, Vol. 27, Issue 3 (2019), pp. 481-484",27 J. Affordable Hous. & Cmty. Dev. L. 481 (2018-2019),"Human Rights Law, United Nations, History, International Law: History, Legal History, Military, War and Peace, Self-Determination",na,na,2
