Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Soul for Sale: An Empirical Study of Associate Satisfaction, Law Firm Culture, and the Effects of Billable Hour Requirements [article]","Fortney, Susan Saab (Cited 475 times)",3062,"UMKC Law Review, Vol. 69, Issue 2 (Winter 2000), pp. 239-310",69 UMKC L. Rev. 239 (2000-2001),"Legal Profession, Fees, Attorneys, Ethics, Professional Ethics",81,na,58
Seeking Shelter in the Minefield of Unintended Consequences--The Traps of Limited Liability Law Firms [article],"Fortney, Susan Saab (Cited 475 times)",3062,"Washington and Lee Law Review, Vol. 54, Issue 2 (1997), pp. 717-768",54 Wash. & Lee L. Rev. 717 (1997),"Legal Profession, Liability, Risk Management, Partnerships",52,1,6
Are Law Firm Partners Islands unto Themselves - An Empirical Study of Law Firm Peer Review and Culture [article],"Fortney, Susan Saab (Cited 475 times)",3062,"Georgetown Journal of Legal Ethics, Vol. 10, Issue 2 (Winter 1996), pp. 271-316",10 Geo. J. Legal Ethics 271 (1996-1997),"Legal Profession, Attorneys, Third Parties, Banking, Industrial and Intellectual Property, Investment",44,na,9
Am I My Partner's Keeper - Peer Review in Law Firms [article],"Fortney, Susan Saab (Cited 475 times)",3062,"University of Colorado Law Review, Vol. 66, Issue 2 (1995), pp. 329-374",66 U. Colo. L. Rev. 329 (1994-1995),"Partnerships, Liability, Legal Profession",41,na,11
The Billable Hours Derby: Empirical Data on the Problems and Pressure Points [article],"Fortney, Susan Saab (Cited 475 times)",3062,"Fordham Urban Law Journal, Vol. 33, Issue 1 (November 2005), pp. 171-192",33 Fordham Urb. L.J. 171 (2005-2006),"Legal Profession, Fees",37,na,33
Professional Responsibility and Liability Issues Related to Limited Liability Law Partnerships [article],"Fortney, Susan Saab (Cited 475 times)",3062,"South Texas Law Review, Vol. 39, Issue 2 (March 1998), pp. 399-444",39 S. Tex. L. Rev. 399 (1997-1998),"Liability, Partnerships",29,na,25
Fortifying a Law Firm's Ethical Infrastructure: Avoiding Legal Malpractice Claims Based on Conflicts of Interest [article],"Fortney, Susan Saab (Cited 475 times); Hanna, Jett (Cited 91 times)",3062,"St. Mary's Law Journal, Vol. 33, Issue 4 (2002), pp. 669-720",33 St. Mary's L.J. 669 (2001-2002),"Interest, Legal Malpractice, Malpractice, Defendants, Medical Jurisprudence, Medical Malpractice, Practice and Procedure, Ethics, Professional Ethics",22,na,6
Law Firm General Counsel as Sherpa: Challenges Facing the In-Firm Lawyer's Lawyer [article],"Fortney, Susan Saab (Cited 475 times)",3062,"University of Kansas Law Review, Vol. 53, Issue 4 (May 2005), pp. 835-852",53 U. Kan. L. Rev. 835 (2004-2005),Corporations,16,na,8
I Don't Have Time to Be Ethical: Addressing the Effects of Billable Hour Pressure [article],"Fortney, Susan Saab (Cited 475 times)",3062,"Idaho Law Review, Vol. 39, Issue 2 (2003), pp. 305-320",39 Idaho L. Rev. 305 (2002-2003),"Legal Profession, Employment, Liability, Money",14,na,29
Law as a Profession: Examining the Role of Accountability [article],"Fortney, Susan Saab (Cited 475 times)",3062,"Fordham Urban Law Journal, Vol. 40, Issue 1 (November 2012), pp. 177-216",40 Fordham Urb. L.J. 177 (2012-2013),"Liability, Risk Management, Partnerships",14,na,13
