Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Adapting Intestacy Laws to Changing Families [article],"Gary, Susan N. (Cited 482 times)",3891,"Law and Inequality: A Journal of Theory and Practice, Vol. 18, Issue 1 (Winter 2000), pp. 1-84",18 Law & Ineq. 1 (2000),"Estate Planning, Domestic Relations, Inheritance, Probate Law",77,1,17
"Regulating the Management of Charities: Trust Law, Corporate Law, and Tax Law [article]","Gary, Susan N. (Cited 482 times)",3891,"University of Hawai'i Law Review, Vol. 21, Issue 2 (Winter 1999), pp. 593-658",21 U. Haw. L. Rev. 593 (1999),"Charities, Organizations, Taxation-Federal Income",71,na,29
Mediation and the Elderly: Using Mediation to Resolve Probate Disputes over Guardianship and Inheritance [article],"Gary, Susan N. (Cited 482 times)",3891,"Wake Forest Law Review, Vol. 32, Issue 2 (Summer 1997), pp. 397-444",32 Wake Forest L. Rev. 397 (1997),"Dispute Resolution, Estate Planning, Guardianship, Inheritance, Probate Law",69,na,34
The Parent-Child Relationship under Intestacy Statutes [article],"Gary, Susan N. (Cited 482 times)",3891,"University of Memphis Law Review, Vol. 32, Issue 3 (Spring 2002), pp. 643-686",32 U. Mem. L. Rev. 643 (2001-2002),"Statutes, Probate Law, Trusts",40,na,12
Marital Partnership Theory and the Elective Share: Federal Estate Tax Law Provides a Solution [article],"Gary, Susan N. (Cited 482 times)",3891,"University of Miami Law Review, Vol. 49, Issue 3-4 (Spring/Summer 1995), pp. 567-606",49 U. Miami L. Rev. 567 (Spring/Summer 1995),"Domestic Relations, Death, Estate Planning, Inheritance, Spouses, Community Property, Martial Law, Probate Law, Uniform Probate Code",36,1,10
Transfer-on-Death Deeds: The Nonprobate Revolution Continues [article],"Gary, Susan N. (Cited 482 times)",3891,"Real Property, Probate and Trust Journal, Vol. 41, Issue 3 (Fall 2006), pp. 529-570",41 Real Prop. Prob. & Tr. J. 529 (2006-2007),"Death, Deeds, Estate Planning, Inheritance, Probate Law, Real Estate, Revolution, Legislation",33,1,11
The Probate Definition of Family: A Proposal for Guided Discretion in Intestacy [article],"Gary, Susan N. (Cited 482 times)",3891,"University of Michigan Journal of Law Reform, Vol. 45, Issue 4 (Summer 2012), pp. 787-828",45 U. Mich. J.L. Reform 787 (2011-2012),"Probate Law, Estates, Inheritance, Estate Planning",25,na,33
"Charities, Endowments, and Donor Intent: The Uniform Prudent Management of Institutional Funds Act [article]","Gary, Susan N. (Cited 482 times)",3891,"Georgia Law Review, Vol. 41, Issue 4 (Summer 2007), pp. 1277-1334",41 Ga. L. Rev. 1277 (Summer 2007),"Charities, Trusts, Estates, Taxation-Federal Income, States",23,na,16
Applying Revocation-on-Divorce Statutes to Will Substitutes [article],"Gary, Susan N. (Cited 482 times)",3891,"Quinnipiac Probate Law Journal, Vol. 18, Issue 1 & 2 (2004), pp. 83-127",18 Quinnipiac Prob. L.J. 83 (2004-2005),"Divorce, Domestic Relations, Revocation, Statutes, Annulment, Insurance Law, Insurance Law, Insurance Policies, Life Insurance, Wills",22,na,2
"The Problems with Donor Intent: Interpretation, Enforcement, and Doing the Right Thing [article]","Gary, Susan N. (Cited 482 times)",3891,"Chicago-Kent Law Review, Vol. 85, Issue 3 (2010), pp. 977-1044",85 Chi.-Kent L. Rev. 977 (2010),"Estates, Gifts, Law and Society, Estates, Standing",18,na,22
We are Family: The Definition of Parent and Child for Succession Purposes [article],"Gary, Susan N. (Cited 482 times)",3891,"ACTEC Journal, Vol. 34, Issue 3 (Winter 2008), pp. 171-186",34 ACTEC J. 171 (2008-2009),"Estates, Inheritance, Domestic Relations, Estate Planning, Probate Law",18,na,16
Is it Prudent to be Responsible - The Legal Rules for Charities that Engage in Socially Responsible Investing and Mission Investing [article],"Gary, Susan N. (Cited 482 times)",3891,"Northwestern Journal of Law and Social Policy, Vol. 6, Issue 1 (Winter 2011), pp. 106-129",6 Nw. J. L. & Soc. Pol'y 106 (2011),"Charities, Trusts, Banking, Estates, Nonprofit Organizations",11,na,13
Posthumously Conceived - Where the Law Stands and What to Do about It Now [notes],"Gary, Susan N. (Cited 482 times)",3891,"Probate and Property, Vol. 19, Issue 2 (March/April 2005), pp. 32-41",19 Prob. & Prop. 32 (2005),"Children, Death, Estates, Inheritance, Probate Law, Reproduction",9,na,3
The Oregon Elective Share Statute: Is Reform an Impossible Dream [article],"Gary, Susan N. (Cited 482 times)",3891,"Willamette Law Review , Vol. 44, Issue 2 (Winter 2007), pp. 337-376",44 Willamette L. Rev. 337 (2007-2008),"Estate Planning, Domestic Relations, Death",8,na,na
Mediating Probate Disputes [article],"Gary, Susan N. (Cited 482 times)",3891,"Probate and Property, Vol. 13, Issue 4 (July/August 1999), pp. 11-16",13 Prob. & Prop. 11 (1999),"Probate Law, Dispute Resolution, Estate Planning, Guardianship, Inheritance",4,na,2
UPMIFA - Coming Some to a Legislature Near Year [article],"Gary, Susan N. (Cited 482 times)",3891,"Probate and Property, Vol. 21, Issue 1 (January-February 2007), pp. 32-35",21 Prob. & Prop. 32 (2007),"Accounting, Charities, Trusts, States",4,na,1
"Values and Value: University Endowments, Fiduciary Duties, and ESG Investing [article]","Gary, Susan N. (Cited 482 times)",3891,"Journal of College and University Law, Vol. 42, Issue 2 (2016), pp. 247-310",42 J.C. & U.L. 247 (2016),"Banking, Estates, Nonprofit Organizations, Politics, Education Law",3,na,76
The Greatest Heritage is the Love of a Family: The Larson Case and the Mediation of Probate Disputes [article],"Gary, Susan N. (Cited 482 times)",3891,"Pepperdine Dispute Resolution Law Journal, Vol. 1, Issue 2 (2001), pp. 233-240",1 Pepp. Disp. Resol. L.J. 233 (2000-2001),"Probate Law, Estates, Estates, Trusts",2,na,18
Death without Probate TOD Deeds - The Latest Tool in the Toolbox [article],"Horn, Dennis M. (Cited 4 times); Gary, Susan N. (Cited 482 times)",3891,"Probate and Property , Vol. 24, Issue 2 (March/April 2010), pp. 13-16",24 Prob. & Prop. 13 (2010),"Death, Deeds, Probate Law, Attorneys, Estates, Trusts, Estates",2,na,3
Best Interests in the Long Term: Fiduciary Duties and ESG Integration [article],"Gary, Susan N. (Cited 482 times)",3891,"University of Colorado Law Review, Vol. 90, Issue 3 (2019), pp. 731-802",90 U. Colo. L. Rev. 731 (2019),"Banking, Estates, Nonprofit Organizations, Trusts, Charities",1,na,55
"Restricted Charitable Gifts: Public Benefit, Public Voice [article]","Gary, Susan N. (Cited 482 times)",3891,"Albany Law Review, Vol. 81, Issue 2 (2017-2018), pp. 565-608",81 Alb. L. Rev. 565 (2017-2018),"Estates, Gifts, Law and Society, Interest, Estates",1,na,21
