Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Gender Bias in the Classroom [article],"Banks, Taunya Lovell (Cited 639 times)",2894,"Journal of Legal Education , Vol. 38, Issue 1 (1988), pp. 137-146",38 J. Legal Educ. 137 (1988),"Gender, Law and Society, Securities Law, Women, Courts, Education Law, Legal Education",148,na,305
Colorism: A Darker Shade of Pale [article],"Banks, Taunya Lovell (Cited 639 times)",2894,"UCLA Law Review, Vol. 47, Issue 6 (August 2000), pp. 1705-1746",47 UCLA L. Rev. 1705 (1999-2000),"Employment Practice, Race, Sentencing, Race",78,na,529
"Women and AIDS--Racism, Sexism, and Classism [article]","Banks, Taunya Lovell (Cited 639 times)",2894,"New York University Review of Law & Social Change, Vol. 17, Issue 3 (1989-1990), pp. 351-386",17 N.Y.U. Rev. L. & Soc. Change 351 (1989-1990),"Aids, Fetuses and Embryos, Medical Jurisprudence, Pregnancy, Sexually Transmitted Diseases, Women, Equal Protection",53,na,17
"Both Edges of the Margin: Blacks and Asians in Mississippi Masala, Barriers to Coalition Building [article]","Banks, Taunya Lovell (Cited 639 times)",2894,"Asian Law Journal, Vol. 5, pp. 7-40",5 Asian L. J. 7 (1998),"Labor, Discrimination, Elections, Voting",39,na,12
Toward a Global Critical Feminist Vision: Domestic Work and the Nanny Tax Debate [article],"Banks, Taunya Lovell (Cited 639 times)",2894,"Journal of Gender, Race and Justice, Vol. 3, Issue 1 (Fall 1999), pp. 1-44",3 J. Gender Race & Just. 1 (1999-2000),"Labor, Taxation-Federal Income, Child Care, Immigration Law, Parents and Children, Labor, Reproduction, Women",37,na,21
Two Life Stories: Reflections of One Black Woman Law Professor [article],"Banks, Taunya Lovell (Cited 639 times)",2894,"Berkeley Women's Law Journal, Vol. 6, Issue 1 (1990-1991), pp. 46-56",6 Berkeley Women's L.J. 46 (1990-1991),"Civil Rights, Employment, Women, Children, Discrimination, Employment Discrimination, Race, Sex, Gender, Legal Education",32,na,10
Rush to Judgment: HIV Test Reliability and Screening [article],"Banks, Taunya Lovell (Cited 639 times); McFadden, Roger R. (Cited 32 times)",2894,"Tulsa Law Journal, Vol. 23, Issue 1 (Fall 1987), pp. 1-36",23 Tulsa L.J. 1 (1987-1988),"Aids, Crimes, Criminal Law, Health, Public Health, Sodomy, Constitutional Law, Legislation, Medical Jurisprudence",32,na,4
Gender Bias in the Classroom [article],"Banks, Taunya Lovell (Cited 639 times)",2894,"Southern Illinois University Law Journal, Vol. 14, Issue 3 (Spring 1990), pp. 527-544",14 S. Ill. U. L.J. 527 (1989-1990),"Gender, Race, Legal Education, Women",29,na,30
Exploring White Resistance to Recial Reconciliation in the United States [article],"Banks, Taunya Lovell (Cited 639 times)",2894,"Rutgers Law Review, Vol. 55, Issue 4 (Summer 2003), pp. 903-964",55 Rutgers L. Rev. 903 (2002-2003),"Law and Society, Remedies, States, Liability, Slavery",27,na,9
"Americans with Disabilities Act and the Reproductive Rights of HIV--Infected Women, The [article]","Banks, Taunya Lovell (Cited 639 times)",2894,"Texas Journal of Women and the Law, Vol. 3, Issue 1 (Winter 1994), pp. 57-98",3 Tex. J. Women & L. 57 (1994),"Women, Discrimination, Health, Health Care Services",22,na,5
Teaching Laws with Flaws: Adopting a Pluralistic Approach to Torts [article],"Banks, Taunya Lovell (Cited 639 times)",2894,"Missouri Law Review, Vol. 57, Issue 2 (Spring 1992), pp. 443-454",57 Mo. L. Rev. 443 (1992),"Torts, Race, Legal Education",19,na,15
