Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Shame, Culture, and American Criminal Law [article]","Massaro, Toni M. (Cited 1367 times)",5989,"Michigan Law Review, Vol. 89, Issue 7 (June 1991), pp. 1880-1944",89 Mich. L. Rev. 1880 (1990-1991),"Criminal Law, Criminal Law, Law and Society, Sanctions, Law Enforcement",261,6,93
"Empathy, Legal Storytelling, and the Rule of Law: New Words, Old Wounds [article]","Massaro, Toni M. (Cited 1367 times)",5989,"Michigan Law Review, Vol. 87, Issue 8 (August 1989), pp. 2099-2127",87 Mich. L. Rev. 2099 (1988-1989),"Jurisprudence, Rule of Law, Children, Judges, Psychiatrists and Psychologists",248,na,129
"Experts, Psychology, Credibility, and Rape: The Rape Trauma Syndrome Issue and Its Implications for Expert Psychological Testimony [article]","Massaro, Toni M. (Cited 1367 times)",5989,"Minnesota Law Review, Vol. 69, Issue 2 (January 1985), pp. 395-470",69 Minn. L. Rev. 395 (1984-1985),"Rape, Testimony, Criminal Law",126,18,96
"Peremptories Or Peers--Rethinking Sixth Amendment Doctrine, Images, and Procedures [article]","Massaro, Toni M. (Cited 1367 times)",5989,"North Carolina Law Review, Vol. 64, Issue 3 (March 1986), pp. 501-564",64 N.C. L. Rev. 501 (1985-1986),"Sixth Amendment, Civil Rights, Constitutional Law, Jury",102,4,13
"Gay Rights, Thick and Thin [article]","Massaro, Toni M. (Cited 1367 times)",5989,"Stanford Law Review, Vol. 49, Issue 1 (November 1996), pp. 45-110",49 Stan. L. Rev. 45 (1996-1997),"Constitutional Law, Sexuality and the Law, Homosexuality, Human Rights Law, Human Rights Law, History, Legal History",91,na,10
Equality and Freedom of Expression: The Hate Speech Dilemma [article],"Massaro, Toni M. (Cited 1367 times)",5989,"William and Mary Law Review, Vol. 32, Issue 2 (Winter 1991), pp. 211-266",32 Wm. & Mary L. Rev. 211 (1990-1991),"Constitutional Law, Law and Society, Education Law, Regulation",80,1,718
A Tribute to Lewis H. LaRue [comments],"Massaro, Toni M. (Cited 1367 times)",5989,"Washington and Lee Law Review, Vol. 63, Issue 1 (Winter 2006), pp. 11-14",63 Wash. & Lee L. Rev. 11 (2006),"Contracts, Corporations, Employment, Covenants, Employment Practice, Trade Regulation, Arbitration",57,1,42
A Legal Labyrinth: Issues Raised by Arizona Senate Bill 1070 [article],"Chin, Gabriel J. (Cited 1974 times); Hessick, Carissa Byrne (Cited 506 times); Massaro, Toni (Cited 1367 times); Miller, Marc L. (Cited 1377 times)",5989,"Georgetown Immigration Law Journal, Vol. 25, Issue 1 (Fall 2010), pp. 47-92",25 Geo. Immigr. L.J. 47 (Fall 2010),"Aliens, Crimes, Criminal Law, Legislation, Racial Profiling, States",56,na,27
Significant Silences: Freedom of Speech in the Public Sector Workplace [article],"Massaro, Toni M. (Cited 1367 times)",5989,"Southern California Law Review, Vol. 61, Issue 1 (November 1987), pp. 1-78",61 S. Cal. L. Rev. 1 (1987-1988),"Freedom of Speech, Employment, Abandonment, Communications Law, Government, State and Local Government Law",52,1,53
The Dignity Value of Face-to-Face Confrontations [article],"Massaro, Toni M. (Cited 1367 times)",5989,"University of Florida Law Review, Vol. 40, Issue 5 (Fall 1988), pp. 863-918",40 U. Fla. L. Rev. 863 (1988),"Criminal Law, Evidence, Confrontation Clause, Child Abuse, Hearsay",43,2,5
Reviving Hugo Black--The Court's Jot for Jot Account of Substantive Due Process [article],"Massaro, Toni M. (Cited 1367 times)",5989,"New York University Law Review, Vol. 73, Issue 4 (October 1998), pp. 1086-1121",73 N.Y.U. L. Rev. 1086 (1998),"Due Process, Fourteenth Amendment, Constitutional Law, Takings",41,1,1
Outrageous and Irrational [article],"Bambauer, Jane R. (Cited 371 times); Massaro, Toni M. (Cited 1367 times)",5989,"Minnesota Law Review, Vol. 100, Issue 1 (November 2015), pp. 281-354",100 Minn. L. Rev. 281 (2015-2016),"Constitutional Law, Law and Society, Jurisprudence, Due Process, Ninth Amendment",21,na,19
Tread on Me [article],"Massaro, Toni M. (Cited 1367 times)",5989,"University of Pennsylvania Journal of Constitutional Law, Vol. 17, Issue 2 (November 2014), pp. 365-436",17 U. Pa. J. Const. L. 365 (2014-2015),"Federalism, First Amendment, Government, Schools, Politics",20,na,13
"Freedom of Speech, Liberal Democracy, and Emerging Evidence on Civility and Effective Democratic Engagement [article]","Massaro, Toni M. (Cited 1367 times); Stryker, Robin (Cited 21 times)",5989,"Arizona Law Review, Vol. 54, Issue 2 (2012), pp. 375-442",54 Ariz. L. Rev. 375 (2012),"Democracy, Evidence, First Amendment, Freedom of Speech, Academic Freedom, Colleges and Universities, Education Law, Firearms, Public Policy, Medical Jurisprudence",19,na,121
Religious Freedom and Accommodationist Neutrality: A Non-Neutral Critique [article],"Massaro, Toni M. (Cited 1367 times)",5989,"Oregon Law Review, Vol. 84, Issue 4 (2005), pp. 935-1000",84 Or. L. Rev. 935 (2005),"Neutrality, Religion, Religious Freedom, Jurisprudence, Students",17,na,9
Siri-Ously? Free Speech Rights and Artificial Intelligence [article],"Massaro, Toni M. (Cited 1367 times); Norton, Helen (Cited 522 times)",5989,"Northwestern University Law Review, Vol. 110, Issue 5 (2016), pp. 1169-1194",110 Nw. U. L. Rev. 1169 (2015-2016),"Artificial Intelligence, First Amendment",16,na,403
Christian Legal Society v. Martinez: Six Frames [article],"Massaro, Toni M. (Cited 1367 times)",5989,"Hastings Constitutional Law Quarterly, Vol. 38, Issue 3 (Spring 2011), pp. 569-630",38 Hastings Const. L.Q. 569 (2010-2011),"Education Law, First Amendment, Discrimination, Fourteenth Amendment",14,na,6
"Foreign Nations, Electoral Spending, and the First Amendment [article]","Massaro, Toni M. (Cited 1367 times)",5989,"Harvard Journal of Law & Public Policy, Vol. 34, Issue 2 (Spring 2011), pp. 663-704",34 Harv. J. L. & Pub. Pol'y 663 (2011),"First Amendment, Politics, Congress, Corporations, Political Speech, S Corporations",12,na,9
Employment Rights of Handicapped Individuals: Statutory and Judicial Parameters [notes],"Massaro, Toni M. (Cited 1367 times)",5989,"William and Mary Law Review, Vol. 20, Issue 2 (Winter 1978), pp. 291-328",20 Wm. & Mary L. Rev. 291 (1978-1979),"Employment, Handicapped, Medical Jurisprudence, Discrimination, Employment Discrimination",10,na,na
Constitutional Limitations on State-Imposed Continuing Competency Requirements for Licensed Professionals [article],"Massaro, Toni M. (Cited 1367 times); O'Brien, Thomas L. (Cited 8 times)",5989,"William and Mary Law Review, Vol. 25, Issue 2 (Winter 1983), pp. 253-312",25 Wm. & Mary L. Rev. 253 (1983-1984),"Continuing Education, Education Law, Child Abuse, Evidence, Juveniles, Minors, Witnesses, Health, Professions",8,na,2
Constitutional Law as Normal Science [article],"Massaro, Toni M. (Cited 1367 times)",5989,"Constitutional Commentary, Vol. 21, Issue 2 (Summer 2004), pp. 547-590",21 Const. Comment. 547 (Summer 2004),"Constitutional Law, Judges, Legal Analysis and Writing, Education Law, Race, Affirmative Action",8,na,3
SIRI-OUSLY 2.0: What Artificial Intelligence Reveals about the First Amendment [article],"Massaro, Toni M. (Cited 1367 times); Norton, Helen (Cited 522 times); Kaminski, Margot E. (Cited 225 times)",5989,"Minnesota Law Review, Vol. 101, Issue 6 (June 2017), pp. 2481-2526",101 Minn. L. Rev. 2481 (2016-2017),"Artificial Intelligence, Communications Law, First Amendment",8,na,139
"History Unbecoming, Becoming History [reviews]","Massaro, Toni M. (Cited 1367 times)",5989,"Michigan Law Review, Vol. 98, Issue 6 (May 2000), pp. 1564-1612",98 Mich. L. Rev. 1564 (1999-2000),"History, Sexuality and the Law, Citizenship, Civil Rights, Legal History, Sodomy, Adopted Children, Birth Certificates, Credit, Full Faith and Credit",8,na,1
Dean's Welcome [comments],"Massaro, Toni M. (Cited 1367 times)",5989,"Arizona Law Review, Vol. 48, Issue 4 (2006), pp. 687-688",48 Ariz. L. Rev. 687 (2006),"Economics, Torts, Affordable Housing, Contracts, Homes",7,1,4
