Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
New York's Chief Judge Kaye: Her Seperate Opinions Bode Well for Renewed State Constitutionalism at the Court of Appeals [article],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Temple Law Review, Vol. 67, pp. 1163-1208",67 Temple L. Rev. 1163 (1994),"Appeals, Constitutional Law",49,1,1
"Court of Appeals - State Constitutional Law Review, 1990 [article]","Bonventre, Vincent Martin (Cited 311 times)",4924,"Pace Law Review, Vol. 12, Issue 1 (Winter 1992), pp. 1-60",12 Pace L. Rev. 1 (1992),"Appeals, Constitutional Law, Courts",25,1,1
Beyond the Reemergence - Inverse Incorporation and Other Prospects for State Constitutional Law [notes],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Albany Law Review, Vol. 53, Issue 2 (Winter 1989), pp. 403-420",53 Alb. L. Rev. 403 (1988-1989),"Constitutional Law, Incorporation, Appeals",22,1,1
An Alternative to the Constitutional Privilege against Self-Incrimination [article],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Brooklyn Law Review, Vol. 49, Issue 1 (Fall 1982 ), pp. 31-78",49 Brook. L. Rev. 31 (1982-1983),"Self-Incrimination, Constitutional Law, Probation",18,na,na
"State Constitutional Adjudication at the Court of Appeals, 1990 and 1991: Retrenchment Is the Rule [notes]","Bonventre, Vincent Martin (Cited 311 times)",4924,"Albany Law Review, Vol. 56, Issue 1 (1992), pp. 119-146",56 Alb. L. Rev. 119 (1992-1993),"Appeals, State and Local Government Law",16,na,4
"Court of Appeals - State Constitutional Law Review, 1991 [article]","Bonventre, Vincent Martin (Cited 311 times)",4924,"Pace Law Review, Vol. 14, Issue 2 (Summer 1994), pp. 353-458",14 Pace L. Rev. 353 (1994),"Appeals, Constitutional Law",15,1,3
The Fall of Free Exercise: From No Law to Compelling Interests to Any Law Otherwise Valid [article],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Albany Law Review, Vol. 70, Issue 4 (2007), pp. 1399-1416",70 Alb. L. Rev. 1399 (2006-2007),"Religion, Liberty, Nuisance, Domestic Relations, Martial Law",15,na,na
Court of Appeals Bashing: A Reality Check [article],"Bonventre, Vincent Martin (Cited 311 times); DeMarco, Judi A. (Cited 18 times)",4924,"New York State Bar Journal, Vol. 69, Issue 5 (July/August 1997), pp. 10-15",69 N.Y. St. B.J. 10 (1997),"Appeals, Courts, Biography, Politics, Gender",15,na,na
"Judicial Activism, Judges' Speech, and Merit Selection: Conventional Wisdom and Nonsense [article]","Bonventre, Vincent Martin (Cited 311 times)",4924,"Albany Law Review, Vol. 68, Issue 3 (2005), pp. 557-576",68 Alb. L. Rev. 557 (2004-2005),"Judges, Merit Selection, Politics, Judiciary",13,na,4
"Public Law at the New York Court of Appeals: An Update on Developments, 2000 [notes]","Bonventre, Vincent Martin (Cited 311 times); Hiller, Amanda (Cited 11 times)",4924,"Albany Law Review, Vol. 64, Issue 4 (2001), pp. 1355-1404",64 Alb. L. Rev. 1355 (2000-2001),"Appeals, Public Law, Judges, Voting",11,na,2
"Aristotle, Cicero and Cardozo: A Perspective on External Law [article]","Bonventre, Vincent Martin (Cited 311 times)",4924,"Albany Law Review, Vol. 69, Issue 3 (2006), pp. 645-652",69 Alb. L. Rev. 645 (2005-2006),"Legal Analysis and Writing, Legal Education, Legal Profession, Professional Ethics, Criminal Law, Jurisprudence",9,na,4
Concluding Reflections - Changing Roles: The Supreme Court and the State High Courts in Safeguarding Rights [article],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Albany Law Review, Vol. 70, Issue 3 (2007), pp. 841-854",70 Alb. L. Rev. 841 (2006-2007),"Courts, Constitutional Law, State and Local Government Law, Appeals, Public Law",8,na,na
Introduction [comments],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Albany Law Review, Vol. 71, Issue 4 (2008), pp. 1045-1050",71 Alb. L. Rev. 1045 (2008),"Courts, Judges, Law Enforcement, Appeals",8,na,na
"Classical Constitution: Ancient Roots of Our National Charter, A [article]","Bonventre, Vincent Martin (Cited 311 times)",4924,"New York State Bar Journal, Vol. 59, Issue 8 (December 1987), pp. 10-23",59 N.Y. St. B.J. 10 (December 1987),"Biography, Comparative Law, Roman Law, Legal Analysis and Writing, Constitutional Law, Legal History",7,1,3
Editor's Foreword [comments],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Albany Law Review, Vol. 60, Issue 5 (1997), pp. 1511-1514",60 Alb. L. Rev. 1511 (1996-1997),"State and Local Government Law, Constitutional Law",7,na,na
Toward the Lippman Court: Flux and Transition at New York's Court of Appeals [notes],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Albany Law Review , Vol. 73, Issue 3 (2010), pp. 889-924",73 Alb. L. Rev. 889 (2009-2010),"Appeals, Courts, Judges",6,na,1
Professional Responsibility [article],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Syracuse Law Review, Vol. 43, Issue 1 (1992), pp. 505-522",43 Syracuse L. Rev. 505 (1992),"Legal Profession, Professional Ethics, Jury, Trial by Jury, Business Organizations",5,na,5
"The Duty of Fair Representation under the Taylor Law: Supreme Court Development, New York State Adoption and a Call for Independence [article]","Bonventre, Vincent Martin (Cited 311 times)",4924,"Fordham Urban Law Journal, Vol. 20, Issue 1 (Fall 1992), pp. 1-26",20 Fordham Urb. L.J. 1 (1992-1993),"Adopted Children, Labor, Employees, Public Employees, Labor, Legislation",5,na,3
"Court of Appeals Update, 2000 &(and) 2001: Conservative Voting, Narrow Rulings [article]","Bonventre, Vincent Martin (Cited 311 times); Galligan, Kelly M. (Cited 5 times)",4924,"Albany Law Review, Vol. 65, Issue 4 (2001-2002), pp. 1085-1122",65 Alb. L. Rev. 1085 (2001-2002),"Appeals, Judges, Voting, Judicial Process",5,na,3
Tribute to Chief Judge Lawrence H. Cooke - 1914-2000 [comments],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Albany Law Review, Vol. 64, Issue 1 (2000), pp. 1-4",64 Alb. L. Rev. 1 (2000-2001),"Biography, Courts, Judges, Appeals, Legislation",5,na,1
Professional Responsibility [article],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Syracuse Law Review, Vol. 42, Issue 2 (1991), pp. 697-718",42 Syracuse L. Rev. 697 (1991),"Legal Profession, Professional Ethics, Code of Professional Responsibility",5,na,1
Professional Responsibility [article],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Syracuse Law Review, Vol. 40, Issue 1 (1989), pp. 527-546",40 Syracuse L. Rev. 527 (1989),"Professional Ethics, Code of Professional Responsibility, Constitutional Law",5,na,1
"Race: A Legal, Historical, Scientific, and Personal Issue [comments]","Bonventre, Vincent Martin (Cited 311 times)",4924,"Albany Law Review , Vol. 72, Issue 4 (2009), pp. 855-862",72 Alb. L. Rev. 855 (2009),"Race, Domestic Relations, Education Law",4,na,4
Professional Responsibility [article],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Syracuse Law Review, Vol. 41, Issue 1 (1990), pp. 475-488",41 Syracuse L. Rev. 475 (1990),"Professional Ethics, Real Property, Insurance Law, Insurance Law",4,na,1
Court Bashing and Reality: A Comparative Examination of Criminal Disposition at the New York Court of Appeals and Neighboring High Courts [article],"Bonventre, Vincent Martin (Cited 311 times); DeMarco, Judi A. (Cited 18 times)",4924,"Judges' Journal, Vol. 36, Issue 1 (Winter, 1997), pp. 9-54",36 Judges J. 9 (1997),"Appeals, Courts, Criminal Procedure, Procedure, Biography, Politics",3,na,na
"Appellate Division on Appeal: The Justices' Rates of Agreement, Rejection, and Vindication by the Court of Appeals [article]","Cherna, Jason A. (Cited 5 times); Blain-Lewis, Jessica (Cited 3 times); Bonventre, Vincent Martin (Cited 311 times)",4924,"Albany Law Review, Vol. 70, Issue 3 (2007), pp. 983-1002",70 Alb. L. Rev. 983 (2006-2007),"Appeals, Judges, Criminal Law, Voting, Judicial Process",3,na,na
Editor's Foreword [comments],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Albany Law Review, Vol. 62, Issue 4 (1999), pp. 1213-1218",62 Alb. L. Rev. 1213 (1998-1999),"State and Local Government Law, Sports",3,na,na
Dedication to the Honorable Stewart F. Hancock Jr. [comments],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Touro Law Review, Vol. 9, Issue 3 (Spring 1993), pp. 545-552",9 Touro L. Rev. 545 (1992-1993),"Appeals, Law Enforcement, Courts, Judges",2,na,2
Richard C. Wesley: Voting and Opinion Patterns on the New York Court - Center for Judicial Process [article],"Bonventre, Vincent Martin (Cited 311 times); Ritschdorff, Todd A. (Cited 2 times); Bergen, Erika L. (Cited 2 times)",4924,"Albany Law Review, Vol. 66, Issue 4 (2003), pp. 1065-1088",66 Alb. L. Rev. 1065 (2002-2003),"Judges, Judicial Process, Voting, Appeals",2,na,1
Professional Responsibility [article],"Bonventre, Vincent M. (Cited 311 times)",4924,"Syracuse Law Review, Vol. 46, Issue 2 (1995), pp. 765-798",46 Syracuse L. Rev. 765 (1995-1996),"Professional Ethics, Death, First Amendment, Mail, Personal Injury, Wrongful Death, Advertising",2,na,1
Editor's Foreword [comments],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Albany Law Review, Vol. 70, Issue 3 (2007), pp. 795-798",70 Alb. L. Rev. 795 (2006-2007),"State and Local Government Law, Sports",2,na,na
Editor's Foreword [comments],"Bonventre, Vincent Martin (Cited 311 times)",4924,"Albany Law Review, Vol. 71, Issue 4 (2008), pp. 1041-1044",71 Alb. L. Rev. 1041 (2008),"State and Local Government Law, Sports",2,na,na
