Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Waiting for the Labor Law of the Twenty-First Century: Everything Old Is New Again [article],"Corbett, William R. (Cited 515 times)",6792,"Berkeley Journal of Employment and Labor Law, Vol. 23, Issue 2 (2002), pp. 259-306",23 Berkeley J. Emp. & Lab. L. 259 (2002),"Labor, Labor, Labor-Management Relations, Employment, States",62,na,5
The Need for a Revitalized Common Law of the Workplace [article],"Corbett, William R. (Cited 515 times)",6792,"Brooklyn Law Review, Vol. 69, Issue 1 (Fall 2003), pp. 91-162",69 Brook. L. Rev. 91 (2003-2004),"Common Law, Torts, Civil Rights, Employment, Government",53,na,7
"The Fall of Summers, the Rise of Pretext Plus, and the Escalating Subordination of Federal Employment Discrimination Law to Employment at Will: Lessons from McKennon and Hicks [article]","Corbett, William R. (Cited 515 times)",6792,"Georgia Law Review, Vol. 30, Issue 2 (Winter 1996), pp. 305-386",30 Ga. L. Rev. 305 (1995-1996),"Discrimination, Employment, Employment Discrimination, Employment-At-Will, Employment Practice, Undocumented Workers, Evidence",49,na,4
"McDonnell Douglas, 1973-2003: May You Rest in Peace [notes]","Corbett, William R. (Cited 515 times)",6792,"University of Pennsylvania Journal of Labor and Employment Law, Vol. 6, Issue 1 (Fall 2003), pp. 199-220",6 U. Pa. J. Lab. & Emp. L. 199 (2003-2004),"Civil Rights, Employment Practice, Discrimination, Employment, Employment Discrimination",46,4,15
A Somewhat Modest Proposal to Prevent Adultery and Save Families: Two Old Torts Looking for a New Career [article],"Corbett, William R. (Cited 515 times)",6792,"Arizona State Law Journal, Vol. 33, Issue 4 (Winter 2001), pp. 985-1056",33 Ariz. St. L.J. 985 (Winter 2001),"Adultery, Domestic Relations, Torts, Family Responsibility/Support Laws, Martial Law",41,1,9
An Allegory of the Cave and the Desert Palace [article],"Corbett, William R. (Cited 515 times)",6792,"Houston Law Review, Vol. 41, Issue 5 (Spring 2005), pp. 1549-1578",41 Hous. L. Rev. 1549 (2004-2005),"Employment Practice, Practice and Procedure, Summary Judgment, Civil Rights",35,1,67
Fixing Employment Discrimination Law [article],"Corbett, William R. (Cited 515 times)",6792,"SMU Law Review, Vol. 62, Issue 1 (Winter 2009), pp. 81-116",62 S.M.U. L. Rev. 81 (2009),"Discrimination, Employment, Employment Discrimination, Employment Practice, Proof",28,2,10
"A Proposal for Procedural Limitations on Hiring Permanent Striker Replacements: A Far, Far Better Thing Than the Workplace Fairness Act [article]","Corbett, William R. (Cited 515 times)",6792,"North Carolina Law Review, Vol. 72, Issue 4 (April 1994), pp. 813-904",72 N.C. L. Rev. 813 (1993-1994),na,26,na,3
The Ugly Truth about Appearance Discrimination and the Beauty of Our Employment Discrimination Law [article],"Corbett, William R. (Cited 515 times)",6792,"Duke Journal of Gender Law & Policy, Vol. 14, Issue 1 (January 2007), pp. 153-178",14 Duke J. Gender L. & Pol'y 153 (2007),"Discrimination, Employment, Employment Discrimination, Employment Practice",22,na,205
Working Group on Chapter 2 of the Proposed Restatement of Employment Law: Employment Contracts: Termination [article],"Finkin, Matthew W. (Cited 1158 times); VanderVelde, Lea (Cited 450 times); Corbett, William (Cited 22 times); Befort, Stephen F. (Cited 799 times)",6792,"Employee Rights and Employment Policy Journal, Vol. 13, Issue 1 (2009), pp. 93-142",13 Emp. Rts. & Emp. Pol'y J. 93 (2009),"Contracts, Employment",22,na,14
