Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Divorce Equality [article],"Tait, Allison Anna (Cited 40 times)",9853,"Washington Law Review, Vol. 90, Issue 3 (October 2015), pp. 1245-1312",90 Wash. L. Rev. 1245 (2015),17,na,44,na
"A Tale of Three Families: Historical Households, Earned Belonging, and Natural Connections [article]","Tait, Allison Anna (Cited 40 times)",9853,"Hastings Law Journal, Vol. 63, Issue 5 (2011-2012), pp. 1345-1392",na,6,na,11,na
Publicity Rules for Public Trusts [article],"Tait, Allison Anna (Cited 40 times)",9853,"Cardozo Arts & Entertainment Law Journal, Vol. 33, Issue 2 (2015), pp. 421-472",33 Cardozo Arts & Ent. L.J. 421 (2015),5,na,9,na
The Secret Economy of Charitable Giving [article],"Tait, Allison Anna (Cited 40 times)",9853,"Boston University Law Review, Vol. 95, Issue 5 (October 2015), pp. 1663-1718",95 B.U. L. Rev. 1663 (2015),5,na,25,na
The Beginning of the End of Coverture: A Reappraisal of the Married Woman's Separate Estate [article],"Tait, Allison Anna (Cited 40 times)",9853,"Yale Journal of Law and Feminism, Vol. 26, Issue 2 (2014), pp. 165-216",26 Yale J.L. & Feminism 165 (2014),4,na,34,na
Keeping Promises and Meeting Needs: Public Charities at a Crossroads [article],"Tait, Allison Anna (Cited 40 times)",9853,"Minnesota Law Review, Vol. 102, Issue 5 (May 2018), pp. 1789-1846",102 Minn. L. Rev. 1789 (May 2018),1,na,26,na
Family Law [article],"Tait, Allison Anna (Cited 40 times)",9853,"University of Richmond Law Review, Vol. 51, Issue 1 (2016), pp. 75-102",51 U. Rich. L. Rev. 75 (2016-2017),na,na,5,na
Family Law [article],"Tait, Allison Anna (Cited 40 times)",9853,"University of Richmond Law Review, Vol. 52, Issue 1 (2017), pp. 55-78",na,na,na,19,na
Family Law [article],"Tait, Allison Anna (Cited 40 times)",9853,"University of Richmond Law Review, Vol. 53, Issue 1 (2018), pp. 81-110",53 U. Rich. L. Rev. 81 (2018-2019),na,na,16,na
Corporate Family Law [article],"Tait, Allison Anna (Cited 40 times)",9853,"Northwestern University Law Review, Vol. 112, Issue 1 (2017), pp. 1-60",112 Nw. U. L. Rev. 1 (2017-2018),na,na,68,na
The Return of Coverture [article],"Tait, Allison Anna (Cited 40 times)",9853,"Michigan Law Review First Impressions, Vol. 114, pp. 99-110",114 Mich. L. Rev. First Impressions 99 (2015),na,na,10,na
What We Didn't See Before [comments],"Tait, Allison Anna (Cited 40 times)",9853,"Yale Journal of Law & the Humanities, Vol. 24, Issue 1 (Winter 2012), pp. 3-18",na,na,na,26,na
