Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Toward a More Transformative Approach: The Limits of Transgender Formal Equality [article],"Gilden, Andrew (Cited 130 times)",8197,"Berkeley Journal of Gender, Law & Justice, Vol. 23, Issue 1 (2008), pp. 83-144",23 Berkeley J. Gender L. & Just. 83 (2008),33,na,53,na
No Trolls Barred: Trademark Injunctions after eBay [article],"Bernstein, David H. (Cited 30 times); Gilden, Andrew (Cited 130 times)",8197,"The Trademark Reporter, Vol. 99, Issue 5 (September-October 2009), pp. 1037-1073",99 Trademark Rep. 1037 (2009),19,3,8,na
Raw Materials and the Creative Process [article],"Gilden, Andrew (Cited 130 times)",8197,"Georgetown Law Journal, Vol. 104, Issue 2 (January 2016), pp. 355-412",104 Geo. L.J. 355 (January 2016),18,na,40,na
Cyberbullying and the Innocence Narrative [article],"Gilden, Andrew (Cited 130 times)",8197,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 48, Issue 2 (Summer 2013), pp. 357-408",48 Harv. C.R.-C.L. L. Rev. 357 (Summer 2013),10,na,62,na
Fair Use for the Rich and Fabulous [article],"Gilden, Andrew (Cited 130 times); Greene, Timothy (Cited 13 times)",8197,"University of Chicago Law Review Dialogue, Vol. 80, pp. 88-104",80 U. Chi. L. Rev. Dialogue 88 (2013),9,na,19,na
Sexual (Re)consideration: Adult Entertainment Contracts and the Problem of Enforceability [notes],"Gilden, Andrew (Cited 130 times)",8197,"Georgetown Law Journal , Vol. 95, Issue 2 (January 2007), pp. 541-564",na,9,na,5,na
Copyright Essentialism and the Performativity of Remedies [article],"Gilden, Andrew (Cited 130 times)",8197,"William & Mary Law Review, Vol. 54, Issue 4 (March 2013), pp. 1123-1184",54 Wm. & Mary L. Rev. 1123 (2012-2013),9,na,10,na
Preserving the Seeds of Gender Fluidity: Tribal Courts and the Berdache Tradition [article],"Gilden, Andrew (Cited 130 times)",8197,"Michigan Journal of Gender & Law, Vol. 13, Issue 2 (2007), pp. 237-272",13 Mich. J. Gender & L. 237 (2006-2007),8,na,69,na
Punishing Sexual Fantasy [article],"Gilden, Andrew (Cited 130 times)",8197,"William & Mary Law Review, Vol. 58, Issue 2 (November 2016), pp. 419-492",58 Wm. & Mary L. Rev. 419 (2016-2017),5,na,55,na
"IP, R.I.P. [article]","Gilden, Andrew (Cited 130 times)",8197,"Washington University Law Review, Vol. 95, Issue 3 (2017), pp. 639-704",95 Wash. U. L. Rev. 639 (2017-2018),5,na,24,na
"Life, Death, Public Domain [article]","Gilden, Andrew (Cited 130 times)",8197,"George Mason Law Review, Vol. 22, Issue 1 (Fall 2014), pp. 13-62",22 Geo. Mason L. Rev. 13 (2014-2015),1,na,12,na
Common Sense and the Cannibal Cop [comments],"Johnson, Thea (Cited 17 times); Gilden, Andrew (Cited 130 times)",8197,"Stanford Journal of Civil Rights & Civil Liberties, Vol. 11, Issue 2 (June 2015), pp. 313-330",na,1,na,4,na
"Sex, Death, and Intellectual Property [article]","Gilden, Andrew (Cited 130 times)",8197,"Harvard Journal of Law & Technology (Harvard JOLT), Vol. 32, Issue 1 (Fall 2018), pp. 67-116",na,na,na,10,na
Reading the Readers [article],"Gilden, Andrew (Cited 130 times)",8197,"Iowa Law Review Bulletin, Vol. 102, pp. 174-184",102 Iowa L. Rev. Bull. 174 (2016-2017),na,na,1,na
