Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Let the Cameras Roll: Mandatory Videotaping of Interrogations Is the Solution to Illinois' Problem of False Confessions [article],"Drizin, Steven A. (Cited 602 times); Colgan, Beth A. (Cited 163 times)",9062,"Loyola University Chicago Law Journal, Vol. 32, Issue 2 (Winter 2001), pp. 337-424",na,40,3,27,na
Reviving the Excessive Fines Clause [article],"Colgan, Beth A. (Cited 163 times)",9062,"California Law Review, Vol. 102, Issue 2 (April 2014), pp. 277-350",102 Calif. L. Rev. 277 (April 2014),36,4,65,na
Justice Deserts: Spatial Inequality and Local Funding of Indigent Defense [article],"Pruitt, Lisa R. (Cited 510 times); Colgan, Beth A. (Cited 163 times)",9062,"Arizona Law Review, Vol. 52, Issue 2 (2010), pp. 219-316",na,34,na,42,na
Constitutional Line Drawing at the Intersection of Childhood and Crime [article],"Colgan, Beth A. (Cited 163 times)",9062,"Stanford Journal of Civil Rights and Civil Liberties, Vol. 9, Issue 1 (January 2013), pp. 79-106",9 Stan. J. C.R. & C.L. 79 (2013),12,na,8,na
Paying for Gideon [comments],"Colgan, Beth A. (Cited 163 times)",9062,"Iowa Law Review, Vol. 99, Issue 5 (July 2014), pp. 1929-1950",na,11,3,42,na
The Presidential Politics of Prisoner Reentry Reform [article],"Colgan, Beth A. (Cited 163 times)",9062,"Federal Sentencing Reporter, Vol. 20, Issue 2 (December 2007), pp. 110-123",20 Fed. Sent. R. 110 (2007-2008),6,na,6,na
Lessons from Ferguson on Individual Defense Representation as a Tool of Systemic Reform [article],"Colgan, Beth A. (Cited 163 times)",9062,"William & Mary Law Review, Vol. 58, Issue 4 (March 2017), pp. 1171-1252",58 Wm. & Mary L. Rev. 1171 (2016-2017),5,na,13,na
The Excessive Fines Clause: Challenging the Modern Debtors' Prison [article],"Colgan, Beth A. (Cited 163 times)",9062,"UCLA Law Review, Vol. 65, Issue 1 (February 2018), pp. 2-77",65 UCLA L. Rev. 2 (2018),4,na,151,na
Graduating Economic Sanctions according to Ability to Pay [article],"Colgan, Beth A. (Cited 163 times)",9062,"Iowa Law Review, Vol. 103, Issue 1 (November 2017), pp. 53-112",103 Iowa L. Rev. 53 (2017-2018),3,na,89,na
Teaching a Prisoner to Fish: Getting Tough on Crime by Preparing Prisoners to Reenter Society [tableofcases],"Colgan, Beth A. (Cited 163 times)",9062,"Seattle Journal for Social Justice, Vol. 5, Issue 1 (Fall/Winter 2006), pp. 293-358",na,3,na,11,na
Public Health and Safety Consequences of Denying Access to Justice for Victims of Prison Staff Sexual Misconduct [article],"Colgan, Beth A. (Cited 163 times)",9062,"UCLA Women's Law Journal, Vol. 18, Issue 2 (Winter 2012), pp. 195-238",18 UCLA Women's L.J. 195 (2010-2012),2,na,20,na
"Fines, Fees, and Forfeitures [article]","Colgan, Beth A. (Cited 163 times)",9062,"Criminology, Criminal Justice, Law & Society, Vol. 18, Issue 3 (December 2017), pp. 22-40","18 Criminology, Crim. Just. L & Soc'y 22 (2017)",2,na,42,na
Street Children in Tanzania: Effects of Economy and Education [article],"Colgan, Beth A. (Cited 163 times); Mayer, Daniella (Cited 1 times); Savage, Janelle M. (Cited 1 times); Breit, Lauren Hennessey (Cited 1 times)",9062,"Children's Legal Rights Journal, Vol. 20, Issue 4 (Winter 2000-2001), pp. 2-16",na,1,1,9,na
"Alleyne v. United States, Age as an Element, and the Retroactivity of Miller v. Alabama [article]","Colgan, Beth A. (Cited 163 times)",9062,"UCLA Law Review Discourse, Vol. 61, pp. 262-271",61 UCLA L. Rev. Discourse 262 (2013),1,na,10,na
Wealth-Based Penal Disenfranchisement [article],"Colgan, Beth A. (Cited 163 times)",9062,"Vanderbilt Law Review, Vol. 72, Issue 1 (January 2019), pp. 55-190",72 Vand. L. Rev. 55 (2019),na,na,29,na
"Fines, Fees, and Forteitures [article]","Colgan, Beth A. (Cited 163 times)",9062,"Actual Problems of Economics and Law, Vol. 2018, Issue 3 (2018), pp. 640-659",na,na,na,16,na
A Well-Grounded Fear: Civil Reform Of Criminal Justice [article],"Colgan, Beth (Cited 163 times)",9062,"Clearinghouse Review, Vol. 41, Issue 2 (July-August 2007), pp. 232-237",41 Clearinghouse Rev. 232 (2007-2008),na,na,5,na
Letter to a Public Interest Attorney [comments],"Colgan, Beth (Cited 163 times)",9062,"Los Angeles Public Interest Law Journal, Vol. 5, pp. 79-82",na,na,na,2,na
Making Gideon Real - Washington Counties and the Duty to Provide Effective Assistance of Counsel [article],"Taylor, David F. (Cited 4 times); Scaramastra, Don; Colgan, Beth (Cited 163 times)",9062,"Washington State Bar News, Vol. 61, Issue 2 (February 2007), pp. 17-25",61 Wash. St. B. News 17 (2007),na,na,na,na
