Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Abstract Risk and the Politics of the Criminal Law [article],"Fissell, Brenner M. (Cited 17 times)",1179,"American Criminal Law Review, Vol. 51, Issue 3 (Summer 2014), pp. 657-688",51 Am. Crim. L. Rev. 657 (2014),4,na,62,na
Capital Punishment of Unintentional Felony Murder [article],"Binder, Guyora (Cited 612 times); Fissell, Brenner (Cited 17 times); Weisberg, Robert (Cited 1442 times)",1179,"Notre Dame Law Review, Vol. 92, Issue 3 (January 2017), pp. 1141-1214",92 Notre Dame L. Rev. 1141 (January 2017),4,na,51,na
The Dual Standard of Review in Contracts Clause Jurisprudence [notes],"Fissell, Brenner M. (Cited 17 times)",1179,"Georgetown Law Journal, Vol. 101, Issue 4 (April 2013), pp. 1089-1116",na,3,na,10,na
Modern Critiques of Judicial Empathy: A Revised Intellectual History [article],"Fissell, Brenner (Cited 17 times)",1179,"Michigan State Law Review, Vol. 2016, Issue 3 (2016), pp. 817-852",2016 Mich. St. L. Rev. 817 (2016),1,na,8,na
Juryification and the rule of law [article],"Fissell, Brenner M. (Cited 17 times)",1179,"Legal Theory, Vol. 19, Issue 3 (September 2013), pp. 217-241",19 LEG 217 (2013),1,na,17,na
Taxpayers as Victims: Taxpayer Harm & Criminalization [article],"Fissell, Brenner M. (Cited 17 times)",1179,"New York University Journal of Law and Liberty, Vol. 7, Issue 1 (2013), pp. 126-183",7 N.Y.U. J.L. & Liberty 126 (2013),1,na,1,na
Environmental Crimes [article],"Fissell, Brenner (Cited 17 times); Goodwin, Michael; Michelson-Horowitz, Daniel; Nye, Jeff",1179,"American Criminal Law Review, Vol. 49, Issue 2 - Annual Survey of White Collar Crime (Spring 2012), pp. 611-702",49 Am. Crim. L. Rev. 611 (2012),na,na,4,na
The Justification of Positive Law in Plato [article],"Fissell, Brenner M. (Cited 17 times)",1179,"American Journal of Jurisprudence, Vol. 56, pp. 89-114",56 Am. J. Juris. 89 (2011),na,na,6,na
Federalism and Constitutional Criminal Law [article],"Fissell, Brenner M. (Cited 17 times)",1179,"Hofstra Law Review, Vol. 46, Issue 2 (Winter 2017), pp. 489-562",46 Hofstra L. Rev. 489 (2017-2018),na,na,26,na
Unusual: The Death Penalty for Inadvertent Killing [article],"Binder, Guyora (Cited 612 times); Fissell, Brenner (Cited 17 times); Weisberg, Robert (Cited 1442 times)",1179,"Indiana Law Journal, Vol. 93, Issue 3 (Summer 2018), pp. 549-616",93 Ind. L.J. 549 (Summer 2018),na,na,20,na
Sanctions and Efficacy in Analytic Jurisprudence [article],"Fissell, Brenner M. (Cited 17 times)",1179,"Rutgers University Law Review, Vol. 69, Issue 5 (Summer 2017), pp. 1627-1652",69 Rutgers U.L. Rev. 1627 (2016-2017),na,na,6,na
