Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Retroactive Laws and Vested Rights [article],"Smith, Bryant (Cited 334 times)",2214,"Texas Law Review, Vol. 5, Issue 3 (April 1927), pp. 231-248",5 Tex. L. Rev. 231 (1926-1927),110,27,24,na
Retroactive Laws and Vested Rights II [article],"Smith, Bryant (Cited 334 times)",2214,"Texas Law Review, Vol. 6, Issue 4 (June 1928), pp. 409-431",6 Tex. L. Rev. 409 (1927-1928),80,16,9,na
Legal Personality [article],"Smith, Bryant (Cited 334 times)",2214,"Yale Law Journal, Vol. 37, Issue 3 (January 1928), pp. 283-299",37 Yale L. J. 283 (1927-1928),62,1,163,na
Honorary Trusts and the Rule against Perpetuities [article],"Smith, Bryant (Cited 334 times)",2214,"Columbia Law Review, Vol. 30, Issue 1 (January 1930), pp. 60-72",30 Colum. L. Rev. 60 (1930),39,1,6,na
Correcting Mistakes of Law in Texas [article],"Smith, Bryant (Cited 334 times)",2214,"Texas Law Review, Vol. 9, Issue 3 (April 1931), pp. 309-332",9 Tex. L. Rev. 309 (1930-1931),12,1,3,na
Cumulative Reasons and Legal Method [article],"Smith, Bryant (Cited 334 times)",2214,"Texas Law Review, Vol. 27, Issue 4 (April 1949), pp. 454-468",27 Tex. L. Rev. 454 (1948-1949),12,na,4,na
Concept of Negotiability As Used in Section 47 of the Negotiable Instruments Law [article],"Smith, Bryant (Cited 334 times)",2214,"Texas Law Review, Vol. 7, Issue 4 (June 1929), pp. 520-538",7 Tex. L. Rev. 520 (1928-1929),8,na,2,na
Honorary Trusts and Restraints on Alienation [article],"Smith, Bryant (Cited 334 times)",2214,"Texas Law Review, Vol. 16, Issue 2 (February 1938), pp. 149-161",16 Tex. L. Rev. 149 (1937-1938),4,na,2,na
Far Enough or Back Where We Started: Race Perception from Brown to Meredith [notes],"Smith, Bryant (Cited 334 times)",2214,"Journal of Law & Education , Vol. 37, Issue 2 (April 2008), pp. 297-306",na,3,na,1,na
Legal Relief Against the Inadequacies of Equity [article],"Smith, Bryant (Cited 334 times)",2214,"Texas Law Review, Vol. 12, Issue 2 (February 1934), pp. 109-126",12 Tex. L. Rev. 109 (1933-1934),3,1,3,na
An Object Lesson in Subjective Judgments [article],"Smith, Bryant (Cited 334 times)",2214,"American Bar Association Journal, Vol. 17, Issue 5 (May 1931), pp. 295-299",17 A.B.A. J. 295 (1931),1,na,4,na
Reflecting on the 1980s: Positivism versus Pluralism [comments],"Smith, Bryant (Cited 334 times)",2214,"University of New Brunswick Law Journal, Vol. 39, pp. 245-253",na,na,na,3,na
Efficiency vs Reform in Prison Administration [article],"Smith, Bryant (Cited 334 times)",2214,"Journal of the American Institute of Criminal Law and Criminology, Vol. 11, Issue 4 , pp. 587-597",11 J. Am. Inst. Crim. L. & Criminology 587 (May 1920 to February 1921),na,na,na,na
Parallel Investigations: The Unclear Present Danger of Getting Caught [article],"Schainbaum, Martin A.; Smith, Bryant (Cited 334 times)",2214,"Journal of Tax Practice and Procedure, Vol. 10, Issue 6 (December 2008-January 2009), pp. 45-48",10 JEMIE 45 (2008-2009),na,na,2,na
