Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Professional Speech [article],"Haupt, Claudia E. (Cited 100 times)",9208,"Yale Law Journal, Vol. 125, Issue 5 (March 2016), pp. 1238-1303",125 Yale L. J. 1238 (March 2016),34,na,67,na
Regulating Hate Speech - Damned If You Do and Damned If You Don't: Lessons Learned from Comparing the German and U.S. Approaches [article],"Haupt, Claudia E. (Cited 100 times)",9208,"Boston University International Law Journal, Vol. 23, Issue 2 (Fall 2005), pp. 299-336",23 B.U. Int'l L.J. 299 (2005),13,na,56,na
Active Symbols [article],"Haupt, Claudia E. (Cited 100 times)",9208,"Boston College Law Review, Vol. 55, Issue 3 (May 2014), pp. 821-878",55 B.C. L. Rev. 821 (2014),11,na,9,na
Transnational Nonestablishment [article],"Haupt, Claudia E. (Cited 100 times)",9208,"George Washington Law Review, Vol. 80, Issue 4 (June 2012), pp. 991-1064",80 Geo. Wash. L. Rev. 991 (2011-2012),8,na,2,na
Unprofessional Advice [article],"Haupt, Claudia E. (Cited 100 times)",9208,"University of Pennsylvania Journal of Constitutional Law, Vol. 19, Issue 3 (March 2017), pp. 671-730",19 U. Pa. J. Const. L. 671 (2016-2017),7,na,27,na
Free Exercise of Religion and Animal Protection: A Comparative Perspective on Ritual Slaughter [article],"Haupt, Claudia E. (Cited 100 times)",9208,"George Washington International Law Review , Vol. 39, Issue 4 (2007), pp. 839-886",39 Geo. Wash. Int'l L. Rev. 839 (2007),7,na,58,na
Antidiscrimination in the Legal Profession and the First Amendment: A Partial Defense of Model Rule 8.4(G) [article],"Haupt, Claudia E. (Cited 100 times)",9208,"University of Pennsylvania Journal of Constitutional Law Online, Vol. 19, pp. 1-21",19 U. Pa. J. Const. L. Online 1 (2016-2017),6,na,20,na
The Nature and Effects of Constitutional State Objectives: Assessing the German Basic Law's Animal Protection Clause [article],"Haupt, Claudia E. (Cited 100 times)",9208,"Animal Law , Vol. 16, Issue 2 (2010), pp. 213-258",16 Animal L. 213 (2009-2010),3,na,23,na
Professional Speech and the Content-Neutrality Trap [article],"Haupt, Claudia E. (Cited 100 times)",9208,"Yale Law Journal Forum, Vol. 127, pp. 150-172",127 Yale L.J. F. 150 (2017-2018),3,na,18,na
Information Technology Meets Healthcare: The Present and Future of German and European E-Health Initiatives [article],"Brisch, Klaus M. (Cited 2 times); Haupt, Claudia E. (Cited 100 times)",9208,"DePaul Journal of Health Care Law, Vol. 12, Issue 1 (Winter 2009), pp. 105-158",12 DePaul J. Health Care L. 105 (2009),2,na,4,na
"The Scope of Democratic Public Discourse: Defending Democracy, Tolerating Intolerance, and the Problem of Neo-Nazi Demonstrations in Germany [article]","Haupt, Claudia E. (Cited 100 times)",9208,"Florida Journal of International Law, Vol. 20, Issue 2 (August 2008), pp. 169-218",20 Fla. J. Int'l L. 169 (2008),2,na,12,na
Licensing Knowledge [article] *new*,"Haupt, Claudia E. (Cited 100 times)",9208,"Vanderbilt Law Review, Vol. 72, Issue 2 (March 2019), pp. 501-560",72 Vand. L. Rev. 501 (2019),na,na,1,na
"Rumsfeld v. FAIR: Law Schools, Military Recruiters and the First Amendment [article]","Haupt, Claudia E. (Cited 100 times)",9208,"DAJV Newsletter , Vol. 31, Issue 2 (June 2006), pp. 55-65",31 DAJV Newsl. 55 (2006),na,na,1,na
"Who Let the Dangerous Dogs Out - The German States' Hasty Legislative Action, the Federal Law on Dangerous Dogs and the Kampfhunde Decision of the Federal Constitutional Court [article]","Haupt, Claudia E. (Cited 100 times)",9208,"Journal of Animal Law, Vol. 2, pp. 27-48",2 J. Animal L. 27 (2006),na,na,2,na
Physician Autonomy and the Opioid Crisis [article],"Guevremont, Nathan; Barnes, Mark (Cited 64 times); Haupt, Claudia E. (Cited 100 times)",9208,"Journal of Law, Medicine and Ethics, Vol. 46, Issue 2 (Summer 2018), pp. 203-219",na,na,na,1,na
The Role of Civil Commitment in the Opioid Crisis [article],"Bhalla, Ish P.; Cohen, Nina; Haupt, Claudia E. (Cited 100 times); Stith, Kate (Cited 1185 times); Zhong, Rocksheng (Cited 2 times)",9208,"Journal of Law, Medicine and Ethics, Vol. 46, Issue 2 (Summer 2018), pp. 343-350",na,na,na,1,na
The Limits of Professional Speech [article],"Haupt, Claudia E. (Cited 100 times)",9208,"Yale Law Journal Forum, Vol. 128, pp. 185-200",128 Yale L.J. F. 185 (2018-2019),na,na,na,na
Sex and the First Amendment through the Lens of Professional Speech [article],"Haupt, Claudia E. (Cited 100 times)",9208,"First Amendment Law Review, Vol. 17, Symposium (2018), pp. 186-212",17 First Amend. L. Rev. 186 (2018-2019),na,na,na,na
