Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Regulatory Consolidation and Cross-Border Coordination: Challenging the Conventional Wisdom [notes],"Hemel, Daniel (Cited 40 times)",5336,"Yale Journal on Regulation, Vol. 28, Issue 1 (Winter 2011), pp. 213-252",na,8,na,9,na
Is Abood Irrelevant [article],"Hemel, Daniel (Cited 40 times); Louk, David (Cited 17 times)",5336,"University of Chicago Law Review Dialogue, Vol. 82, pp. 227-250",82 U. Chi. L. Rev. Dialogue 227 (2015-2016),5,na,37,na
Empty Creditors and Debt Exchanges [comments],"Hemel, Daniel (Cited 40 times)",5336,"Yale Journal on Regulation , Vol. 27, Issue 1 (Winter 2010), pp. 159-170",na,5,na,18,na
Issuer Choice after Morrison [comments],"Hemel, Daniel (Cited 40 times)",5336,"Yale Journal on Regulation, Vol. 28, Issue 2 (Summer 2011), pp. 471-490",na,5,na,6,na
The Economic Logic of the Lease/Loan Distinction in Bankruptcy [notes],"Hemel, Daniel (Cited 40 times)",5336,"Yale Law Journal, Vol. 120, Issue 6 (April 2011), pp. 1492-1531",na,4,na,11,na
Inequality and the Mortgage Interest Deduction [article],"Hemel, Daniel (Cited 40 times); Rozema, Kyle (Cited 18 times)",5336,"Tax Law Review, Vol. 70, Issue 4 (Summer 2017), pp. 667-viii",70 Tax L. Rev. 667 (2016-2017),4,na,44,na
Tyranny on Trial: Regional Courts Crack down on Mugabe's Land Reform [notes],"Hemel, Daniel (Cited 40 times); Schalkwyk, Andrew (Cited 3 times)",5336,"Yale Journal of International Law, Vol. 35, Issue 2 (Summer 2010), pp. 517-524",na,3,na,18,na
Sexual Harassment and Corporate Law [article],"Hemel, Daniel (Cited 40 times); Lund, Dorothy S. (Cited 11 times)",5336,"Columbia Law Review, Vol. 118, Issue 6 (October 2018), pp. 1583-1680",na,2,na,na,na
"The Games They Will Play: Tax Games, Roadblocks, and Glitches under the 2017 Tax Legislation [article]","Kamin, David (Cited 37 times); Gamage, David (Cited 267 times); Glogower, Ari (Cited 7 times); Kysar, Rebecca (Cited 3 times); Shanske, Darien (Cited 144 times); Avi-Yonah, Reuven (Cited 1233 times); Batchelder, Lily (Cited 4 times); Fleming, J. Clifton; Hemel, Daniel (Cited 40 times); Kane, Mitchell",5336,"Minnesota Law Review, Vol. 103, Issue 3 (February 2019), pp. 1439-1522",103 Minn. L. Rev. 1439 (2018-2019),2,na,na,na
Atlas Nods: The Libertarian Case for a Basic Income [article],"Fleischer, Miranda Perry (Cited 147 times); Hemel, Daniel (Cited 40 times)",5336,"Wisconsin Law Review, Vol. 2017, Issue 6 (2017), pp. 1189-1272",2017 Wis. L. Rev. 1189 (2017),na,na,48,na
Should Tax Rates Decline with Age [comments],"Hemel, Daniel (Cited 40 times)",5336,"Yale Law Journal, Vol. 120, Issue 7 (May 2011), pp. 1885-[x]",na,na,na,7,na
