Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Beyond the Patents-Prizes Debate [article],"Hemel, Daniel J. (Cited 175 times); Ouellette, Lisa Larrimore (Cited 401 times)",5336,"Texas Law Review, Vol. 92, Issue 2 (December 2013), pp. 303-382",92 Tex. L. Rev. 303 (December 2013),107,na,14,na
Chevron Step One-and-a-Half [article],"Hemel, Daniel J. (Cited 175 times); Nielson, Aaron L. (Cited 198 times)",5336,"University of Chicago Law Review, Vol. 84, Issue 2 (Spring 2017), pp. 757-824",84 U. Chi. L. Rev. 757 (Spring 2017),18,5,79,na
Knowledge Goods and Nation-States [article],"Hemel, Daniel J. (Cited 175 times); Oullette, Lisa Larrimore",5336,"Minnesota Law Review, Vol. 101, Issue 1 (November 2016), pp. 167-244",101 Minn. L. Rev. 167 (2016-2017),9,na,31,na
Partisan Balance with Bite [article],"Feinstein, Brian D. (Cited 34 times); Hemel, Daniel J. (Cited 175 times)",5336,"Columbia Law Review, Vol. 118, Issue 1 (January 2018), pp. 9-82",na,8,na,na,na
Executive Action and the First Amendment's First Word [article],"Hemel, Daniel J. (Cited 175 times)",5336,"Pepperdine Law Review, Vol. 40, Issue 3 (2013), pp. 601-624",40 Pepp. L. Rev. 601 (2012-2013),6,na,7,na
Trade and Tradeoffs: The Case of International Patent Exhaustion [article],"Hemel, Daniel J. (Cited 175 times); Ouellette, Lisa Larrimore (Cited 401 times)",5336,"Columbia Law Review Online, Vol. 116, pp. 17-31",116 Colum. L. Rev. Online 17 (2016),6,na,30,na
The President's Power to Tax [article],"Hemel, Daniel J. (Cited 175 times)",5336,"Cornell Law Review, Vol. 102, Issue 3 (March 2017), pp. 633-720",102 Cornell L. Rev. 633 (2016-2017),6,na,na,na
Presidential Obstruction of Justice [article],"Hemel, Daniel J. (Cited 175 times); Posner, Eric A. (Cited 6076 times)",5336,"California Law Review, Vol. 106, Issue 4 (August 2018), pp. 1277-1334",106 Calif. L. Rev. 1277 (2018),3,na,na,na
Can New York Publish President Trump's State Tax Returns [article],"Hemel, Daniel J. (Cited 175 times)",5336,"Yale Law Journal Forum, Vol. 127, pp. 62-93",127 Yale L.J. F. 62 (2017-2018),2,na,7,na
Public Perceptions of Government Speech [article],"Hemel, Daniel J. (Cited 175 times); Ouelette, Lisa Larrimore",5336,"Supreme Court Review, Vol. 2017, pp. 33-92",na,2,na,na,na
The Tax Legislative Process; A Byrd's Eye View [article],"Aprill, Ellen P. (Cited 485 times); Hemel, Daniel J. (Cited 175 times)",5336,"Law and Contemporary Problems, Vol. 81, Issue 2 (2018), pp. 99-136",na,1,na,41,na
Pooling and Unpooling in the Uber Economy [article],"Hemel, Daniel J. (Cited 175 times)",5336,"University of Chicago Legal Forum, Vol. 2017, pp. 265-286",na,na,na,42,na
Federalism as a Safeguard of Progressive Taxation [article],"Hemel, Daniel J. (Cited 175 times)",5336,"New York University Law Review, Vol. 93, Issue 1 (April 2018), pp. 1-57",93 N.Y.U. L. Rev. 1 (2018),na,na,106,na
The Living Anti-Injunction Act [article],"Hemel, Daniel J. (Cited 175 times)",5336,"Virginia Law Review Online, Vol. 104, pp. 74-88",na,na,na,23,na
Innovation Policy Pluralism [article],"Hemel, Daniel J. (Cited 175 times); Larrimore Ouellette, Lisa (Cited 401 times)",5336,"Yale Law Journal, Vol. 128, Issue 3 (January 2019), pp. 544-615",na,na,na,na,na
How to Reach the Constitutional Question in the Health Care Cases [notes],"Hemel, Daniel J. (Cited 175 times)",5336,"Stanford Law Review Online, Vol. 64, pp. 39-45",na,na,na,9,na
