Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Decriminalization, Police Authority, and Routine Traffic Stops [article]","Woods, Jordan Blair (Cited 80 times)",5960,"UCLA Law Review, Vol. 62, Issue 3 (2015), pp. 672-759",62 UCLA L. Rev. 672 (2015),24,na,76,na
Taking the Hate out of Hate Crimes: Applying Unfair Advantage Theory to Justify the Enhanced Punishment of Opportunistic Bias Crime [comments],"Woods, Jordan Blair (Cited 80 times)",5960,"UCLA Law Review , Vol. 56, Issue 2 (December 2008), pp. 489-542",na,12,na,35,na
LGBT Identity and Crime [article],"Woods, Jordan Blair (Cited 80 times)",5960,"California Law Review, Vol. 105, Issue 3 (June 2017), pp. 667-734",105 Calif. L. Rev. 667 (June 2017),9,na,329,na
Ensuring a Right of Access to the Courts for Bias Crime Victims: A Section 5 Defense of the Matthew Shepard Act [article],"Woods, Jordan Blair (Cited 80 times)",5960,"Chapman Law Review , Vol. 12, Issue 2 (Fall 2008), pp. 389-432",12 Chap. L. Rev. 389 (2008-2009),7,na,5,na
Addressing Youth Bias Crime [comments],"Woods, Jordan Blair (Cited 80 times)",5960,"UCLA Law Review , Vol. 56, Issue 6 (August 2009), pp. 1899-1934",na,5,na,18,na
A Decade after Drug Decriminalization: What Can the United States Learn from the Portuguese Model [article],"Woods, Jordan Blair (Cited 80 times)",5960,"University of the District of Columbia David A. Clarke School of Law Law Review, Vol. 15, Issue 1 (Fall 2011), pp. 1-32",15 UDC/DCSL L. Rev. 1 (Fall 2011),5,na,126,na
Morse v. Frederick's New Perspective on Schools' Basic Educational Missions and the Implications for Gay-Straight Alliance First Amendment Jurisprudence [article],"Woods, Jordan Blair (Cited 80 times)",5960,"Columbia Journal of Gender and Law, Vol. 18, Issue 1 (2008), pp. 281-312",18 Colum. J. Gender & L. 281 (2008-2009),4,na,1,na
"Don't Tap, Don't Stare, and Keep Your Hands to Yourself - Critiquing the Legality of Gay Sting Operations [article]","Woods, Jordan Blair (Cited 80 times)",5960,"Journal of Gender, Race & Justice, Vol. 12, Issue 3 (Spring 2009), pp. 545-578",na,4,na,16,na
Gay-Straight Alliances and Sanctioning Pretextual Discrimination under the Equal Access Act [article],"Woods, Jordan Blair (Cited 80 times)",5960,"New York University Review of Law & Social Change, Vol. 34, Issue 2 (2010), pp. 373-424",34 N.Y.U. Rev. L. & Soc. Change 373 (2010),3,na,5,na
Unaccompanied Youth and Private-Public Order Failures [article],"Woods, Jordan Blair (Cited 80 times)",5960,"Iowa Law Review, Vol. 103, Issue 4 (May 2018), pp. 1639-1710",103 Iowa L. Rev. 1639 (2017-2018),1,na,79,na
Systemic Racial Bias and Rico's Application to Criminal Street and Prison Gangs [article],"Woods, Jordan Blair (Cited 80 times)",5960,"Michigan Journal of Race & Law, Vol. 17, Issue 2 (Spring 2012), pp. 303-358",17 Mich. J. Race & L. 303 (2011-2012),1,na,33,na
"Hate Crime: Concepts, Policy, Future Directions, by N. Chakraborti (Ed.) [reviews] *new*","Woods, Jordan Blair (Cited 80 times)",5960,"Howard Journal of Criminal Justice, Vol. 50, Issue 3 (July 2011), pp. 339-340",na,na,na,na,na
Religious Exemptions and LGBTQ Child Welfare [article],"Woods, Jordan Blair (Cited 80 times)",5960,"Minnesota Law Review, Vol. 103, Issue 5 (May 2019), pp. 2343-2422",103 Minn. L. Rev. 2343 (2018-2019),na,na,na,na
"Policing, Danger Narratives, and Routine Traffic Stops [article]","Woods, Jordan Blair (Cited 80 times)",5960,"Michigan Law Review, Vol. 117, Issue 4 (February 2019), pp. 635-712",117 Mich. L. Rev. 635 (2018-2019),na,na,na,na
