Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"How do the Courts Create Popular Legitimacy - The Role of Establishing the Truth, Punishing Justly, and/Or Acting through Just Procedures [article]","Tyler, Tom R. (Cited 1947 times); Sevier, Justin (Cited 46 times)",158,"Albany Law Review, Vol. 77, Issue 3 (2013-2014), pp. 1095-1138",77 Alb. L. Rev. 1095 (2013-2014),13,4,135,na
"Testing Tribe's Triangle: Juries, Hearsay, and Psychological Distance [article]","Sevier, Justin (Cited 46 times)",158,"Georgetown Law Journal, Vol. 103, Issue 4 (April 2015), pp. 879-932",103 Geo. L.J. 879 (2014-2015),10,na,10,na
The Unintended Consequences of Local Rules [article],"Sevier, Justin (Cited 46 times)",158,"Cornell Journal of Law and Public Policy, Vol. 21, Issue 2 (Winter 2011), pp. 291-346",21 Cornell J. L. & Pub. Pol'y 291 (Winter 2011),6,na,6,na
"Omission Suspicion: Juries, Hearsay, and Attorneys' Strategic Choices [article]","Sevier, Justin (Cited 46 times)",158,"Florida State University Law Review, Vol. 40, Issue 1 (Fall 2012), pp. 1-56",40 Fla. St. U. L. Rev 1 (2012-2013),6,na,7,na
Popularizing Hearsay [article],"Sevier, Justin (Cited 46 times)",158,"Georgetown Law Journal, Vol. 104, Issue 3 (March 2016), pp. 643-692",104 Geo. L.J. 643 (March 2016),6,na,18,na
Redesigning the Science Court [article],"Sevier, Justin (Cited 46 times)",158,"Maryland Law Review, Vol. 73, Issue 3 (2014), pp. 770-836",73 Md. L. Rev. 770 (2013-2014),5,na,6,na
"Consumers, Seller-Advisors, and the Psychology of Trust [article]","Sevier, Justin (Cited 46 times); Williams, Kelli Alces (Cited 169 times)",158,"Boston College Law Review, Vol. 59, Issue 3 (March 2018), pp. 931-992",59 B.C. L. Rev. 931 (2018),na,na,17,na
Vicarious Windfalls [article],"Sevier, Justin (Cited 46 times)",158,"Iowa Law Review, Vol. 102, Issue 2 (January 2017), pp. 651-708",102 Iowa L. Rev. 651 (2016-2017),na,na,18,na
Evidentiary Trapdoors [article],"Sevier, Justin (Cited 46 times)",158,"Iowa Law Review, Vol. 103, Issue 3 (March 2018), pp. 1155-1212",103 Iowa L. Rev. 1155 (2017-2018),na,na,21,na
Legitimizing Character Evidence [article],"Sevier, Justin (Cited 46 times)",158,"Emory Law Journal, Vol. 68, Issue 3 (2019), pp. 441-508",68 Emory L.J. 441 (2018-2019),na,na,na,na
