Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Envisioning the Regulatory State: Technocracy, Democracy, and Institutional Experimentation in the 2010 Financial Reform and Oil Spill Statutes [notes]","Rahman, K. Sabeel (Cited 53 times)",396,"Harvard Journal on Legislation, Vol. 48, Issue 2 (Summer 2011), pp. 555-590",na,15,na,19,na
"Domination, Democracy, and Constitutional Political Economy in the New Gilded Age: Towards a Fourth Wave of Legal Realism [article]","Rahman, K. Sabeel (Cited 53 times)",396,"Texas Law Review, Vol. 94, Issue 7 (June 2016), pp. 1329-1360",na,15,na,55,na
"The New Utilities: Private Power, Social Infrastructure, and the Revival of the Public Utility Concept [article]","Rahman, K. Sabeel (Cited 53 times)",396,"Cardozo Law Review, Vol. 39, Issue 5 (May 2018), pp. 1621-1692",39 Cardozo L. Rev. 1621 (2017-2018),7,na,156,na
Infrastructural Regulation and the New Utilities [comments],"Rahman, K. Sabeel (Cited 53 times)",396,"Yale Journal on Regulation, Vol. 35, Issue 3 (2018), pp. 911-940",na,3,na,31,na
Policymaking as Power-Building [article],"Rahman, K. Sabeel (Cited 53 times)",396,"Southern California Interdisciplinary Law Journal, Vol. 27, Issue 2 (Winter 2018), pp. 315-[xii]",27 S. Cal. Interdisc. L.J. 315 (2017-2018),3,na,70,na
The Shape of Things to Come: The on-Demand Economy and the Normative Stakes of Regulating 21st-Century Capitalism [article],"Rahman, K. Sabeel (Cited 53 times)",396,"European Journal of Risk Regulation (EJRR), Vol. 7, Issue 4 (2016), pp. 652-663",na,2,na,46,na
Reconstructing the Administrative State in an Era of Economic and Democratic Crisis [reviews],"Rahman, K. Sabeel (Cited 53 times)",396,"Harvard Law Review, Vol. 131, Issue 6 (April 2018), pp. 1671-1713",na,2,na,122,na
(Re)Constructing Democracy in Crisis [article],"Rahman, K. Sabeel (Cited 53 times)",396,"UCLA Law Review, Vol. 65, Issue 6 (September 2018), pp. 1552-1573",65 UCLA L. Rev. 1552 (2018),1,na,51,na
Constructing Citizenship: Exclusion and Inclusion through the Governance of Basic Necessities [comments],"Rahman, K. Sabeel (Cited 53 times)",396,"Columbia Law Review, Vol. 118, Issue 8 (December 2018), pp. 2447-i",na,1,na,na,na
"Infrastructural Exclusion and the Fight for the City: Power, Democracy, and the Case of America's Water Crisis [article]","Rahman, K. Sabeel (Cited 53 times)",396,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 53, Issue 2 (Fall 2018), pp. 533-562",53 Harv. C.R.-C.L. L. Rev. 533 (2018),1,na,29,na
From Economic Inequality to Economic Freedom: Constitutional Political Economy in the New Gilded Age [comments],"Rahman, K. Sabeel (Cited 53 times)",396,"Yale Law & Policy Review, Vol. 35, Issue 1 (Fall 2016), pp. 321-336",na,1,na,28,na
Balancing Political Power: Community Economic Development and Institutional Design [notes] *new*,"Rahman, K. Sabeel (Cited 53 times)",396,"Journal of Affordable Housing and Community Development Law, Vol. 27, Issue 3 (2019), pp. 497-498",na,na,na,na,na
Faustian Bargain: American State Formation and the Crisis of Legitimacy [reviews],"Rahman, K. Sabeel (Cited 53 times)",396,"Jotwell: The Journal of Things We Like (Lots), Vol. 2017, pp. [66]-[68]",na,na,na,na,na
Producing Democratic Vibrancy [article],"Rahman, K. Sabeel (Cited 53 times)",396,"Journal of Law and Policy, Vol. 25, Issue 1 (2016), pp. 273-288",25 J.L. & Pol'y 273 (2016-2017),na,na,7,na
