Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Casualty of Investor Protection in Times of Economic Crisis [comments],"Claussen, Kathleen (Cited 14 times)",6153,"Yale Law Journal, Vol. 118, Issue 7 (May 2009), pp. 1545-1556",na,6,na,8,na
The Next Generation of U.S.-Africa Trade Instruments [article],"Claussen, Kathleen (Cited 14 times)",6153,"AJIL Unbound, Vol. 111, pp. 384-388",na,2,na,9,na
Invisible Borders: Mapping Out Virtual Law [article],"Claussen, Kathleen (Cited 14 times)",6153,"Denver Journal of International Law and Policy, Vol. 37, Issue 2 (Spring 2009), pp. 257-278",37 Denv. J. Int'l L. & Pol'y 257 (2008-2009),2,na,10,na
Trading Spaces: The Changing Role of the Executive in U.S. Trade Lawmaking [article],"Claussen, Kathleen (Cited 14 times)",6153,"Indiana Journal of Global Legal Studies, Vol. 24, Issue 2 (2017), pp. 345-368",24 Ind. J. Global Legal Stud. 345 (2017),2,na,26,na
"Default Localism, Or: How Many Laboratories Does It Take to Make a Movement [article]","Claussen, Kathleen (Cited 14 times)",6153,"Creighton Law Review, Vol. 48, Issue 3 (2015), pp. 461-520",48 Creighton L. Rev. 461 (2015),1,na,5,na
Stocktaking and Glimpsing at Trade Law's Next Generation [article],"Claussen, Kathleen (Cited 14 times)",6153,"Proceedings of the Annual Meeting, published by the American Society of International Law, Vol. 111, pp. 92-96",na,na,na,na,na
An Introduction: International Law in Practice [comments],"Claussen, Kathleen (Cited 14 times); Cogan, Jacob Katz (Cited 188 times); Pasipanodya, Tafadzwa",6153,"Proceedings of the Annual Meeting, published by the American Society of International Law, Vol. 112, pp. 1-2",na,na,na,na,na
Introduction: Anatomy of the WTO Impasse [comments],"Claussen, Kathleen (Cited 14 times)",6153,"Proceedings of the Annual Meeting, published by the American Society of International Law, Vol. 112, pp. 315-316",na,na,na,na,na
Dispute Settlement under the Next Generation of Free Trade Agreements [article],"Claussen, Kathleen (Cited 14 times)",6153,"Georgia Journal of International and Comparative Law, Vol. 46, Issue 3 (2018), pp. 611-634",na,na,na,54,na
The Other Trade War [comments],"Claussen, Kathleen (Cited 14 times)",6153,"Minnesota Law Review Headnotes, Vol. 103, Issue 1 (Fall 2018), pp. 1-19",na,na,na,17,na
Separation of Trade Law Powers [article],"Claussen, Kathleen (Cited 14 times)",6153,"Yale Journal of International Law, Vol. 43, Issue 2 (Summer 2018), pp. 315-354",43 Yale J. Int'l L. 315 (2018),na,na,96,na
Beyond Norms: Using International Economic Tools to Deter Malicious State-Sponsored Cyber Activities [notes],"Claussen, Kathleen (Cited 14 times)",6153,"Temple International & Comparative Law Journal, Vol. 32, Issue 2 (Summer 2018), pp. 113-126",na,na,na,20,na
Tipping Point Challenges in International Economic Disputes [article],"Claussen, Kathleen (Cited 14 times)",6153,"Law & Practice of International Courts and Tribunals, Vol. 17, Issue 1 (2018), pp. 61-77",na,na,na,1,na
