Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Actual Expectations of Privacy, Fourth Amendment Doctrine, and the Mosaic Theory [article]","Kugler, Matthew B. (Cited 80 times); Strahilevitz, Lior Jacob (Cited 1128 times)",9715,"Supreme Court Review, Vol. 2015, pp. 205-264",na,14,7,na,na
When is it Wrong to Trade Stocks on the Basis of Non-Public Information - Public Views of the Morality of Insider Trading [article],"Green, Stuart P. (Cited 541 times); Kugler, Matthew B. (Cited 80 times)",9715,"Fordham Urban Law Journal, Vol. 39, Issue 2 (December 2011), pp. 445-484",39 Fordham Urb. L.J. 445 (2011-2012),13,na,22,na
"Public Perceptions of White Collar Crime Culpability: Bribery, Perjury, and Fraud [article]","Green, Stuart P. (Cited 541 times); Kugler, Matthew B. (Cited 80 times)",9715,"Law and Contemporary Problems , Vol. 75, Issue 2 (2012), pp. 33-60",na,11,na,25,na
The Myth of Fourth Amendment Scrutiny [article],"Kugler, Matthew B. (Cited 80 times); Strahilevitz, Lior Jacob (Cited 1128 times)",9715,"University of Chicago Law Review, Vol. 84, Issue 4 (Fall 2017), pp. 1747-1812",84 U. Chi. L. Rev. 1747 (Fall 2017),10,na,66,na
The Perceived Intrusiveness of Searching Electronic Devices at the Border: An Empirical Study [comments],"Kugler, Matthew B. (Cited 80 times)",9715,"University of Chicago Law Review, Vol. 81, Issue 3 (Spring 2014), pp. 1165-1212",na,7,na,18,na
Doing Wrong without Creating Harm [article],"Darley, John M. (Cited 887 times); Solan, Lawrence M. (Cited 664 times); Kugler, Matthew B. (Cited 80 times); Sanders, Joseph (Cited 850 times)",9715,"Journal of Empirical Legal Studies, Vol. 7, Issue 1 (2010), pp. 30-63",7 J. Empirical Legal Stud. 30 (2010),5,na,4,na
Measuring Computer Use Norms [article],"Kugler, Matthew B. (Cited 80 times)",9715,"George Washington Law Review, Vol. 84, Issue 6 (December 2016), pp. 1568-1590",na,4,na,17,na
Community Perceptions of Theft Seriousness: A Challenge to Model Penal Code and English Theft Act Consolidation [article],"Green, Stuart P. (Cited 541 times); Kugler, Matthew B. (Cited 80 times)",9715,"Journal of Empirical Legal Studies, Vol. 7, Issue 3 (2010), pp. 511-537",7 J. Empirical Legal Stud. 511 (2010),4,na,8,na
Must Torts Be Wrongs; An Empirical Perspective [article],"Sanders, Joseph (Cited 850 times); Kugler, Matthew B. (Cited 80 times); Solan, Lawrence M. (Cited 664 times); Darley, John M. (Cited 887 times)",9715,"Wake Forest Law Review, Vol. 49, Issue 1 (2014), pp. 1-46",49 Wake Forest L. Rev. 1 (2014),3,na,40,na
Assessing the Empirical Upside of Personalized Criminal Procedure [article],"Kugler, Matthew B. (Cited 80 times); Strahilevitz, Lior Jacob (Cited 1128 times)",9715,"University of Chicago Law Review, Vol. 86, Issue 2 (March 2019), pp. 489-526",na,2,na,15,na
Differences in Punitiveness across Three Cultures: A Test of American Exceptionalism in Justice Attitudes [article],"Kugler, Matthew B. (Cited 80 times); Funk, Friederike (Cited 2 times); Braun, Judith (Cited 3 times); Gollwitzer, Mario (Cited 2 times)",9715,"Journal of Criminal Law and Criminology, Vol. 103, Issue 4 (Fall 2013), pp. 1071-1114",na,2,na,32,na
Is Privacy Policy Language Irrelevant to Consumers [article],"Strahilevitz, Lior Jacob (Cited 1128 times); Kugler, Matthew B. (Cited 80 times)",9715,"Journal of Legal Studies, Vol. 45, Issue 2 Supplement (June 2016), pp. S69-S96",na,2,na,na,na
The Materiality of Sponsorship Confusion [article],"Kugler, Matthew B. (Cited 80 times)",9715,"U.C. Davis Law Review, Vol. 50, Issue 5 (June 2017), pp. 1911-1964",50 U.C.D. L. Rev. 1911 (2016-2017),1,na,22,na
Punitiveness Towards Users of Illicit Drugs: A Disparity between Actual and Perceived Attitudes [article],"Kugler, Matthew B. (Cited 80 times); Darley, John M. (Cited 887 times)",9715,"Federal Sentencing Reporter , Vol. 24, Issue 3 (February 2012), pp. 217-222",24 Fed. Sent'g Rep. 217 (2011-2012),1,na,7,na
The Privacy Hierarchy: Trade Secret and Fourth Amendment Expectations [article],"Kugler, Matthew B. (Cited 80 times); Rousse, Thomas H.",9715,"Iowa Law Review, Vol. 104, Issue 3 (March 2019), pp. 1223-1290",104 Iowa L. Rev. 1223 (2018-2019),na,na,1,na
