Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Developments in Law and Policy: Emerging Issues in Family Law [article],"Morley, Michael T. (Cited 195 times); Albert, Richard (Cited 337 times); Kneedler, Jennie L. (Cited 29 times); Pereira, Chrystiane (Cited 29 times)",9533,"Yale Law & Policy Review, Vol. 21, Issue 1 (Winter 2003), pp. 169-220",na,29,na,8,na
The Law of Nations and the Offenses Clause of the Constitution: A Defense of Federalism [notes],"Morley, Michael T. (Cited 195 times)",9533,"Yale Law Journal, Vol. 112, Issue 1 (October 2002), pp. 109-144",na,21,na,4,na
Increasing the Supply of Organs for Transplantation through Paired Organ Exchanges [notes],"Morley, Michael T. (Cited 195 times)",9533,"Yale Law & Policy Review, Vol. 21, Issue 1 (Winter 2003), pp. 221-262",na,18,na,5,na
"De Facto Class Actions: Plaintiff-and Defendant-Oriented Injunctions in Voting Rights, Election Law, and Other Constitutional Cases [article]","Morley, Michael T. (Cited 195 times)",9533,"Harvard Journal of Law & Public Policy, Vol. 39, Issue 2 (Spring 2016), pp. 487-556",na,14,na,23,na
Consent of the Governed or Consent of the Government; The Problems with Consent Decrees in Government-Defendant Cases [article],"Morley, Michael T. (Cited 195 times)",9533,"University of Pennsylvania Journal of Constitutional Law, Vol. 16, Issue 3 (February 2014), pp. 637-696",16 U. Pa. J. Const. L. 637 (2013-2014),12,na,15,na
Proxy Consent to Organ Donation by Incompetents [notes],"Morley, Michael T. (Cited 195 times)",9533,"Yale Law Journal, Vol. 111, Issue 5 (March 2002), pp. 1215-1250",na,12,na,10,na
Public Law at the Cathedral: Enjoining the Government [article],"Morley, Michael T. (Cited 195 times)",9533,"Cardozo Law Review, Vol. 35, Issue 6 (August 2014), pp. 2453-2504",35 Cardozo L. Rev. 2453 (2013-2014),10,na,8,na
Rethinking the Right to Vote under State Constitutions [article],"Morley, Michael T. (Cited 195 times)",9533,"Vanderbilt Law Review En Banc, Vol. 67, pp. 189-206",67 Vand. L. Rev. En Banc 189 (2014),10,na,6,na
"Nationwide Injunctions, Rule 23(B)(2), and the Remedial Powers of the Lower Courts [article]","Morley, Michael T. (Cited 195 times)",9533,"Boston University Law Review, Vol. 97, Issue 2 (March 2017), pp. 615-658",97 B.U. L. Rev. 615 (2017),9,4,40,na
Reverse Nullification and Executive Discretion [article],"Morley, Michael T. (Cited 195 times)",9533,"University of Pennsylvania Journal of Constitutional Law, Vol. 17, Issue 5 (May 2015), pp. 1283-1334",17 U. Pa. J. Const. L. 1283 (2014-2015),8,na,10,na
Remedial Equilibration and the Right to Vote under Section 2 of the Fourteenth Amendment [article],"Morley, Michael T. (Cited 195 times)",9533,"University of Chicago Legal Forum, Vol. 2015, pp. 279-340",na,6,na,5,na
Non-Contentious Jurisdiction and Consent Decrees [article],"Morley, Michael T. (Cited 195 times)",9533,"University of Pennsylvania Journal of Constitutional Law Online, Vol. 19, pp. 1-15",19 U. Pa. J. Const. L. Online 1 (2016-2017),6,na,12,na
The New Elections Clause [comments],"Morley, Michael T. (Cited 195 times)",9533,"Notre Dame Law Review Online, Vol. 91, Issue 2 (February 2016), pp. 79-105",na,6,2,5,na
Exceedingly Vexed and Difficult: Games and the First Amendment [comments],"Morley, Michael T. (Cited 195 times)",9533,"Yale Law Journal, Vol. 112, Issue 2 (November 2002), pp. 361-[ii]",na,6,na,6,na
Avoiding Adversarial Adjudication [article],"Morley, Michael T. (Cited 195 times)",9533,"Florida State University Law Review, Vol. 41, Issue 2 (Winter 2014), pp. 291-340",41 Fla. St. U. L. Rev. 291 (2013-2014),5,na,7,na
"Enforcing Equality: Statutory Injunctions, Equitable Balancing under eBay, and the Civil Rights Act of 1964 [article]","Morley, Michael T. (Cited 195 times)",9533,"University of Chicago Legal Forum, Vol. 2014, pp. 177-222",na,4,na,4,na
The Case against a Specialized Court for Federal Benefits Appeals [article],"Morley, Michael (Cited 195 times)",9533,"Federal Circuit Bar Journal, Vol. 17, Issue 4 (2008), pp. 379-400",17 Fed. Cir. B.J. 379 (2008),4,na,13,na
The Intratextual Independent Legislature and the Elections Clause [comments],"Morley, Michael T. (Cited 195 times)",9533,"Northwestern University Law Review, Vol. 109, Issue 3 (Spring 2015), pp. 847-[ii]",na,4,na,7,na
The Federal Equity Power [article],"Morley, Michael T. (Cited 195 times)",9533,"Boston College Law Review, Vol. 59, Issue 1 (January 2018), pp. 217-280",59 B.C. L. Rev. 217 (2018),3,na,63,na
The Intratextual Independent Legislature and the Elections Clause [article],"Morley, Michael T. (Cited 195 times)",9533,"Northwestern University Law Review Online , Vol. 109, pp. 131-151",109 Nw. U. L. Rev. Online 131 (2014-2015),3,3,2,na
To Catch a Killer: Roadblocks and the Fourth Amendment [article],"Morley, Michael T. (Cited 195 times)",9533,"Criminal Justice, Vol. 18, Issue 3 (Fall 2003), pp. 26-31",18 Crim. Just. 26 (2003-2004),1,na,5,na
Reforming the Contested Convention: Rethinking the Presidential Nomination Process [article],"Morley, Michael T. (Cited 195 times)",9533,"Fordham Law Review, Vol. 85, Issue 3 (December 2016), pp. 1073-1096",na,1,na,19,na
"Contingent Constitutionality, Legislative Facts, and Campaign Finance Law [article]","Morley, Michael T. (Cited 195 times)",9533,"Florida State University Law Review, Vol. 43, Issue 2 (Winter 2016), pp. 679-716",na,1,na,2,na
Dismantling the Unitary Electoral System - Uncooperative Federalism in State and Local Elections [article],"Morley, Michael T. (Cited 195 times)",9533,"Northwestern University Law Review Online, Vol. 111, pp. 103-124",111 Nw. U. L. Rev. Online 103 (2016-2017),1,na,5,na
The Disparate Impact Canon [comments],"Morley, Michael T. (Cited 195 times)",9533,"University of Pennsylvania Law Review Online, Vol. 166, pp. 249-264",na,na,na,10,na
Election Emergencies: Voting in the Wake of Natural Disasters and Terrorist Attacks [article],"Morley, Michael T. (Cited 195 times)",9533,"Emory Law Journal, Vol. 67, Issue 3 (2018), pp. 545-618",na,na,na,22,na
U.S. Multinationals and the Control of Subsidiary Employment Policies [article],"Ferner, Anthony; Belanger, Jacques; Tregaskis, Olga; Morley, Michael (Cited 195 times)",9533,"ILR Review: The Journal of Work and Policy, Vol. 66, Issue 3 (June 2013), pp. [i]-669",66 ILR Rev.: J. Work & Pol'y [i] (June 2013),na,na,na,na
Prophylactic Redistricting - Congress's Section 5 Power and the New Equal Protection Right to Vote [article],"Morley, Michael T. (Cited 195 times)",9533,"William & Mary Law Review, Vol. 59, Issue 5 (April 2018), pp. 2053-2114",na,na,na,26,na
Beyond the Elements: Erie and the Standards for Preliminary and Permanent Injunctions [article],"Morley, Michael T. (Cited 195 times)",9533,"Akron Law Review, Vol. 52, Issue 2 (2018), pp. 457-492",52 Akron L. Rev. 457 (2018),na,na,na,na
Republicans and the Voting Rights Act [reviews],"Morley, Michael T. (Cited 195 times)",9533,"Tulsa Law Review, Vol. 54, Issue 2 (Winter 2019), pp. 281-292",na,na,na,na,na
