Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Chapter 11 Reorganization and the Fair and Equitable Standard: How the Absolute Priority Rule Applies to All Nonprofit Entities [article],"Foohey, Pamela (Cited 54 times)",437,"St. John's Law Review, Vol. 86, Issue 1 (Winter 2012), pp. 31-86",86 St. John's L. Rev. 31 (2012),9,na,12,na
Child Support and (In)Ability to Pay: The Case for the Cost Shares Model [article],"Foohey, Pamela (Cited 54 times)",437,"UC Davis Journal of Juvenile Law & Policy, Vol. 13, Issue 1 (Winter 2009), pp. 35-98",13 U.C. Davis J. Juv. L. & Pol'y 35 (2009),6,na,1,na
Calling on the CFPB for Help: Telling Stories and Consumer Protection [article],"Foohey, Pamela (Cited 54 times)",437,"Law and Contemporary Problems, Vol. 80, Issue 3 (2017), pp. 177-210",na,6,na,27,na
No Money down Bankruptcy [article],"Foohey, Pamela (Cited 54 times); Lawless, Robert M. (Cited 440 times); Porter, Katherine (Cited 370 times); Thorne, Deborah (Cited 73 times)",437,"Southern California Law Review, Vol. 90, Issue 5 (July 2017), pp. 1055-[ii]",90 S. Cal. L. Rev. 1055 (2016-2017),6,na,43,na
Applying the Lessons of GPS Monitoring of Batterers to Sex Offenders [notes],"Foohey, Pamela (Cited 54 times)",437,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 43, Issue 1 (Winter 2008), pp. 281-284",na,5,na,8,na
Paying Women for Their Eggs for Use in Stem Cell Research [article],"Foohey, Pamela (Cited 54 times)",437,"Pace Law Review, Vol. 30, Issue 3 (Spring 2010), pp. 900-926",na,5,na,3,na
When Faith Falls Short: Bankruptcy Decisions of Churches [article],"Foohey, Pamela (Cited 54 times)",437,"Ohio State Law Journal, Vol. 76, Issue 6 (2015), pp. 1319-1366",76 Ohio St. L.J. 1319 (2015),4,na,8,na
Bankrupting the Faith [article],"Foohey, Pamela (Cited 54 times)",437,"Missouri Law Review, Vol. 78, Issue 3 (Summer 2013), pp. 719-776",78 Mo. L. Rev. 719 (2013),4,na,6,na
When Churches Reorganize [article],"Foohey, Pamela (Cited 54 times)",437,"American Bankruptcy Law Journal, Vol. 88, Issue 3 (Summer 2014), pp. 277-306",88 Am. Bankr. L.J. 277 (2014),3,na,6,na
"Lender Discrimination, Black Churches, and Bankruptcy [article]","Foohey, Pamela (Cited 54 times)",437,"Houston Law Review, Vol. 54, Issue 5 (Spring 2017), pp. 1079-1138",54 Hous. L. Rev. 1079 (2016-2017),3,na,9,na
"Consumer Credit in America: Past, Present, and Future [article]","Foohey, Pamela (Cited 54 times); Hawkins, Jim (Cited 184 times); Johnson, Creola (Cited 280 times); Martin, Nathalie (Cited 218 times)",437,"Law and Contemporary Problems, Vol. 80, Issue 3 (2017), pp. 1-6",na,1,na,26,na
Access to Consumer Bankruptcy [article],"Foohey, Pamela (Cited 54 times)",437,"Emory Bankruptcy Developments Journal, Vol. 34, Issue 2 (2018), pp. 341-364",na,na,na,16,na
Life in the Sweatbox [article],"Foohey, Pamela (Cited 54 times); Lawless, Robert M. (Cited 440 times); Porter, Katherine (Cited 370 times); Thorne, Deborah (Cited 73 times)",437,"Notre Dame Law Review, Vol. 94, Issue 1 (November 2018), pp. 219-262",94 Notre Dame L. Rev. 219 (2018-2019),na,na,16,na
Jevic's Promise: Procedural Justice in Chapter 11 [article],"Foohey, Pamela (Cited 54 times)",437,"Washington Law Review Online, Vol. 93, pp. 128-142",93 Wash. L. Rev. Online 128 (2018),na,na,7,na
