Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Bilingual Education as a Status Conflict [article],"Moran, Rachel F. (Cited 931 times)",3839,"California Law Review, Vol. 75, Issue 1 (January 1987), pp. 321-362",75 Calif. L. Rev. 321 (1987),103,na,12,na
The Politics of Discretion: Federal Intervention in Bilingual Education [article],"Moran, Rachel F. (Cited 931 times)",3839,"California Law Review, Vol. 76, Issue 6 (December 1988), pp. 1249-1352",76 Calif. L. Rev. 1249 (1988),75,na,12,na
Commentary: The Implications of Being a Society of One [article],"Moran, Rachel F. (Cited 931 times)",3839,"University of San Francisco Law Review, Vol. 20, Issue 3 (Winter 1986), pp. 503-514",na,71,na,7,na
Foreword [comments],"Moran, Rachel F. (Cited 931 times)",3839,"La Raza Law Journal, Vol. 8, Issue 1 (Spring 1995), pp. 1-24",na,67,na,7,na
Diversity and its Discontents: The End of Affirmative Action at Boalt Hall [article],"Moran, Rachel F. (Cited 931 times)",3839,"California Law Review, Vol. 88, Issue 6 (December 2000), pp. 2241-2352",na,62,na,13,na
Neither Black Nor White [article],"Moran, Rachel F. (Cited 931 times)",3839,"Harvard Latino Law Review, Vol. 2, pp. 61-100",2 Harv. Latino L. Rev. 61 (1997),49,na,24,na
The Elusive Nature of Discrimination [reviews],"Moran, Rachel F. (Cited 931 times)",3839,"Stanford Law Review, Vol. 55, Issue 6 (June 2003), pp. 2365-2418",na,45,na,8,na
What if Latinos Really Mattered in the Public Policy Debate [article],"Moran, Rachel F. (Cited 931 times)",3839,"California Law Review, Vol. 85, Issue 5 (October 1997), pp. 1315-1346",na,39,1,4,na
How Second-Wave Feminism Forgot the Single Woman [article],"Moran, Rachel F. (Cited 931 times)",3839,"Hofstra Law Review, Vol. 33, Issue 1 (Fall 2004), pp. 223-298",33 Hofstra L. Rev. 223 (2004-2005),35,na,108,na
Milo's Miracle [article],"Moran, Rachel F. (Cited 931 times)",3839,"Connecticut Law Review, Vol. 29, Issue 3 (Spring 1997), pp. 1079-1114",na,32,1,2,na
Of Doubt and Diversity: The Future of Affirmative Action in Higher Education [article],"Moran, Rachel F. (Cited 931 times)",3839,"Ohio State Law Journal, Vol. 67, Issue 1 (2006), pp. 201-244",na,24,na,11,na
"Rethinking Race, Equality, and Liberty: The Unfulfilled Promise of Parent Involved [article]","Moran, Rachel F. (Cited 931 times)",3839,"Ohio State Law Journal, Vol. 69, Issue 6 (2008), pp. 1321-1374",na,21,na,4,na
Whatever Happened to Racism [article],"Moran, Rachel F. (Cited 931 times)",3839,"St. John's Law Review, Vol. 79, Issue 4 (Fall 2005), pp. 899-928",na,21,na,16,na
Sorting and Reforming: High-Stakes Testing in the Public Schools [article],"Moran, Rachel F. (Cited 931 times)",3839,"Akron Law Review, Vol. 34, Issue 1 (2000), pp. 107-136",na,20,na,5,na
Of Rankings and Regulation: Are the U.S. News & (and) World Report Rankings Really a Subversive Force in Legal Education [article],"Moran, Rachel F. (Cited 931 times)",3839,"Indiana Law Journal, Vol. 81, Issue 1 (Winter 2006), pp. 383-400",na,19,na,4,na
Loving and the Legacy of Unintended Consequences [article],"Moran, Rachel F. (Cited 931 times)",3839,"Wisconsin Law Review, Vol. 2007, Issue 2 (2007), pp. 239-282",2007 Wis. L. Rev. 239 (2007),16,na,14,na
Irritation and Intrigue: The Intricacies of Language Rights and Language Policy [reviews],"Moran, Rachel F. (Cited 931 times)",3839,"Northwestern University Law Review , Vol. 85, Issue 3 , pp. 790-823",na,15,na,6,na
"Law and Emotion, Love and Hate [article]","Moran, Rachel F. (Cited 931 times)",3839,"Journal of Contemporary Legal Issues, Vol. 11, Issue 2 (2001), pp. 747-784",11 J. Contemp. Legal Issues 747 (2000-2001),15,na,36,na
"Bilingual Education, Immigration, and the Culture of Disinvestment [article]","Moran, Rachel F. (Cited 931 times)",3839,"Journal of Gender, Race and Justice, Vol. 2, Issue 2 (Spring 1999), pp. 163-212",2 J. Gender Race & Just. 163 (1998-1999),14,na,16,na
Fear Unbound: A Reply to Professor Sunstein [article],"Moran, Rachel F. (Cited 931 times)",3839,"Washburn Law Journal, Vol. 42, Issue 1 (Fall 2002), pp. 1-30",na,14,na,9,na
Reflections on the Enigma of Indeterminacy in Child-Advocacy Cases [article],"Moran, Rachel F. (Cited 931 times)",3839,"California Law Review, Vol. 74, Issue 2 (March 1986), pp. 603-648",na,13,na,1,na
Let Freedom Ring: Making Grutter Matter in School Desegregation Cases [article],"Moran, Rachel F. (Cited 931 times)",3839,"University of Miami Law Review, Vol. 63, Issue 2 (January 2009), pp. 475-506",na,12,na,3,na
Undone by Law: The Uncertain Legacy of Lau v. Nichols [article],"Moran, Rachel F. (Cited 931 times)",3839,"Berkeley La Raza Law Journal, Vol. 16, Issue 1 (Spring 2005), pp. 1-10",16 Berkeley La Raza L.J. 1 (2005),11,na,50,na
"What Counts as Knowledge - A Reflection on Race, Social Science, and the Law [article]","Moran, Rachel F. (Cited 931 times)",3839,"Law & Society Review, Vol. 44, Issue 3/4 (2010 ), pp. 515-552",44 Law & Soc'y Rev. 515 (2010),11,na,7,na
"Love with a Proper Stranger: What Anti-Miscegenation Laws Can Tell Us about the Meaning of Race, Sex, and Marriage [article]","Moran, Rachel F. (Cited 931 times)",3839,"Hofstra Law Review, Vol. 32, Issue 4 (Summer 2004), pp. 1663-1680",32 Hofstra L. Rev. 1663 (2003-2004),10,na,34,na
Ending the Internal Affairs Farce [article],"Moran, Rachel (Cited 931 times)",3839,"Buffalo Law Review, Vol. 64, Issue 4 (August 2016), pp. 837-906",64 Buff. L. Rev. 837 (2016),9,na,39,na
The Lessons of Keyes: How Do You Translate The American Dream [comments],"Moran, Rachel F. (Cited 931 times)",3839,"La Raza Law Journal, Vol. 1, Issue 3 (Fall 1986), pp. 195-212",na,9,na,1,na
What If Latinos Really Mattered in the Public Policy Debate [article],"Moran, Rachel F. (Cited 931 times)",3839,"La Raza Law Journal, Vol. 10, Issue 1 (Spring 1998), pp. 229-260",na,9,na,8,na
Taking Stock: Women of All Colors in Legal Education - Foreword [comments],"Moran, Rachel F. (Cited 931 times)",3839,"Journal of Legal Education, Vol. 53, Issue 4 (2003), pp. 467-474",na,9,na,4,na
Knocking on the Schoolhouse Door and Wondering What's Inside [article],"Moran, Rachel F. (Cited 931 times)",3839,"Berkeley Women's Law Journal, Vol. 4, Issue 2 (1989-1990), pp. 259-284",4 Berkeley Women's L.J. 259 (1988-1990),8,na,3,na
"Race, Representation, and Remembering [article]","Moran, Rachel F. (Cited 931 times)",3839,"UCLA Law Review, Vol. 49, Issue 5 (June 2002), pp. 1513-1552",na,7,na,14,na
The Mixed Promise of Multiracialism [article],"Moran, Rachel F. (Cited 931 times)",3839,"Harvard Blackletter Law Journal, Vol. 17, pp. 47-56",na,6,1,8,na
"Of Democracy, Devaluation, and Bilingual Education [article]","Moran, Rachel F. (Cited 931 times)",3839,"Creighton Law Review, Vol. 26, Issue 2 (1993), pp. 255-320",na,6,na,1,na
Equal Liberties and English Language Learners: The Special Case of Structured Immersion Initiatives [article],"Moran, Rachel F. (Cited 931 times)",3839,"Howard Law Journal, Vol. 54, Issue 2 (Winter 2011), pp. 397-424",na,6,na,8,na
Getting a Foot in the Door: The Hispanic Push for Equal Educational Opportunity in Denver [article],"Moran, Rachel F. (Cited 931 times)",3839,"Kansas Journal of Law & Public Policy, Vol. 2, Issue 2 (Summer 1992), pp. 35-48",na,6,na,na,na
The Story of Law and American Racial Consciousness: Building a Canon One Case at a Time [article],"Carbado, Devon W. (Cited 1657 times); Moran, Rachel F. (Cited 931 times)",3839,"UMKC Law Review , Vol. 76, Issue 3 (Spring 2008), pp. 851-884",na,6,na,14,na
Clark Kerr and Me: The Future of the Public Law School [article],"Moran, Rachel F. (Cited 931 times)",3839,"Indiana Law Journal, Vol. 88, Issue 3 (Summer 2013), pp. 1021-1046",88 Ind. L.J. 1021 (Summer 2013),5,na,5,na
Fear: A Story in Three Parts [article],"Moran, Rachel F. (Cited 931 times)",3839,"Missouri Law Review, Vol. 69, Issue 4 (Fall 2004), pp. 1013-1038",na,5,na,1,na
When Intercultural Competency Comes to Class: Navigating Difference in the Modern American Law School [notes],"Moran, Rachel F. (Cited 931 times)",3839,"Pacific McGeorge Global Business & Development Law Journal, Vol. 26, Issue 1 (2013), pp. 109-116",na,4,na,8,na
The Transnational School [article],"Moran, Rachel F. (Cited 931 times)",3839,"U.C. Davis Journal of International Law & Policy, Vol. 9, Issue 2 (Spring 2003), pp. 63-104",na,4,na,1,na
Brown's Legacy: The Evolution of Educational Equity [article],"Moran, Rachel F. (Cited 931 times)",3839,"University of Pittsburgh Law Review, Vol. 66, Issue 1 (Fall 2004), pp. 155-180",na,3,na,7,na
Untoward Consequences: The Ironic Legacy of Keyes v. School District No. 1 [article],"Moran, Rachel F. (Cited 931 times)",3839,"Denver University Law Review, Vol. 90, Issue 5 (2013), pp. 1209-1230",na,3,na,11,na
"Diversity, Distance, and the Delivery of Higher Education [article]","Moran, Rachel F. (Cited 931 times)",3839,"Ohio State Law Journal, Vol. 59, Issue 3 (1998), pp. 775-792",na,3,na,3,na
City on a Hill: Democratic Promise of Higher Education [article],"Moran, Rachel F. (Cited 931 times)",3839,"UC Irvine Law Review, Vol. 7, Issue 1 (January 2017), pp. 73-122",na,2,na,5,na
The Three Ages of Modern American Lawyering and the Current Crisis in the Legal Profession and Legal Education [article],"Moran, Rachel F. (Cited 931 times)",3839,"Santa Clara Law Review, Vol. 58, Issue 3 (2019), pp. 453-524",58 Santa Clara L. Rev. 453 (2018-2019),1,na,9,na
In Police We Trust [article],"Moran, Rachel (Cited 931 times)",3839,"Villanova Law Review, Vol. 62, Issue 5 (2017), pp. 953-1004",na,1,na,81,na
"Angela Harris: The Person, the Teacher, the Scholar [notes]","Moran, Rachel F. (Cited 931 times)",3839,"California Law Review, Vol. 102, Issue 4 (August 2014), pp. 1015-1026",na,na,na,3,na
Finding a Place for Pluralism in the Schools: The Paradigms of Religion and Race [article],"Moran, Rachel F. (Cited 931 times)",3839,"Update on Law-Related Education, Vol. 16, Issue 2 (Spring/Summer 1992), pp. 5-46",na,na,na,na,na
Challenges and Opportunities: My Personal Journey [article],"Moran, Rachel F. (Cited 931 times)",3839,"Chicana/o-Latina/o Law Review, Vol. 31, pp. 1-12",31 Chicana/o-Latina/o L. Rev. 1 (2012),na,na,2,na
A Tribute to Margaret Montoya [comments],"Moran, Rachel F. (Cited 931 times)",3839,"Chicana/o-Latina/o Law Review, Vol. 32, Issue 2 (2014), pp. 1-[i]",na,na,na,1,na
Tranformative Law [article],"Moran, Rachel F. (Cited 931 times)",3839,"International Society of Barristers Quarterly, Vol. 43, Issue 4 (October 2008), pp. 433-434",43 Intl. Soc'y Barristers Q. 433 (2008),na,na,na,na
"The Future of Latinos in the United States: Law, Mobility, and Opportunity (A Project of the American Bar Foundation) [article]","Escontrias, Pilar Margarita Hernandez; Moran, Rachel F. (Cited 931 times); Nelson, Robert L. (Cited 676 times)",3839,"Professional Lawyer, Vol. 24, Issue 2 (2017), pp. 21-28",na,na,na,na,na
Contesting Police Credibility [article],"Moran, Rachel (Cited 931 times)",3839,"Washington Law Review, Vol. 93, Issue 3 (October 2018), pp. 1339-1396",93 Wash. L. Rev. 1339 (2018),na,na,35,na
