Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Fading Free Exercise Clause [article],"Reyes, Rene (Cited 25 times)",8467,"William & Mary Bill of Rights Journal, Vol. 19, Issue 3 (March 2011), pp. 725-750",19 Wm. & Mary Bill Rts. J. 725 (2010-2011),9,na,28,na
Justice Souter's Religion Clause Jurisprudence: Judgments of Conscience [article],"Reyes, Rene (Cited 25 times)",8467,"Connecticut Law Review, Vol. 43, Issue 1 (November 2010), pp. 303-320",na,5,na,7,na
Do Even Presidents Have Private Lives [article],"Reyes, Rene (Cited 25 times)",8467,"Kansas Journal of Law & Public Policy, Vol. 17, Issue 3 (Spring 2008), pp. 477-508",17 Kan. J.L. & Pub. Pol'y 477 (2007-2008),3,na,4,na
The Effects of Malpractice Liability on Obstetrics and Gynecology: Taking the Measure of a Crisis [article],"Reyes, Jessica Wolpaw (Cited 3 times); Reyes, Rene (Cited 25 times)",8467,"New England Law Review, Vol. 47, Issue 2 (Winter 2012), pp. 315-350",47 New Eng. L. Rev. 315 (2012-2013),3,na,2,na
Common Cause in the Culture Wars [article],"Reyes, Rene (Cited 25 times)",8467,"Journal of Law and Religion, Vol. 27, Issue 2 (2011-2012), pp. 231-272",27 J. L. & Religion 231 (2011-2012),2,na,4,na
"The Supreme Court's Catholic Majority: Doctrine, Discretion, and Judicial Decision-Making [article]","Reyes, Rene (Cited 25 times)",8467,"St. John's Law Review, Vol. 85, Issue 2 (Spring 2011), pp. 649-682",na,2,na,4,na
"Legislative Sovereignty, Executive Power, and Judicial Review: Comparative Insights from Brexit [article]","Reyes, Rene (Cited 25 times)",8467,"Michigan Law Review First Impressions, Vol. 115, pp. 91-99",115 Mich. L. Rev. First Impressions 91 (2016),1,na,56,na
Nondelegation Doctrine in Comparative Context: Britain's Great Repeal Bill and the Shadow of Henry VIII [comments],"Reyes, Rene (Cited 25 times)",8467,"University of Pennsylvania Law Review Online, Vol. 166, pp. 71-78",na,na,na,21,na
The Mixed Blessings of (Non-)Establishment [article],"Reyes, Rene (Cited 25 times)",8467,"Albany Law Review, Vol. 80, Issue 2 (2016-2017), pp. 405-428",80 Alb. L. Rev. 405 (2016-2017),na,na,5,na
Second Thought about Stun Guns [article],"Reyes, Rene (Cited 25 times)",8467,"Washington and Lee Law Review Online, Vol. 74, pp. 450-458",74 Wash. & Lee L. Rev. Online 450 (2017-2018),na,na,8,na
