Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Due Process Exclusionary Rule [article],127 Harv. L. Rev. 1885 (May 2014),1847,"Harvard Law Review, Vol. 127, Issue 7 (May 2014), pp. 1885-1966",127 Harv. L. Rev. 1885 (May 2014),40,4,66,na
Narrowing Supreme Court Precedent from Below [article],"Re, Richard M. (Cited 265 times)",1847,"Georgetown Law Journal, Vol. 104, Issue 4 (April 2016), pp. 921-972",104 Geo. L.J. 921 (April 2016),35,6,92,na
Narrowing Precedent in the Supreme Court [article],114 Colum. L. Rev. 1861 (2014),1847,"Columbia Law Review, Vol. 114, Issue 7 (November 2014), pp. 1861-1912",na,33,7,34,na
Relative Standing [article],"Re, Richard M. (Cited 265 times)",1847,"Georgetown Law Journal, Vol. 102, Issue 4 (April 2014), pp. 1191-1250",102 Geo. L.J. 1191 (April 2014),31,na,64,na
Promising the Consitution [article],110 Nw. U. L. Rev. 299 (2015-2016),1847,"Northwestern University Law Review, Vol. 110, Issue 2 (2016), pp. 299-356",110 Nw. U. L. Rev. 299 (2015-2016),21,na,26,na
Voting and Vice: Criminal Disenfranchisement and the Reconstruction Amendments [article],"Re, Richard M. (Cited 265 times); Re, Christopher M. (Cited 20 times)",1847,"Yale Law Journal, Vol. 121, Issue 7 (May 2012), pp. 1584-1671",121 Yale L. J. 1584 (2011-2012),20,na,74,na
Should Chevron Have Two Steps [article],"Re, Richard M. (Cited 265 times)",1847,"Indiana Law Journal, Vol. 89, Issue 2 (Spring 2014), pp. 605-642",89 Ind. L.J. 605 (2014),19,na,12,na
Re-Justifying the Fair Cross Section Requirement: Equal Representation and Enfranchisement in the American Criminal Jury [notes],"Re, Richard M. (Cited 265 times)",1847,"Yale Law Journal, Vol. 116, Issue 7 (May 2007), pp. 1568-1614",na,19,1,25,na
Can Congress Overturn Kennedy v. Louisiana [article],"Re, Richard M. (Cited 265 times)",1847,"Harvard Journal of Law & Public Policy, Vol. 33, Issue 3 (Summer 2010), pp. 1031-1106",33 Harv. J. L. & Pub. Pol'y 1031 (2010),12,na,18,na
The Positive Law Floor [article],129 Harv. L. Rev. F. 313 (2015-2016),1847,"Harvard Law Review Forum, Vol. 129, pp. 313-337",129 Harv. L. Rev. F. 313 (2015-2016),10,2,26,na
Can Congress Overturn Graham v. Florida [article],"Re, Richard M. (Cited 265 times)",1847,"Harvard Journal of Law & Public Policy, Vol. 34, Issue 1 (Winter 2011), pp. 367-376",na,8,na,9,na
Equal Right to the Poor [article],84 U. Chi. L. Rev. 1149 (Summer 2017),1847,"University of Chicago Law Review, Vol. 84, Issue 3 (Summer 2017), pp. 1149-1216",84 U. Chi. L. Rev. 1149 (Summer 2017),5,na,61,na
Jury Poker: A Statistical Analysis of the Fair Cross-Section Requirement [comments],"Re, Richard M. (Cited 265 times)",1847,"Ohio State Journal of Criminal Law, Vol. 8, Issue 2 (Spring 2011), pp. 533-552",na,3,1,11,na
Imaging Perfect Surveillance [article],64 UCLA L. Rev. Discourse 264 (2016-2017),1847,"UCLA Law Review Discourse, Vol. 64, pp. 264-293",na,2,na,19,na
United States v. Ankeny: Remedying the Fourth Amendment's Reasonable Manner Requirement [comments],"Re, Richard M. (Cited 265 times)",1847,"Yale Law Journal, Vol. 117, Issue 4 (January 2008), pp. 723-733",na,2,na,4,na
Explaining SCOTUS Repeaters [article],69 Vand. L. Rev. En Banc 297 (2016),1847,"Vanderbilt Law Review En Banc, Vol. 69, pp. 297-324",na,1,na,9,na
Fourth Amendment Fairness [article],116 Mich. L. Rev. 1409 (2017-2018),1847,"Michigan Law Review, Vol. 116, Issue 8 (June 2018), pp. 1409-1464",116 Mich. L. Rev. 1409 (2017-2018),1,na,61,na
Pulse Symposium: Foreword [comments],64 UCLA L. Rev. Discourse i (2016-2017),1847,"UCLA Law Review Discourse, Vol. 64, pp. i-ii",na,na,na,na,na
Scalia's Jurisdiction [reviews],"Re, Richard M. (Cited 265 times)",1847,"Jotwell: The Journal of Things We Like (Lots), Vol. 2016, pp. [421]-[423]",na,na,na,na,na
Beyond the Marks Rule [article],132 Harv. L. Rev. 1943 (2018-2019),1847,"Harvard Law Review, Vol. 132, Issue 7 (May 2019), pp. 1943-2008",132 Harv. L. Rev. 1943 (2018-2019),na,na,na,na
Second Thoughts on One Last Chance [article],66 UCLA L. Rev. 634 (2019),1847,"UCLA Law Review, Vol. 66, Issue 3 (April 2019), pp. 634-653",66 UCLA L. Rev. 634 (2019),na,na,na,na
