Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Overcriminalization's New Harm Paradigm [article],"Haugh, Todd (Cited 84 times)",7290,"Vanderbilt Law Review, Vol. 68, Issue 5 (October 2015), pp. 1191-1242",68 Vand. L. Rev. 1191 (2015),28,na,17,na
The Most Senior Wall Street Official: Evaluating the State of Financial Crisis Prosecutions [article],"Haugh, Todd (Cited 84 times)",7290,"Virginia Law and Business Review, Vol. 9, Issue 2 (Winter 2015), pp. 153-200",9 Va. L. & Bus. Rev. 153 (2014-2015),12,na,31,na
The Criminalization of Compliance [article],"Haugh, Todd (Cited 84 times)",7290,"Notre Dame Law Review, Vol. 92, Issue 3 (January 2017), pp. 1215-1270",92 Notre Dame L. Rev. 1215 (January 2017),11,na,73,na
Sentencing the Why of White Collar Crime [article],"Haugh, Todd (Cited 84 times)",7290,"Fordham Law Review, Vol. 82, Issue 6 (May 2014), pp. 3143-3188",82 Fordham L. Rev. 3143 (2013-2014),8,na,97,na
Can the CEO Learn from the Condemned - The Application of Capital Mitigation Strategies to White Collar Cases [article],"Haugh, Todd (Cited 84 times)",7290,"American University Law Review, Vol. 62, Issue 1 (October 2012), pp. 1-58",62 Am. U. L. Rev. 1 (2012-2013),5,na,6,na
Nudging Corporate Compliance [article],"Haugh, Todd (Cited 84 times)",7290,"American Business Law Journal, Vol. 54, Issue 4 (Winter 2017), pp. 683-742",na,4,na,na,na
Cadillac Compliance Breakdown [article],"Haugh, Todd (Cited 84 times)",7290,"Stanford Law Review Online, Vol. 69, pp. 198-208",na,4,na,8,na
Reasonable Grounds Evidence Involving Sexual Violence in Darfur [article],"Hagan, John (Cited 360 times); Brooks, Richard (Cited 109 times); Haugh, Todd (Cited 84 times)",7290,"Law and Social Inquiry , Vol. 35, Issue 4 (Fall 2010), pp. 881-918",na,3,na,7,na
Sox on Fish: A New Harm of Overcriminalization [comments],"Haugh, Todd (Cited 84 times)",7290,"Northwestern University Law Review, Vol. 109, Issue 3 (Spring 2015), pp. 835-846",na,3,na,4,na
Sox on Fish: A New Harm of Overcriminalization [article],"Haugh, Todd (Cited 84 times)",7290,"Northwestern University Law Review Online , Vol. 109, pp. 152-162",109 Nw. U. L. Rev. Online 152 (2014-2015),2,na,2,na
Caremark's Behavioral Legacy [article],"Haugh, Todd (Cited 84 times)",7290,"Temple Law Review, Vol. 90, Issue 4 (Summer 2018), pp. 611-646",90 Temp. L. Rev. 611 (2017-2018),1,na,na,na
Exactly Wrong: Why the Trump Administration's Stated Policies Will Increase Corporate Crime [article],"Haugh, Todd (Cited 84 times)",7290,"Federal Sentencing Reporter, Vol. 29, Issues 2-3 (December 2016 - February 2017), pp. 91-92",na,na,na,na,na
The Reform Commission [notes],"Haugh, Todd (Cited 84 times)",7290,"Federal Sentencing Reporter, Vol. 26, Issue 4 (April 2014), pp. 258-262",na,na,na,2,na
The Power Few of Corporate Compliance [article] *new*,"Haugh, Todd (Cited 84 times)",7290,"Georgia Law Review, Vol. 53, Issue 1 (Fall 2018), pp. 129-196",53 Ga. L. Rev. 129 (2018-2019),na,na,na,na
