Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Pleading Problem [article],"Steinman, Adam N. (Cited 513 times)",7683,"Stanford Law Review, Vol. 62, Issue 5 (May 2010), pp. 1293-1360",62 Stan. L. Rev. 1293 (May 2010),"Practice and Procedure, Supreme Court of the United States, Notice, Retirement",148,7,48
What Is the Erie Doctrine - (and what does it mean for the contemporary Politics of Judicial Federalism) [article],"Steinman, Adam N. (Cited 513 times)",7683,"Notre Dame Law Review, Vol. 84, Issue 1 (November 2008), pp. 245-330",84 Notre Dame L. Rev. 245 (2008-2009),"Federalism, Jurisdiction, Politics, Congress, Practice and Procedure, Constitutional Law, General",69,1,30
The Irrepressible Myth of Celotex: Reconsidering Summary Judgment Burdens Twenty Years after the Trilogy [article],"Steinman, Adam N. (Cited 513 times)",7683,"Washington and Lee Law Review, Vol. 63, Issue 1 (Winter 2006), pp. 81-146",63 Wash. & Lee L. Rev. 81 (2006),"Summary Judgment, Jurisprudence, Jurisdiction",51,na,14
Reinventing Appellate Jurisdiction [article],"Steinman, Adam N. (Cited 513 times)",7683,"Boston College Law Review, Vol. 48, Issue 5 (November 2007), pp. 1237-1300",48 B.C. L. Rev. 1237 (2007),"Judges, Jurisdiction, Civil Law, Procedure, Practice and Procedure",38,1,17
"The Lay of the Land: Examining the Three Opinions in J. McIntyre Machinery, Ltd. v. Nicastro [article]","Steinman, Adam N. (Cited 513 times)",7683,"South Carolina Law Review, Vol. 63, Issue 3 (Spring 2012), pp. 481-516",63 S. C. L. Rev. 481 (2011-2012),"Conflict of Laws, Practice and Procedure, Fourteenth Amendment, Jurisdiction, Courts, Products Liability Law",35,2,30
Reconceptualizing Federal Habeas Corpus for State Prisoners: How Should AEDPA's Standard of Review Operate after Williams v. Taylor [article],"Steinman, Adam N. (Cited 513 times)",7683,"Wisconsin Law Review, Vol. 2001, Issue 6 (2001), pp. 1493-1540",2001 Wis. L. Rev. 1493 (2001),"Criminal Law and Procedure, Jurisdiction, Judges, Legislation",31,1,2
Our Class Action Federalism: Erie and the Rules Enabling Act after Shady Grove [article],"Steinman, Adam N. (Cited 513 times)",7683,"Notre Dame Law Review, Vol. 86, Issue 3 (July 2011), pp. 1131-1180",86 Notre Dame L. Rev. 1131 (2011),"Federalism, Insurance, Practice and Procedure, Class Actions, Death, Jurisdiction",28,na,15
"Less Is More - Textualism, Intentionalism, and a Better Solution to the Class Action Fairness Act's Appellate Deadline Riddle [article]","Steinman, Adam N. (Cited 513 times)",7683,"Iowa Law Review, Vol. 92, Issue 4 (May 2007), pp. 1183-1236",92 Iowa L. Rev. 1183 (2006-2007),"Legislation, Practice and Procedure, Jurisdiction",19,1,6
The End of an Era: Federal Civil Procedure after the 2015 Amendments [article],"Steinman, Adam N. (Cited 513 times)",7683,"Emory Law Journal, Vol. 66, Issue 1 (2016), pp. 1-54",66 Emory L.J. 1 (2016-2017),"Civil Procedure, Practice and Procedure, Procedure, Discovery, Federal Rules of Civil Procedure",18,na,45
"To Say What the Law Is: Rules, Results, and the Dangers of Inferential Stare Decisis [article]","Steinman, Adam N. (Cited 513 times)",7683,"Virginia Law Review, Vol. 99, Issue 8 (December 2013), pp. 1737-1810",99 Va. L. Rev. 1737 (2013),"Jurisprudence, Practice and Procedure, Judges, Legal Analysis and Writing, Politics",13,na,26
