Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
$10 and a Denim Jacket--A Model Statute for Compensating the Wrongly Convicted [article],"Lopez, Alberto B. (Cited 181 times)",5634,"Georgia Law Review, Vol. 36, Issue 3 (Spring 2002), pp. 665-722",36 Ga. L. Rev. 665 (2001-2002),"Remedies, Criminal Law and Procedure, Juveniles",51,2,36
Weighing and Reweighing Eminent Domain's Political Philosophies Post-Kelo [article],"Lopez, Alberto B. (Cited 181 times)",5634,"Wake Forest Law Review, Vol. 41, Issue 1 (2006), pp. 237-302",41 Wake Forest L. Rev. 237 (2006),"Eminent Domain, Economic Development, Property",32,1,2
Revisiting Kelo and Eminent Domain's Summer of Scrutiny [article],"Lopez, Alberto B. (Cited 181 times)",5634,"Alabama Law Review, Vol. 59, Issue 3 (2008), pp. 561-610",59 Ala. L. Rev. 561 (2007-2008),"Eminent Domain, Fourteenth Amendment, Constitutional Law, Fees, Property, Redevelopment",21,na,7
Equal Access and the Public Forum: Pinette's Imbalance of Free Speech and Establishment [article],"Lopez, Alberto B. (Cited 181 times)",5634,"Baylor Law Review, Vol. 55, Issue 1 (2003), pp. 167-224",55 Baylor L. Rev. 167 (2003),"Constitutions, European Union, Law and Society",20,na,3
A Revaluation of Cy Press Redux [article],"Lopez, Alberto B. (Cited 181 times)",5634,"University of Cincinnati Law Review, Vol. 78, Issue 4 (Summer 2010), pp. 1307-1358",78 U. Cin. L. Rev. 1307 (2009-2010),"Estates, Trusts, Cy Pres",11,na,7
Racial Profiling and Whren: Searching for Objective Evidence of the Fourth Amendment on the Nation's Roads [article],"Lopez, Alberto B. (Cited 181 times)",5634,"Kentucky Law Journal, Vol. 90, Issue 1 (2001-2002), pp. 75-122",90 Ky. L.J. 75 (2001-2002),"Law and Society, Law Enforcement and Corrections, Criminal Law and Procedure",11,na,6
Focusing the Reparations Debate Beyond 1865 [reviews],"Lopez, Alberto B. (Cited 181 times)",5634,"Tennessee Law Review, Vol. 69, Issue 3 (Spring 2002), pp. 653-676",69 Tenn. L. Rev. 653 (Spring 2002),"Liability, Slavery, Revolution, Immunity, Sovereign Immunity",11,na,6
Forty Years and Five Nays--The Nays Have It: Morrison's Blurred Political Accountability and the Defeat of the Civil Rights Provision of the Violence against Women Act [article],"Lopez, Alberto B. (Cited 181 times)",5634,"George Washington Law Review, Vol. 69, Issue 2 (February 2001), pp. 251-292",69 Geo. Wash. L. Rev. 251 (2000-2001),"Civil Rights, Violence, Women, Gender, Hate Crimes, Criminal Law and Procedure, Sexuality and the Law",10,na,6
"Laidlaw and the Clean Water Act: Standing in the Bermuda Triangle of Injury in Fact, Environemntal Harm, and Mere Permit Exceedances [article]","Lopez, Alberto B. (Cited 181 times)",5634,"University of Cincinnati Law Review, Vol. 69, Issue 1 (Fall 2000), pp. 159-196",69 U. Cin. L. Rev. 159 (2000-2001),"Environment, Practice and Procedure, Standing, Water, Remedies",6,na,1
"Posthumous Privacy, Decedent Intent, and Post-Mortem Access to Digital Assets [article]","Lopez, Alberto B. (Cited 181 times)",5634,"George Mason Law Review, Vol. 24, Issue 1 (Fall 2016), pp. 183-242",24 Geo. Mason L. Rev. 183 (2016-2017),"Privacy, Age, Estates and Trusts, Wills, Estate Planning",4,3,71
Kelo-Style Failings [article],"Lopez, Alberto B. (Cited 181 times)",5634,"Ohio State Law Journal, Vol. 72, Issue 4 (2011), pp. 777-820",72 Ohio St. L.J. 777 (2011),"Land Use Planning, Constitutional Law, Eminent Domain, Legislation",1,na,1
Death and the Digital Age: The Disposition of Digital Assets [article],"Lopez, Alberto B. (Cited 181 times)",5634,"Savannah Law Review, Vol. 3, Issue 1 (2016), pp. 77-90",3 Savannah L. Rev. 77 (2016),"Age, Communications Law, Death, Estates, Information Privacy, Science and Technology, Medical Jurisprudence, Food and Drug Law, States",1,na,25
"The Road to, and through, Heart of Atlanta Motel [article]","Lopez, Alberto B. (Cited 181 times)",5634,"Savannah Law Review, Vol. 2, Issue 1 (2015), pp. 59-72",2 Savannah L. Rev. 59 (2015),"Legislation, Politics, Fourteenth Amendment, Legal History, Discrimination",1,na,17
