Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Right to Silence Helps the Innocent: A Game-Theoretic Analysis of the Fifth Amendment Priviledge [article],"Seidmann, Daniel J. (Cited 93 times); Stein, Alex (Cited 713 times)",3538,"Harvard Law Review, Vol. 114, Issue 2 (December 2000), pp. 430-510",114 Harv. L. Rev. 430 (2000-2001),"Criminal Law and Procedure, Comparative Law, Evidence",93,na,23
Overenforcement [article],"Bierschbach, Richard A. (Cited 362 times); Stein, Alex (Cited 713 times)",3538,"Georgetown Law Journal, Vol. 93, Issue 6 (August 2005), pp. 1743-1782",93 Geo. L.J. 1743 (2004-2005),"Jurisprudence, Criminal Law and Procedure, Law Enforcement, Securities",68,1,16
Torts and Innovation [article],"Parchomvsky, Gideon (Cited 49 times); Stein, Alex (Cited 713 times)",3538,"Michigan Law Review, Vol. 107, Issue 2 (November 2008), pp. 285-316",107 Mich. L. Rev. 285 (2008-2009),"Science and Technology, Torts, Liability, Malpractice, Medical Jurisprudence, Medical Malpractice",49,na,36
Originality [article],"Parchomovsky, Gideon (Cited 2006 times); Stein, Alex (Cited 713 times)",3538,"Virginia Law Review , Vol. 95, Issue 6 (October 2009), pp. 1505-1550",95 Va. L. Rev. 1505 (2009),"Intellectual Property Law, Copyright",37,na,36
Mediating Rules in Criminal Law [article],"Bierschbach, Richard A. (Cited 362 times); Stein, Alex (Cited 713 times)",3538,"Virginia Law Review, Vol. 93, Issue 5 (September 2007), pp. 1197-1258",93 Va. L. Rev. 1197 (2007),"Criminal Law and Procedure, Evidence, Penology, Law Enforcement and Corrections",29,1,3
Reconceptualizing Trespass [article],"Parchomovsky, Gideon (Cited 2006 times); Stein, Alex (Cited 713 times)",3538,"Northwestern University Law Review , Vol. 103, Issue 4 (2009), pp. 1823-1862",103 Nw. U. L. Rev. 1823 (2009),"Remedies, Trespass, Incorporation, Economics, Industrial and Intellectual Property, Injunctions, Law and Economics, Liability",27,na,30
Liability for Uncertainty: Making Evidential Damage Actionable [article],"Porat, Ariel (Cited 551 times); Stein, Alex (Cited 713 times)",3538,"Cardozo Law Review, Vol. 18, Issue 6 (July 1997), pp. 1891-1960",18 Cardozo L. Rev. 1891 (July 1997),"Liability, Medical Records, Records, Causation, Damages",26,na,17
The Distortionary Effect of Evidence on Primary Behavior [comments],"Parchomovsky, Gideon (Cited 2006 times); Stein, Alex (Cited 713 times)",3538,"Harvard Law Review, Vol. 124, Issue 2 (December 2010), pp. 518-549",124 Harv. L. Rev. 518 (December 2010),"Evidence, Jurisprudence, Communications Law, Law Enforcement and Corrections, Legal Profession, Science and Technology, Teachers",24,na,14
Auctioning for Loyalty: Selection and Monitoring of Class Counsel [article],"Harel, Alon (Cited 514 times); Stein, Alex (Cited 713 times)",3538,"Yale Law & Policy Review, Vol. 22, Issue 1 (Winter 2004), pp. 69-124",22 Yale L. & Pol'y Rev. 69 (2004),"Professional Ethics, Legal Profession, Estates",24,na,9
The Relational Contingency of Rights [article],"Parchomovsky, Gideon (Cited 2006 times); Stein, Alex (Cited 713 times)",3538,"Virginia Law Review, Vol. 98, Issue 6 (October 2012), pp. 1313-1372",98 Va. L. Rev. 1313 (October 2012),"Economics, Jurisprudence, Remedies, Copyright, Intellectual Property Law, Advertising, Food and Drug Law, Tobacco",24,na,12
Constitutional Evidence Law [article],"Stein, Alex (Cited 713 times)",3538,"Vanderbilt Law Review, Vol. 61, Issue 1 (January 2008), pp. 65-126",61 Vand. L. Rev. 65 (2008),"Evidence, Burden of Proof, Jurisprudence, Proof, Hearsay, Interest",22,1,11
Catalogs [article],"Parchomovsky, Gideon (Cited 2006 times); Stein, Alex (Cited 713 times)",3538,"Columbia Law Review, Vol. 115, Issue 1 (January 2015), pp. 165-[ii]",115 Colum. L. Rev. 165 (2015),"Jurisprudence, States, Contracts",22,na,na
Ambiguity Aversion and the Criminal Process [article],"Segal, Uzi (Cited 27 times); Stein, Alex (Cited 713 times)",3538,"Notre Dame Law Review, Vol. 81, Issue 4 (May 2006), pp. 1495-1552",81 Notre Dame L. Rev. 1495 (2005-2006),"Juveniles, Law and Society, Sentencing, Criminal Law and Procedure, Jurisprudence, Comparative Law",21,na,13
Of Two Wrongs the Make a Right: Two Paradoxes of the Evidence Law and Their Combined Economic Justification [article],"Stein, Alex (Cited 713 times)",3538,"Texas Law Review, Vol. 79, Issue 5 (April 2001), pp. 1199-1234",79 Tex. L. Rev. 1199 (April 2001),"Economics, Evidence, Industry, Agriculture Law, History",20,na,4
The Refoundation of Evidence Law [article],"Stein, Alex (Cited 713 times)",3538,"Canadian Journal of Law and Jurisprudence, Vol. 9, Issue 2 (July 1996 ), pp. 279-342",9 Can. J. L. & Jurisprudence 279 (1996),"Evidence, Proof",19,na,25
"Evidence, Probability, and Burden of Proof [article]","Allen, Ronald J. (Cited 2435 times); Stein, Alex (Cited 713 times)",3538,"Arizona Law Review, Vol. 55, Issue 3 (2013), pp. 557-602",55 Ariz. L. Rev. 557 (2013),"Burden of Proof, Evidence, Jurisprudence, Proof, Practice and Procedure, Jury",17,na,70
Intellectual Property Defenses [article],"Parchomovsky, Gideon (Cited 2006 times); Stein, Alex (Cited 713 times)",3538,"Columbia Law Review, Vol. 113, Issue 6 (October 2013), pp. 1483-1542",113 Colum. L. Rev. 1483 (2013),"Defenses, Intellectual Property, Property, Antitrust, Plaintiffs",17,na,33
Strategic Enforcement [article],"Lemos, Margaret H. (Cited 554 times); Stein, Alex (Cited 713 times)",3538,"Minnesota Law Review, Vol. 95, Issue 1 (November 2010), pp. 9-58",95 Minn. L. Rev. 9 (2010-2011),"Law Enforcement and Corrections, Criminal Law and Procedure",17,na,14
Toward a Theory of Medical Malpractice [article],"Stein, Alex (Cited 713 times)",3538,"Iowa Law Review, Vol. 97, Issue 4 (May 2012), pp. 1201-1258",97 Iowa L. Rev. 1201 (2011-2012),"Malpractice, Medical Jurisprudence, Medical Malpractice, Torts, Consent, Informed Consent, Liability",15,9,24
The Right to Silence Helps the Innocent: A Response to Critics [article],"Stein, Alex (Cited 713 times)",3538,"Cardozo Law Review, Vol. 30, Issue 3 (December 2008), pp. 1115-1140",30 Cardozo L. Rev. 1115 (2008-2009),"Criminal Law and Procedure, Comparative Law, Evidence",15,na,na
The Flawed Probabilistic Foundation of Law and Economics [article],"Stein, Alex (Cited 713 times)",3538,"Northwestern University Law Review, Vol. 105, Issue 1 (Winter 2011), pp. 199-260",105 Nw. U. L. Rev. 199 (2011),"Economics, Law and Economics, Evidence",14,na,10
"An Essay of Uncertainty and Fact-Finding in Civil Litigation, with Special Reference to Contract Cases [article]","Stein, Alex (Cited 713 times)",3538,"Unviersity of Toronto Law Journal, Vol. 48, Issue 3 (Summer 1998), pp. 299-352",48 U. Toronto L.J. 299 (1998),"Evidence, Criminal Law and Procedure, Torts",13,na,1
Inefficient Evidence [article],"Stein, Alex (Cited 713 times)",3538,"Alabama Law Review, Vol. 66, Issue 3 (2015), pp. 423-470",66 Ala. L. Rev. 423 (2015),"Evidence, Comparative Law, Criminal Law and Procedure",13,na,18
"Indeterminate Causation and Apportionment of Damages: An Essay on Holtby, Allen, and Fairchild [article]","Porat, Ariel (Cited 551 times); Stein, Alex (Cited 713 times)",3538,"Oxford Journal of Legal Studies, Vol. 23, Issue 4 (Winter 2003), pp. 667-702",Full Text Not Currently Available in HeinOnline,"Causation, Damages, Insurance, Reinsurance, Asbestos, Diseases, Liability",12,na,na
"Allocating the Burden of Proof in Sales Litigation: The Law, Its Rationale, a New Theory, and Its Failure [comments]","Stein, Alex (Cited 713 times)",3538,"University of Miami Law Review, Vol. 50, Issue 2 (January 1996), pp. 335-344",50 U. Miami L. Rev. 335 (1995-1996),"Burden of Proof, Economics, Proof, Sales, Presumptions",10,na,1
Dualism and Doctrine [article],"Fox, Dov (Cited 169 times); Stein, Alex (Cited 713 times)",3538,"Indiana Law Journal, Vol. 90, Issue 3 (Summer 2015), pp. 975-1010",90 Ind. L.J. 975 (2015),"Psychiatry and Psychology, Sentencing, Torts, Evidence",7,na,20
Judicial Fact-Finding and the Bayesian Method: The Case for Deeper Scepticism about Their Combination [article],"Stein, Alex (Cited 713 times)",3538,"International Journal of Evidence & Proof, Vol. 1, Issue 1 (October 1996), pp. 25-47",1 Int'l J. Evidence & Proof 25 (1996-1997),"Criminal Law and Procedure, Evidence, Jurisprudence",7,na,6
