Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Ending a Mud Bowl: Defining Arbitration's Finality through Functional Analysis [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Georgia Law Review, Vol. 37, Issue 1 (Fall 2002), pp. 123-204",37 Ga. L. Rev. 123 (2002-2003),"Arbitration, Dispute Resolution, International Arbitration, Jurisdiction, Statutes",65,2,8
Embracing Unconscionability's Safety Net Function [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Alabama Law Review, Vol. 58, Issue 1 (2006), pp. 73-118",58 Ala. L. Rev. 73 (2006),"Contracts, Mistake, Jurisprudence, Philosophy",59,2,16
Untangling the Privacy Paradox in Arbitration [article],"Schmitz, Amy J. (Cited 470 times)",1320,"University of Kansas Law Review, Vol. 54, Issue 5 (June 2006), pp. 1211-1254",54 U. Kan. L. Rev. 1211 (2005-2006),"Arbitration, Privacy, Confidentiality, Interest, International Arbitration",54,na,81
Legislating in the Light: Considering Empirical Data in Crafting Arbitration Reforms [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Harvard Negotiation Law Review, Vol. 15, Issue 1 (Spring 2010), pp. 115-194",15 Harv. Negot. L. Rev. 115 (2010),"Arbitration, Commercial Law",34,1,7
Drive-Thru Arbitration in the Digital Age: Empowering Consumers through Binding ODR [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Baylor Law Review, Vol. 62, Issue 1 (2010), pp. 178-244",62 Baylor L. Rev. 178 (2010),"Age, Arbitration, Consumer Protection Law, Dispute Resolution, Remedies, Commerce, E-Commerce, Internet",32,na,58
Consideration of Contracting Culture in Enforcing Arbitration Provisions [article],"Schmitz, Amy J. (Cited 470 times)",1320,"St. John's Law Review , Vol. 81, Issue 1 (Winter 2007), pp. 123-172",81 St. John's L. Rev. 123 (2007),Arbitration,25,na,1
Curing Consumer Warranty Woes through Regulated Arbitration [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Ohio State Journal on Dispute Resolution , Vol. 23, Issue 3 (2008), pp. 627-686",23 Ohio St. J. on Disp. Resol. 627 (2008),"Arbitration, Commercial Law",24,na,3
Access to Consumer Remedies in the Squeaky Wheel System [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Pepperdine Law Review, Vol. 39, Issue 2 (2012), pp. 279-366",39 Pepp. L. Rev. 279 (2011-2013),"Consumer Protection Law, Remedies, Dispute Resolution, Science and Technology",20,na,10
Refreshing Contractual Analysis of ADR Agreements by Curing Bipolar Avoidance of Modern Common Law [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Harvard Negotiation Law Review, Vol. 9, pp. 1-74",9 Harv. Negot. L. Rev. 1 (2004),"Common Law, Contracts, Dispute Resolution, Good Faith",19,na,10
Dangers of Deference to Form Arbitration Provisions [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Nevada Law Journal, Vol. 8, Issue 1 (Fall 2007), pp. 37-57",8 Nev. L.J. 37 (Fall 2007),"Arbitration, Commercial Law",18,na,3
Providing an Escape for Inner-City Children: Creating a Federal Remedy for Educational Ills of Poor Urban Schools [notes],"Schmitz, Amy J. (Cited 470 times)",1320,"Minnesota Law Review, Vol. 78, Issue 6 (June 1994), pp. 1639-1672",78 Minn. L. Rev. 1639 (1993-1994),"Children, Education, Schools, Social Welfare Law, Public Schools, Students, Teachers, War, Public Education",16,na,12
Pizza-Box Contracts: True Tales of Consumer Contracting Culture [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Wake Forest Law Review, Vol. 45, Issue 3 (2010), pp. 863-902",45 Wake Forest L. Rev. 863 (2010),"Contracts, Arbitration, Commercial Law, Dispute Resolution",15,na,23
Confronting ADR Agreements' Contract/No-Contract Conundrum with Good Faith [article],"Schmitz, Amy J. (Cited 470 times)",1320,"DePaul Law Review, Vol. 56, Issue 1 (Fall 2006), pp. 55-106",56 DePaul L. Rev. 55 (2006-2007),"Contracts, Dispute Resolution, Good Faith, Common Law",12,na,8
Secret Consumer Scores and Segmentations: Separating Haves from Have-Nots [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Michigan State Law Review, Vol. 2014, Issue 5 (2014), pp. 1411-1474",2014 Mich. St. L. Rev. 1411 (2014),"Banking, Consumer Protection Law, Information Privacy, Credit, Industry",10,na,29
Nonconsensual + Nonbinding = Nonsensical? Reconsidering Court-Connected Arbitration Programs [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Cardozo Journal of Conflict Resolution, Vol. 10, Issue 2 (Spring 2009), pp. 587-626",10 Cardozo J. Conflict Resol. 587 (2008-2009),"Arbitration, Courts, Judges, Practice and Procedure, Dispute Resolution, Procedure",9,2,6
Females on the Fringe: Considering Gender in Payday Lending Policy [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Chicago-Kent Law Review, Vol. 89, Issue 1 (2014), pp. 65-114",89 Chi.-Kent L. Rev. 65 (2014),"Consumer Credit, Credit, Gender, Law and Society, Marital Status, Sex Discrimination, Women, Automobiles, Government, Interest Rates",8,na,31
Sex Matters: Considering Gender in Consumer Contracting [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Cardozo Journal of Law & Gender, Vol. 19, Issue 2 (2013), pp. 437-510",19 Cardozo J.L. & Gender 437 (2013),"Consumer Credit, Financial Services, Gender, Insurance, Sex, Sex Discrimination, Criminology",8,na,13
American Exceptionalism in Consumer Arbitration [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Loyola University Chicago International Law Review, Vol. 10, Issue 1 (Fall/Winter 2012), pp. 81-104",10 Loy. U. Chi. Int'l L. Rev. 81 (2012-2013),"Arbitration, Remedies, Commercial Law",8,na,10
Mobile-Home Mania - Protecting Procedurally Fair Arbitration in a Consumer Microcosm [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Ohio State Journal on Dispute Resolution, Vol. 20, Issue 2 (2005), pp. 291-374",20 Ohio St. J. on Disp. Resol. 291 (2005),"Arbitration, Consumer Protection Law, Housing Law, Commercial Law, Affordable Housing, Homes, Housing",8,na,1
Remedy Realities in Business-to-Consumer Contracting [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Arizona Law Review, Vol. 58, Issue 1 (2016), pp. 213-[i]",58 Ariz. L. Rev. 213 (2016),"Dispute Resolution, Remedies, Science and Technology, Consumer Protection Law",6,na,38
Ethical Considerations in Drafting and Enforcing Consumer Arbitration Clauses [article],"Schmitz, Amy J. (Cited 470 times)",1320,"South Texas Law Review , Vol. 49, Issue 4 (Summer 2008), pp. 841-878",49 S. Tex. L. Rev. 841 (2007-2008),"Arbitration, Commercial Law",5,na,6
Building Bridges to Remedies for Consumers in International eConflicts [article],"Schmitz, Amy J. (Cited 470 times)",1320,"University of Arkansas at Little Rock Law Review, Vol. 34, Issue 4 (Summer 2012), pp. 779-796",34 UALR L. Rev. 779 (2011-2012),"Remedies, Arbitration, Commercial Law",4,na,6
Introducing the New Handshake to Expand Remedies and Revive Responsibility in ECommerce [comments],"Schmitz, Amy J. (Cited 470 times)",1320,"St. Thomas Law Review, Vol. 26, Issue 4 (Summer 2014), pp. 522-550",26 St. Thomas L. Rev. 522 (2013-2014),"Remedies, Consumer Protection Law, Dispute Resolution, Science and Technology",2,na,13
Promoting the Promise Manufactured Homes Provide for Affordable Housing [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Journal of Affordable Housing and Community Development Law, Vol. 13, Issue 3 (Spring 2004), pp. 384-416",13 J. Affordable Hous. & Cmty. Dev. L. 384 (2003-2004),"Affordable Housing, Homes, Housing, Arbitration, Consumer Protection Law, Housing Law",1,na,3
There's an App for That: Developing Online Dispute Resolution to Empower Economic Development [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Notre Dame Journal of Law, Ethics & Public Policy, Vol. 32, Issue 1 (2018), pp. 1-46",32 Notre Dame J.L. Ethics & Pub. Pol'y 1 (2018),"Consumer Protection Law, Dispute Resolution, Economic Development, International Trade, Science and Technology, Commerce, E-Commerce",1,na,72
Ensuring Remedies to Cure Cramming [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Cardozo Journal of Conflict Resolution, Vol. 14, Issue 3 (Spring 2013), pp. 877-898",14 Cardozo J. Conflict Resol. 877 (2012-2013),"Remedies, Liability, Communications Law",1,na,1
Assuming Silence in Arbitration [article],"Schmitz, Amy J. (Cited 470 times)",1320,"New Jersey Lawyer, Vol. 2011, Issue 2 (April 2011), pp. 16-21",2011 N.J. Law. 16 (2011),"Confidentiality, Privacy, Arbitration",na,na,na
"Bennett Explains Arbitration Fundamentals, without the Legalese [reviews]","Schmitz, Amy J. (Cited 470 times)",1320,"Dispute Resolution Magazine, Vol. 9, Issue 1 (Fall 2002), pp. 27-28",9 Disp. Resol. Mag. 27 (2002-2003),Arbitration,na,na,na
The New Handshake: Where We Are Now [article],"Schmitz, Amy J. (Cited 470 times); Rule, Colin (Cited 35 times)",1320,"International Journal of Online Dispute Resolution, Vol. 3, Issue 2 (2016), pp. 84-101",3 IJODR 84 (2016),"Remedies, Consumer Protection Law, Dispute Resolution",na,na,10
Expanding Access to Remedies through E-Court Initiatives [article],"Schmitz, Amy J. (Cited 470 times)",1320,"Buffalo Law Review, Vol. 67, Issue 1 (January 2019), pp. 89-164",67 Buff. L. Rev. 89 (2019),na,na,na,na
