Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Uncommon Approaches to Commons Problems: Nested Governance Commons and Climate Change [article],"Hudson, Blake (Cited 126 times); Rosenbloom, Jonathan (Cited 86 times)",2928,"Hastings Law Journal, Vol. 64, Issue 4 (May 2013), pp. 1273-1342",64 Hastings L.J. 1273 (2012-2013),"Climate Change, Commerce, Commerce Clause, Constitutional Law, Jurisprudence, Regulation, Constitutions, Jurisdiction, Natural Resources Law",18,na,12
Reconstituting Land-Use Federalism to Address Transitory and Perpetual Disasters: The Bimodal Federalism Framework [article],"Hudson, Blake (Cited 126 times)",2928,"Brigham Young University Law Review, Vol. 2011, Issue 6 (2011), pp. 1991-2062",2011 BYU L. Rev. 1991 (2011),"Disasters, Federalism, Jurisdiction, Land Use, Land Use Planning, Constitutional Law, State and Local Government Law, Climate Change, Insurance, Insurance Law",15,na,8
"Climate Change, Forests, and Federalism: Seeing the Treaty for the Trees [article]","Hudson, Blake (Cited 126 times)",2928,"University of Colorado Law Review, Vol. 82, Issue 2 (2011), pp. 363-430",82 U. Colo. L. Rev. 363 (2011),"Constitutional Law, International Law, Natural Resources, Agriculture Law",13,na,10
Federal Constitutions: The Keystone of Nested Commons Governance [article],"Hudson, Blake (Cited 126 times)",2928,"Alabama Law Review, Vol. 63, Issue 5 (2012), pp. 1007-1066",63 Ala. L. Rev. 1007 (2011-2012),"Constitutional Law, Constitutions, Jurisdiction, Natural Resources Law, Climate Change, Commerce, Commerce Clause, Jurisprudence, Regulation",12,na,9
The Public and Wildlife Trust Doctrines and the Untold Story of the Lucas Remand [article],"Hudson, Blake (Cited 126 times)",2928,"Columbia Journal of Environmental Law, Vol. 34, Issue 1 (2009), pp. 99-148",34 Colum. J. Envtl. L. 99 (2009),"Administration Law, Natural Resources Law, Wildlife, Land Use Planning, Law and Society, Property, Takings, Takings Clause",12,na,6
Commerce in the Commons: A Unified Theory of Natural Capital Regulation under the Commerce Clause [article],"Hudson, Blake (Cited 126 times)",2928,"Harvard Environmental Law Review, Vol. 35, Issue 2 (2011), pp. 375-432",35 Harv. Envtl. L. Rev. 375 (2011),"Commerce, Commerce Clause, Constitutional Law, Jurisprudence, Regulation, Property, Property Law, Climate Change",12,na,3
Dynamic Forest Federalism [article],"Hudson, Blake (Cited 126 times)",2928,"Washington and Lee Law Review, Vol. 71, Issue 3 (Summer 2014), pp. 1643-1714",71 Wash. & Lee L. Rev. 1643 (2014),"Constitutional Law, Federalism, State and Local Government Law, Climate Change, Administration Law, Conservation",9,na,3
Fail-Safe Federalism and Climate Change: The Case of U.S. and Canadian Forest Policy [article],"Hudson, Blake (Cited 126 times)",2928,"Connecticut Law Review, Vol. 44, Issue 3 (February 2012), pp. 925-1000",44 Conn. L. Rev. 925 (February 2012),"Climate Change, Constitutions, Constitutional Law, Jurisdiction, Natural Resources Law, Boundaries, Diplomacy",7,na,13
Coastal Land Loss and the Mitigation-Adaptation Dilemma: Between Scylla and Charybdis [article],"Hudson, Blake (Cited 126 times)",2928,"Louisiana Law Review, Vol. 73, Issue 1 (Fall 2012), pp. 31-68",73 La. L. Rev. 31 (Fall 2012),"Water, Land Use Planning, State and Local Government Law, Constitutional Law, Industry, Natural Resources Law",6,na,7
"Federal Constitutions, Global Governance, and the Role of Forests in Regulating Climate Change [article]","Hudson, Blake (Cited 126 times)",2928,"Indiana Law Journal, Vol. 87, Issue 4 (Fall 2012), pp. 1455-1516",87 Ind. L.J. 1455 (2012),"Constitutional Law, Jurisdiction, Natural Resources Law, International Law, State and Local Government Law",5,na,12
