Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Regulating Public Morals and Private Markets: Online Securities Trading, Internet Gambling, and the Speculation Paradox [article]","Hurt, Christine (Cited 280 times)",8773,"Boston University Law Review, Vol. 86, Issue 2 (April 2006), pp. 371-442",86 B.U. L. Rev. 371 (2006),"Communications Law, Gaming, Securities, Computer Law, Criminal Law and Procedure",45,1,25
Moral Hazard and the Initial Public Offering [article],"Hurt, Christine (Cited 280 times)",8773,"Cardozo Law Review, Vol. 26, Issue 2 (January 2005), pp. 711-790",26 Cardozo L. Rev. 711 (2004-2005),"Internet, Business Organizations, Securities",45,na,82
The Undercivilization of Corporate Law [article],"Hurt, Christine (Cited 280 times)",8773,"Journal of Corporation Law, Vol. 33, Issue 2 (Winter 2008), pp. 361-446",33 J. Corp. L. 361 (2007-2008),"Criminal Law and Procedure, Business Organizations, Securities, Comparative Law, Organizations",38,na,17
Evil Has a New Name (and a New Narrative): Bernard Madoff [article],"Hurt, Christine (Cited 280 times)",8773,"Michigan State Law Review, Vol. 2009, Issue 4 (Winter 2009), pp. 947-988",2009 Mich. St. L. Rev. 947 (2009),"Securities, Victims",22,na,69
"Counselor, Gatekeeper, Shareholder, Thief: Why Attorneys Who Invest in Their Clients in a Post-Enron World are Selling Out, Not Buying In [article]","Hurt, Christine (Cited 280 times)",8773,"Ohio State Law Journal, Vol. 64, Issue 3 (2003), pp. 897-956",64 Ohio St. L.J. 897 (2003),"Attorneys, Corporations, Legal Profession, Accounting, Professional Ethics",21,na,7
Pricing Disintermediation: Crowdfunding and Online Auction IPOS [article],"Hurt, Christine (Cited 280 times)",8773,"University of Illinois Law Review, Vol. 2015, Issue 1 (2015), pp. 217-262",2015 U. Ill. L. Rev. 217 (2015),"Banking, Securities, States, Equity",19,na,33
Network Effects and Legal Citation: How Antitrust Theory Predicts Who Will Build a Better Bluebook Mousetrap in the Age of Electronic Mice [article],"Hurt, Christine (Cited 280 times)",8773,"Iowa Law Review, Vol. 87, Issue 4 (May 2002), pp. 1257-1302",87 Iowa L. Rev. 1257 (2001-2002),"Age, Antitrust, Trade Regulation, Legal Analysis and Writing",17,na,8
The Duty to Manage Risk [article],"Hurt, Christine (Cited 280 times)",8773,"Journal of Corporation Law, Vol. 39, Issue 2 (Winter 2014), pp. 253-294",39 J. Corp. L. 253 (2013-2014),"Remedies, Securities, Criminal Law and Procedure",15,na,24
What Google Can't Tell Us about Internet Auctions (and What It Can) [article],"Hurt, Christine (Cited 280 times)",8773,"University of Toledo Law Review, Vol. 37, Issue 2 (Winter 2006), pp. 403-438",37 U. Tol. L. Rev. 403 (Winter 2006),"Internet, Commitment, Securities",11,na,9
"Of Breaches of the Peace, Home Invasions, and Securities Fraud [article]","Hurt, Christine (Cited 280 times)",8773,"American Criminal Law Review, Vol. 44, Issue 4 (Fall 2007), pp. 1365-1382",44 Am. Crim. L. Rev. 1365 (2007),"Securities, Criminal Law and Procedure",9,na,4
Blogging While Untenured and Other Extreme Sports [article],"Hurt, Christine (Cited 280 times); Yin, Tung (Cited 379 times)",8773,"Washington University Law Review, Vol. 84, Issue 5 (2006), pp. 1235-1256",84 Wash. U. L. Rev. 1235 (2006),"Sports, Legal Education, Law Students, Obligations, Students",9,na,4
The Bluebook at Eighteen: Reflecting and Ratifying Current Trends in Legal Scholarship [article],"Hurt, Christine (Cited 280 times)",8773,"Indiana Law Journal, Vol. 82, Issue 1 (Winter 2007), pp. 49-68",82 Ind. L.J. 49 (2007),"Legal Analysis and Writing, Age, Antitrust, Trade Regulation, Court Procedure, Practice and Procedure",8,na,9
Initial Public Offerings and the Failed Promise of Disintermediation [article],"Hurt, Christine (Cited 280 times)",8773,"Entrepreneurial Business Law Journal, Vol. 2, Issue 2 (2008), pp. 703-742",2 Entrepreneurial Bus. L.J. 703 (2007-2008),"Banking, Internet, Corporations, Securities",5,na,5
The Windfall Myth [article],"Hurt, Christine (Cited 280 times)",8773,"Georgetown Journal of Law & Public Policy, Vol. 8, Issue 2 (Summer 2010), pp. 339-394",8 Geo. J.L. & Pub. Pol'y 339 (2010),"Economics, Compensation, Jurisprudence, Taxation-Federal Income",4,na,5
Regulating Compensation [article],"Hurt, Christine (Cited 280 times)",8773,"Ohio State Entrepreneurial Business Law Journal, Vol. 6, Issue 1 (2011), pp. 21-66",6 Ohio St. Entrepren. Bus. L.J. 21 (2011),"Compensation, Securities, Banking and Finance, Securities Law",4,na,10
