Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Piracy and Paradox: Innovation and Intellectual Property in Fashion Design [article],"Raustiala, Kal (Cited 1017 times); Sprigman, Christopher (Cited 713 times)",880,"Virginia Law Review, Vol. 92, Issue 8 (December 2006), pp. 1687-1778",92 Va. L. Rev. 1687 (2006),"Intellectual Property, Intellectual Property Law, Property, Congress",248,3,407
Reform(aliz)ing Copyright [article],"Sprigman, Christopher (Cited 713 times)",880,"Stanford Law Review, Vol. 57, Issue 2 (November 2004), pp. 485-568",57 Stan. L. Rev. 485 (2004-2005),"Communications Law, Law and Society, Constitutional Law, International Law",206,3,46
There's No Free Laugh (Anymore): The Emergence of Intellectual Property Norms and the Transformation of Stand-Up Comedy [article],"Oliar, Dotan (Cited 314 times); Sprigman, Christopher (Cited 713 times)",880,"Virginia Law Review, Vol. 94, Issue 8 (December 2008), pp. 1787-1868",94 Va. L. Rev. 1787 (December 2008),"Intellectual Property, Intellectual Property Law, Property, Copyright, Theft",119,na,25
Valuing Intellectual Property: An Experiment [article],"Buccafusco, Christopher (Cited 590 times); Sprigman, Christopher (Cited 713 times)",880,"Cornell Law Review, Vol. 96, Issue 1 (November 2010), pp. 1-46",96 Cornell L. Rev. 1 (2010-2011),"Intellectual Property, Intellectual Property Law, Property, Economics, Law and Society",60,na,81
The Creativity Effect [article],"Buccafusco, Christopher (Cited 590 times); Sprigman, Christopher Jon (Cited 125 times)",880,"University of Chicago Law Review, Vol. 78, Issue 1 (Winter 2011), pp. 31-52",78 U. Chi. L. Rev. 31 (2011),"Economics, Law and Society, Medicare",55,na,39
The Piracy Paradox Revisited [notes],"Raustiala, Kal (Cited 1017 times); Sprigman, Christopher (Cited 713 times)",880,"Stanford Law Review , Vol. 61, Issue 5 (March 2009), pp. 1201-1226",61 Stan. L. Rev. 1201 (March 2009),"Intellectual Property Law, Copyright",37,na,43
Du Plessis in Not Dead: South Africa's 1996 Constitution and the Application of the Bill of Rights to Private Disputes [article],"Sprigman, Chris (Cited 37 times); Osborne, Michael (Cited 37 times)",880,"South African Journal on Human Rights, Vol. 15, Issue 1 (1999), pp. 25-51",15 S. Afr. J. on Hum. Rts. 25 (1999),"South Africa, Jurisprudence, Common Law",32,na,5
Experimental Tests of Intellectual Property Laws' Creativity Thresholds [article],"Buccafusco, Christopher (Cited 590 times); Burns, Zachary C. (Cited 33 times); Fromer, Jeanne C. (Cited 736 times); Sprigman, Christopher Jon (Cited 125 times)",880,"Texas Law Review, Vol. 92, Issue 7 (June 2014), pp. 1921-1980",92 Tex. L. Rev. 1921 (June 2014),"Courts, Intellectual Property, Practice and Procedure, Property, Copyright",32,na,18
What's a Name Worth: Experimental Tests of the Value of Attribution in Intellectual Property [article],"Sprigman, Christopher Jon (Cited 125 times); Buccafusco, Christopher (Cited 590 times); Burns, Zachary (Cited 21 times)",880,"Boston University Law Review, Vol. 93, Issue 4 (July 2013), pp. 1389-1436",93 B.U. L. Rev. 1389 (2013),"Intellectual Property, Property, Intellectual Property Law, Property Law, States, Credit",21,na,20
"Fix Prices Globally, Get Sued Locally - U.S. Jurisdiction over International Cartels [article]","Sprigman, Christopher (Cited 713 times)",880,"University of Chicago Law Review, Vol. 72, Issue 1 (Winter 2005), pp. 265-288",72 U. Chi. L. Rev. 265 (Winter 2005),"International Law, Jurisdiction, International Trade, Trade Regulation",14,na,na
