Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Market for Innovation in the United States and Japan: Venture Capital and the Comparative Corporate Governance Debate [article],"Milhaupt, Curtis J. (Cited 781 times)",1650,"Northwestern University Law Review, Vol. 91, Issue 3 , pp. 865-898",91 Nw. U. L. Rev. 865 (1996-1997),"Comparative Law, Corporations, States, Banking",64,na,48
We Are the (National) Champions: Understanding the Mechanisms of State Capitalism in China [article],"Lin, Li-Wen (Cited 172 times); Milhaupt, Curtis J. (Cited 781 times)",1650,"Stanford Law Review, Vol. 65, Issue 4 (April 2013), pp. 697-760",65 Stan. L. Rev. 697 (April 2013),"Economics, International Trade, Comparative Law, Ownership",63,na,132
Creative Norm Destruction: The Evolution of Nonlegal Rules in Japanese Corporate Governance [article],"Milhaupt, Curtis J. (Cited 781 times)",1650,"University of Pennsylvania Law Review, Vol. 149, Issue 6 (June 2001), pp. 2083-2130",149 U. Pa. L. Rev. 2083 (2000-2001),"Comparative Law, Contracts, Adoption",60,na,18
Sovereign Wealth Funds and Corporate Governance: A Minimalist Response to the New Mercantilism [article],"Gilson, Ronald J. (Cited 6043 times); Milhaupt, Curtis J. (Cited 781 times)",1650,"Stanford Law Review , Vol. 60, Issue 5 (March 2008), pp. 1345-1370",60 Stan. L. Rev. 1345 (March 2008),"Corporations, Banking, Investment, Public Finance",58,na,59
"Dark Side of Private Ordering: An Institutional and Empirical Analysis of Organized Crime, The [article]","Milhaupt, Curtis J. (Cited 781 times); West, Mark D. (Cited 408 times)",1650,"University of Chicago Law Review, Vol. 67, Issue 1 (Winter 2000), pp. 41-98",67 U. Chi. L. Rev. 41 (2000),"Comparative Law, Criminal Law and Procedure",53,na,26
"A Relational Theory of Japanese Corporate Governance: Contract, Culture, and the Rule of Law [article]","Milhaupt, Curtis J. (Cited 781 times)",1650,"Harvard International Law Journal, Vol. 37, Issue 1 (Winter 1996), pp. 3-64",37 Harv. Int'l. L. J. 3 (1996),"Corporations, Rule of Law, Banking, Comparative Law, Evidence",50,na,87
In the Shadow of Delaware - The Rise of Hostile Takeovers in Japan [article],"Milhaupt, Curtis J. (Cited 781 times)",1650,"Columbia Law Review, Vol. 105, Issue 7 (November 2005), pp. 2171-2216",105 Colum. L. Rev. 2171 (2005),"Comparative Law, Corporations, Takeovers",45,na,33
Property Rights in Firms [article],"Milhaupt, Curtis J. (Cited 781 times)",1650,"Virginia Law Review, Vol. 84, Issue 6 (September 1998), pp. 1145-1194",84 Va. L. Rev. 1145 (1998),"Property, Politics, Agency",42,na,3
Re-examining Legal Transplants: The Director's Fiduciary Duty to Japanese Corporate Law [article],"Kanda, Hideki (Cited 280 times); Milhaupt, Curtis J. (Cited 781 times)",1650,"American Journal of Comparative Law, Vol. 51, Issue 4 (Fall 2003), pp. 887-902",51 Am. J. Comp. L. 887 (2003),"Corporations, Corporations: Directors, Reception of Law, Jury, Human Rights",37,na,28
Reputational Sanctions in China's Securities Market [article],"Liebman, Benjamin L. (Cited 231 times); Milhaupt, Curtis J. (Cited 781 times)",1650,"Columbia Law Review , Vol. 108, Issue 4 (May 2008), pp. 929-983",108 Colum. L. Rev. 929 (2008),"Comparative Law, Sanctions, Securities, Capital Market, Derivative Securities, Banking",36,na,82
Choice as Regulatory Reform: The Case of Japanese Corporate Governance [article],"Gilson, Ronald J. (Cited 6043 times); Milhaupt, Curtis J. (Cited 781 times)",1650,"American Journal of Comparative Law, Vol. 53, Issue 2 (Spring 2005), pp. 343-378",53 Am. J. Comp. L. 343 (2005),"Corporations, Comparative Law, Contracts, Bibliographies",31,na,43
