Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Guns as Smut: Defending the Home-Bound Second Amendment [article],"Miller, Darrell A. H. (Cited 283 times)",2856,"Columbia Law Review , Vol. 109, Issue 6 (October 2009), pp. 1278-1356",109 Colum. L. Rev. 1278 (2009),"First Amendment, Second Amendment",72,2,39
"Guns, Inc.: Citizens United, McDonald, and the Future of Corporate Constitutional Rights [article]","Miller, Darrell A. H. (Cited 283 times)",2856,"New York University Law Review, Vol. 86, Issue 4 (October 2011), pp. 887-957",86 N.Y.U. L. Rev. 887 (2011),"Constitutional Rights, Corporations, Firearms, Second Amendment, Business Organizations, Cruel and Unusual Punishment, Death, Punishment, Constitutional Law, Jurisdiction",66,6,56
"Text, History, and Tradition: What the Seventh Amendment Can Teach Us about the Second [article]","Miller, Darrell A. H. (Cited 283 times)",2856,"Yale Law Journal, Vol. 122, Issue 4 (Janaury 2013), pp. 852-939",122 Yale L. J. 852 (2012-2013),"History, Death, Legal History, Constitutional Law, Jury, Practice and Procedure",39,1,28
"White Cartels, the Civil Rights Act of 1866, and the History of Jones v. Alfred H. Mayer Co. [article]","Miller, Darrell A. H. (Cited 283 times)",2856,"Fordham Law Review, Vol. 77, Issue 3 (December 2008), pp. 999-1050",77 Fordham L. Rev. 999 (2008-2009),"Cartels, Civil Rights, Economics, History, Law and Society, Race, Thirteenth Amendment",25,na,20
Iqbal and Empathy [comments],"Miller, Darrell A. H. (Cited 283 times)",2856,"UMKC Law Review, Vol. 78, Issue 4 (Summer 2010), pp. 999-1014",78 UMKC L. Rev. 999 (Summer 2010),"Practice and Procedure, Law Enforcement and Corrections, Sentencing, Bullying, Law and Society",16,na,11
Retail Rebellion and the Second Amendment [article],"Miller, Darrell A. H. (Cited 283 times)",2856,"Indiana Law Journal, Vol. 86, Issue 3 (Summer 2011), pp. 939-978",86 Ind. L.J. 939 (Summer 2011),"Arrest, Law Enforcement and Corrections, Legal History, Second Amendment",14,8,11
"What Is Gun Control: Direct Burdens, Incidental Burdens, and the Boundaries of the Second Amendment [article]","Blocher, Joseph (Cited 625 times); Miller, Darrell A. H. (Cited 283 times)",2856,"University of Chicago Law Review, Vol. 83, Issue 1 (Winter 2016), pp. 295-356",83 U. Chi. L. Rev. 295 (2016),"Boundaries, Second Amendment, Judicial Review, Constitutional Law, Jurisprudence",13,na,na
The Thirteenth Amendment and the Regulation of Custom [article],"Miller, Darrell A. H. (Cited 283 times)",2856,"Columbia Law Review, Vol. 112, Issue 7 (November 2012), pp. 1811-1854",112 Colum. L. Rev. 1811 (2012),"Regulation, Thirteenth Amendment",9,1,12
"Peruta, the Home-Bound Second Amendment, and Fractal Originalism [article]","Miller, Darrell A. H. (Cited 283 times)",2856,"Harvard Law Review Forum, Vol. 127, pp. 238-242",127 Harv. L. Rev. F. 238 (2013-2014),Second Amendment,6,na,7
Racial Cartels and the Thirteenth Amendment Enforcement Power [article],"Miller, Darrell A. H. (Cited 283 times)",2856,"Kentucky Law Journal, Vol. 100, Issue 1 (2011-2012), pp. 23-42",100 Ky. L.J. 23 (2011-2012),"Cartels, Economics, Thirteenth Amendment, Discrimination, Disability",5,na,41
"State Domas, Neutral Principles, and the Mobius of State Action [comments]","Miller, Darrell A. H. (Cited 283 times)",2856,"Temple Law Review, Vol. 81, Issue 4 (Winter 2008), pp. 967-994",81 Temp. L. Rev. 967 (2008),"Fourteenth Amendment, Sexuality and the Law, State Action, Domestic Relations, Marriage, Public Policy, Civil Rights, Taxation, Taxation-Federal Income, Taxation-State and Local",4,na,na
The Stain of Slavery: Notes Toward an Attainder Theory of the Thirteenth Amendment [notes],"Miller, Darrell A. H. (Cited 283 times)",2856,"University of Toledo Law Review, Vol. 38, Issue 3 (Spring 2007), pp. 1011-1036",38 U. Tol. L. Rev. 1011 (2006-2007),"Attainder, Slavery, Thirteenth Amendment, Employees, History, Legal History, Civil Rights, Congress",4,na,7
"Self-Defense, Defense of Others, and the State [article]","Miller, Darrell A. H. (Cited 283 times)",2856,"Law and Contemporary Problems, Vol. 80, Issue 2 (2017), pp. 85-102",80 Law & Contemp. Probs. 85 (2017),"Criminal Law and Procedure, Law Enforcement, Firearms, Handguns",3,na,62
Institutions and the Second Amendment [article],"Miller, Darrell A. H. (Cited 283 times)",2856,"Duke Law Journal, Vol. 66, Issue 1 (October 2016), pp. 69-120",66 Duke L.J. 69 (2016-2017),"Constitutional Law, Jurisprudence, Second Amendment, Ownership, Regulation, Zoning",1,2,25
The Second Generation of Second Amendment Law & Policy [comments],"Ruben, Eric M. (Cited 14 times); Miller, Darrell A. H. (Cited 283 times)",2856,"Law and Contemporary Problems, Vol. 80, Issue 2 (2017), pp. 1-10",80 Law & Contemp. Probs. 1 (2017),"Banking, Bankruptcy Law, Consumer Protection Law, Economics, Legal History, Legislation, Politics, Second Amendment, Trade Regulation, Firearms",1,na,22
Analogies and Institutions in the First and Second Amendments: A Response to Professor Magarian [comments],"Miller, Darrell A. H. (Cited 283 times)",2856,"Texas Law Review See Also, Vol. 91, pp. 137-151",91 Tex. L. Rev. See Also 137 (2012),"Second Amendment, First Amendment, Education Law",1,na,3
Romanticism Meets Realism in Second Amendment Adjudication [article] *new*,"Miller, Darrell A. H. (Cited 283 times)",2856,"Duke Law Journal Online, Vol. 68, pp. 33-40",68 Duke L.J. Online 33 (2018-2019),na,1,na,na
A Short Reply to Professor Volokh [comments],"Miller, Darrell A. H. (Cited 283 times)",2856,"Columbia Law Review Sidebar, Vol. 109, pp. 105-106",109 Colum. L. Rev. Sidebar 105 (2009),"Second Amendment, Arrest, Law Enforcement and Corrections, Legal History",na,na,3
