Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Critical Habitat and the Challenge of Regulating Small Harms [article],"Owen, Dave (Cited 271 times)",2636,"Florida Law Review, Vol. 64, Issue 1 (January 2012), pp. 141-200",64 Fla. L. Rev. 141 (January 2012),"Natural Resources Law, Endangered Species",32,na,15
Technocracy and Democracy: Conflicts between Models and Participation in Environmental Law and Planning [article],"Fine, James D. (Cited 29 times); Owen, Dave (Cited 271 times)",2636,"Hastings Law Journal, Vol. 56, Issue 5 (2004-2005), pp. 901-982",56 Hastings L.J. 901 (2004-2005),"Administration Law, Democracy, Environment, Environmental Law, Science and Technology, Technology, Evidence, Trade Regulation",29,na,37
"Probabilities, Planning Failures, and Environmental Law [article]","Owen, Dave (Cited 271 times)",2636,"Tulane Law Review, Vol. 84, Issue 2 (December 2009), pp. 265-336",84 Tul. L. Rev. 265 (2009-2010),"Environmental Law, Natural Resources Law, Administration Law, Fisheries, Fishing, Natural Resources",28,na,19
"The Mono Lake Case, the Public Trust Doctrine, and the Administrative State [article]","Owen, Dave (Cited 271 times)",2636,"UC Davis Law Review, Vol. 45, Issue 3 (February 2012), pp. 1099-1154",45 U.C.D. L. Rev. 1099 (2011-2012),"Legal History, Water, Wildlife",24,na,28
"Urbanization, Water Quality, and the Regulated Landscape [article]","Owen, Dave (Cited 271 times)",2636,"University of Colorado Law Review, Vol. 82, Issue 2 (2011), pp. 431-504",82 U. Colo. L. Rev. 431 (2011),"Environment, Land Use Planning, Water, Agriculture Law, Regulation",23,na,34
"Law, Environmental Dynamism, Reliability: The Rise and Fall of Calfed [article]","Owen, Dave (Cited 271 times)",2636,"Environmental Law, Vol. 37, Issue 4 (Fall 2007), pp. 1145-1216",37 Envtl. L. 1145 (2007),"International Law, Environment",22,na,4
Regional Federal Administration [article],"Owen, Dave (Cited 271 times)",2636,"UCLA Law Review, Vol. 63, Issue 1 (2016), pp. 58-121",63 UCLA L. Rev. 58 (2016),"Administration Law, Constitutional Law, Federalism, Politics, Sovereignty, Jurisdiction, Standing",20,na,15
Climate Change and Environmental Assessment Law [article],"Owen, Dave (Cited 271 times)",2636,"Columbia Journal of Environmental Law, Vol. 33, Issue 1 (2008), pp. 57-120",33 Colum. J. Envtl. L. 57 (2008),"State and Local Government Law, Environment, International Law, Legislation",19,na,18
"Mapping, Modeling, and the Fragmentation of Environmental Law [article]","Owen, Dave (Cited 271 times)",2636,"Utah Law Review, Vol. 2013, Issue 1 (2013), pp. 219-282",2013 Utah L. Rev. 219 (2013),"Environment, Environmental Law, Science and Technology, Natural Resources Law, Law and Society",14,na,17
Taking Groundwater [article],"Owen, Dave (Cited 271 times)",2636,"Washington University Law Review, Vol. 91, Issue 2 (2013), pp. 253-307",91 Wash. U. L. Rev. 253 (2013-2014),"Groundwater, Water, Health, Health Law, Pollution, Public Health",12,na,10
Trading Dams [article],"Owen, Dave (Cited 271 times); Apse, Colin (Cited 10 times)",2636,"U.C. Davis Law Review, Vol. 48, Issue 3 (February 2015), pp. 1043-1110",48 U.C.D. L. Rev. 1043 (2014-2015),"Dams, Water Law, Credit, Economics, Taxation-Federal",10,na,15
The Disappointing History of the National Marine Sanctuaries Act [article],"Owen, Dave (Cited 271 times)",2636,"New York University Environmental Law Journal, Vol. 11, Issue 3 (2003), pp. 711-757",11 N.Y.U. Envtl L.J. 711 (2002-2003),"History, Natural Resources Law, Zoning, Oil, Gas, and Mineral Law",10,na,10
Gibbs v. Babbitt [notes],"Owen, Dave (Cited 271 times)",2636,"Ecology Law Quarterly, Vol. 28, Issue 2 (2001), pp. 377-398",28 Ecology L.Q. 377 (2001-2002),"Natural Resources Law, Commerce, Commerce Clause, Endangered Species, Regulation",8,na,2
"Prescriptive Laws, Uncertain Science, and Political Stories: Forest Management in the Sierra Nevada [article]","Owen, Dave (Cited 271 times)",2636,"Ecology Law Quarterly, Vol. 29, Issue 4 (2002), pp. 747-804",29 Ecology L.Q. 747 (2002),"Agriculture Law, Natural Resources Law, Administration Law, Conservation, States",8,na,3
Little Streams and Legal Transformations [article],"Owen, Dave (Cited 271 times)",2636,"Utah Law Review, Vol. 2017, Issue 1 (2017), pp. 1-56",2017 Utah L. Rev. 1 (2017),"Mistake, Water, Environment",6,na,15
Interdisciplinary Research and Environmental Law [article],"Owen, Dave (Cited 271 times); Noblet, Caroline (Cited 2 times)",2636,"Ecology Law Quarterly, Vol. 41, Issue 4 (2014), pp. 887-938",41 Ecology L.Q. 887 (2014),"Environmental Law, Legal Education, Legal Research, Research, Standing, History",2,na,26
After the TMDLs [article],"Owen, Dave (Cited 271 times)",2636,"Vermont Journal of Environmental Law, Vol. 17, Issue 4 (Spring 2016), pp. 845-870",17 Vt. J. Envtl. L. 845 (2015-2016),"Transportation, Administration Law, Economics, Water, Courts",2,na,4
Water and Taxes [article],"Owen, Dave (Cited 271 times)",2636,"U.C. Davis Law Review, Vol. 50, Issue 4 (April 2017), pp. 1559-1618",50 U.C.D. L. Rev. 1559 (2016-2017),"Water, Economics, Water Law",1,na,16
Sea-Level Rise and the Endangered Species Act [article],"Owen, Dave (Cited 271 times)",2636,"Louisiana Law Review, Vol. 73, Issue 1 (Fall 2012), pp. 119-150",73 La. L. Rev. 119 (Fall 2012),"Law of the Sea, Environment, Health Law, Climate Change, Environmental Protection, International Law",1,na,13
"Auctions, Taxes, and Air [article]","Owen, Dave (Cited 271 times)",2636,"UCLA Law Review Discourse, Vol. 65, pp. 64-87",65 UCLA L. Rev. Discourse 64 (2017-2018),"Taxation-State and Local, Gaming, Regulation",na,na,12
Cooperative Subfederalism [article],"Owen, Dave (Cited 271 times)",2636,"UC Irvine Law Review, Vol. 9, Issue 1 (September 2018), pp. 177-228",9 UC Irvine L. Rev. 177 (2018-2019),"Environmental Law, Land Use, State and Local Government Law, Federalism, Natural Resources, Natural Resources Law",na,na,19
Foreword [comments],"Owen, Dave (Cited 271 times)",2636,"Ecology Law Quarterly, Vol. 29, Issue 2 (2002), pp. 131-136",29 Ecology L.Q. 131 (2002),"Civil Rights, Environmental Justice, Remedies",na,na,1
The Conservative Turn against Compensatory Mitigation [comments],"Owen, Dave (Cited 271 times)",2636,"Environmental Law, Vol. 48, Issue 2 (Spring 2018), pp. 265-290",48 Envtl. L. 265 (2018),"Regulation, Water, Banking, General, Permits",na,na,25
