Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"The Past, Present, and Future of Trans-Substantivity in Federal Civil Procedure [article]","Marcus, David (Cited 444 times)",5400,"DePaul Law Review, Vol. 59, Issue 2 (Winter 2010), pp. 371-430",59 DePaul L. Rev. 371 (2009-2010),"Civil Procedure, Practice and Procedure, Procedure, Jurisprudence",69,na,15
Flawed but Noble: Desegregation Litigation and Its Implications for the Modern Class Action [article],"Marcus, David (Cited 444 times)",5400,"Florida Law Review, Vol. 63, Issue 3 (May 2011), pp. 657-718",63 Fla. L. Rev. 657 (2011),"Desegregation, Legal History, Class Actions, Due Process, Notice, Labor",60,na,16
"The History of the Modern Class Action, Part I: Sturm und Drang, 1953-1980 [article]","Marcus, David (Cited 444 times)",5400,"Washington University Law Review, Vol. 90, Issue 3 (2013), pp. 587-652",90 Wash. U. L. Rev. 587 (2012-2013),"History, Torts",56,1,39
"Erie, the Class Action Fairness Act, and Some Federalism Implications of Diversity Jurisdiction [article]","Marcus, David (Cited 444 times)",5400,"William and Mary Law Review , Vol. 48, Issue 4 (March 2007), pp. 1247-1314",48 Wm. & Mary L. Rev. 1247 (March 2007),"Federalism, Jurisdiction, Practice and Procedure, Legislation",55,na,11
The Perils of Contract Procedure: A Revised History of Forum Selection Clauses in the Federal Courts [article],"Marcus, David (Cited 444 times)",5400,"Tulane Law Review , Vol. 82, Issue 3 (February 2008), pp. 973-1048",82 Tul. L. Rev. 973 (2007-2008),"Contracts, Courts, Federal Courts, History, Practice and Procedure, Procedure, Jurisdiction, Jurisprudence",34,1,19
Famine Crimes in International Law [article],"Marcus, David (Cited 444 times)",5400,"American Journal of International Law, Vol. 97, Issue 2 (April 2003), pp. 245-281",97 Am. J. Int'l L. 245 (2003),"Crimes, Crimes Against Humanity, International Law, Food and Drug, Human Rights Law",29,na,na
The Federal Rules of Civil Procedure and Legal Realism as a Jurisprudence of Law Reform [article],"Marcus, David (Cited 444 times)",5400,"Georgia Law Review, Vol. 44, Issue 2 (Winter 2010), pp. 433-510",44 Ga. L. Rev. 433 (2009-2010),"Jurisdiction, Medical Jurisprudence, Practice and Procedure, Criminal Law and Procedure",25,1,15
Institutions and an Interpretive Methodology for the Federal Rules of Civil Procedure [article],"Marcus, David (Cited 444 times)",5400,"Utah Law Review, Vol. 2011, Issue 3 (2011), pp. 927-986",2011 Utah L. Rev. 927 (2011),"Civil Procedure, Federal Rules of Civil Procedure, Procedure, Practice and Procedure",24,na,14
Trans-Substantivity and the Processes of American Law [article],"Marcus, David (Cited 444 times)",5400,"Brigham Young University Law Review, Vol. 2013, Issue 5 (2013), pp. 1191-1250",2013 BYU L. Rev. 1191 (2013),"Jurisprudence, Practice and Procedure, Procedure, Civil Procedure",22,na,16
The Public Interest Class Action [article],"Marcus, David (Cited 444 times)",5400,"Georgetown Law Journal, Vol. 104, Issue 4 (April 2016), pp. 777-834",104 Geo. L.J. 777 (April 2016),"Interest, Law and Society, Children, Constitutional Law, Due Process, Foster Care, Social Welfare Law, Dispute Resolution, Juveniles",21,na,60
The Normative Development of Socioeconomic Rights through Supranational Adjudication [article],"Marcus, David (Cited 444 times)",5400,"Stanford Journal of International Law, Vol. 42, Issue 1 (Winter 2006), pp. 53-102",42 Stan. J. Int'l L. 53 (2006),"Human Rights Law, Law and Society, Human Rights, States, United Nations, Comparative Law",18,na,49
From Cases to Litigation to Contract: A Comment on Stability in Civil Procedure [article],"Marcus, David (Cited 444 times)",5400,"Saint Louis University Law Journal, Vol. 56, Issue 4 (Summer 2012), pp. 1231-1268",56 St. Louis U. L.J. 1231 (2011-2012),"Civil Procedure, Law and Society, Procedure, Costs, Ethics, Fees, Regulation",7,na,7
Attorneys' Fees and the Social Legitimacy of Class Actions [notes],"Marcus, David (Cited 444 times)",5400,"University of Pennsylvania Law Review PENNumbra, Vol. 159, pp. 157-166",159 U. Pa. L. Rev. PENNumbra 157 (2010),"Attorneys, Attorneys' Fees, Class Actions, Fees",6,na,2
The Short Life and Long Afterlife of the Mass Tort Class Action [article],"Marcus, David (Cited 444 times)",5400,"University of Pennsylvania Law Review, Vol. 165, Issue 7 (June 2017), pp. 1565-1598",165 U. Pa. L. Rev. 1565 (June 2017),"Torts, History, Investment",3,na,22
