Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Punishing Drug Addicts Who Have Babies: Women of Color, Equality, and the Right of Privacy [article]","Roberts, Dorothy E. (Cited 2459 times)",2123,"Harvard Law Review , Vol. 104, Issue 7 (May 1991), pp. 1419-1482",104 Harv. L. Rev. 1419 (1990-1991),"Constitutional Law, Women, Domestic Relations, Criminal Law and Procedure, Medical Jurisprudence",515,3,47
The Social and Moral Cost of Mass Incarceration in African American Communities [article],"Roberts, Dorothy E. (Cited 2459 times)",2123,"Stanford Law Review, Vol. 56, Issue 5 (April 2004), pp. 1271-1306",56 Stan. L. Rev. 1271 (April 2004),"Criminal Law and Procedure, Law Enforcement and Corrections, Politics",222,2,2443
"Genetic Tie, The [article]","Roberts, Dorothy E. (Cited 2459 times)",2123,"University of Chicago Law Review, Vol. 62, Issue 1 (Winter 1995), pp. 209-274",62 U. Chi. L. Rev. 209 (Winter 1995),"Constitutional Law, Medical Jurisprudence, Sexuality and the Law, Women",148,3,12
"Race, Vagueness, and the Social Meaning of Order-Maintenance Policing [comments]","Roberts, Dorothy E. (Cited 2459 times)",2123,"Journal of Criminal Law and Criminology, Vol. 89, Issue 3 (Spring 1999), pp. 775-836",89 J. Crim. L. & Criminology 775 (1998-1999),"Law and Society, Maintenance, Race, Law Enforcement and Corrections, Crimes, Due Process, Law Enforcement, State and Local Government Law",111,na,73
Motherhood and Crime [article],"Roberts, Dorothy E. (Cited 2459 times)",2123,"Iowa Law Review, Vol. 79, Issue 1 (October 1993), pp. 95-142",79 Iowa L. Rev. 95 (1993-1994),"Child Neglect, Drug Abuse, Jurisprudence, Women, Family Law",96,na,56
Racism and Patriarchy in the Meaning of Motherhood [article],"Roberts, Dorothy E. (Cited 2459 times)",2123,"American University Journal of Gender and the Law, Vol. 1, pp. 1-38",1 Am. U. J. Gender & L. 1 (1993),"Domestic Relations, Jurisprudence, Feminism, Gender, Harassment, Race, Sexual Harassment",94,na,82
The Value of Black Mothers' Work [comments],"Roberts, Dorothy E. (Cited 2459 times)",2123,"Connecticut Law Review, Vol. 26, Issue 3 (Spring 1994), pp. 871-878",26 Conn. L. Rev. 871 (1993-1994),"Women, Domestic Relations",87,na,93
"Crime, Race, and Reproduction [comments]","Roberts, Dorothy E. (Cited 2459 times)",2123,"Tulane Law Review , Vol. 67, Issue 6 , pp. 1945-1977",67 Tul. L. Rev. 1945 (1992-1993),"Medical Jurisprudence, Race, Reproduction, Law and Society",85,na,101
Is There Justice in Children's Rights: The Critique of Federal Family Preservation Policy [article],"Roberts, Dorothy E. (Cited 2459 times)",2123,"University of Pennsylvania Journal of Constitutional Law, Vol. 2, Issue 1 (December 1999), pp. 112-140",2 U. Pa. J. Const. L. 112 (1999-2000),"Children, Adoption, Evidence, Research",77,na,32
"Prison, Foster Care, and the Systemic Punishment of Black Mothers [article]","Roberts, Dorothy E. (Cited 2459 times)",2123,"UCLA Law Review, Vol. 59, Issue 6 (August 2012), pp. 1474-1501",59 UCLA L. Rev. 1474 (2011-2012),"Domestic Relations, Foster Care, Juveniles, Punishment, Women, Equity",73,3,572
