Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Overcriminalization Phenomenon [article],"Luna, Erik (Cited 1146 times)",43,"American University Law Review, Vol. 54, Issue 3 (February 2005), pp. 703-746",54 Am. U. L. Rev. 703 (2004-2005),"Charities, Commerce, Commerce Clause, Fundraising, Jurisdiction, State and Local Government Law, Plea Bargaining, Race",190,na,83
Transparent Policing [article],"Luna, Erik (Cited 1146 times)",43,"Iowa Law Review, Vol. 85, Issue 4 (May 2000), pp. 1107-1194",85 Iowa L. Rev. 1107 (1999-2000),"Law Enforcement and Corrections, Criminal Law and Procedure, Sentencing, Judges",121,2,42
"Punishment Theory, Holism, and the Procedural Conception of Restorative Justice [article]","Luna, Erik (Cited 1146 times)",43,"Utah Law Review, Vol. 2003, Issue 1 (2003), pp. 205-302",2003 Utah L. Rev. 205 (2003),"Legal History, Capital Punishment, Criminal Law and Procedure, Homicide, Model Penal Code, Sentencing, Verdicts, Jurisprudence",100,na,129
Sovereignty and Suspicion [article],"Luna, Erik G. (Cited 1146 times)",43,"Duke Law Journal , Vol. 48, Issue 4 (February 1999), pp. 787-890",48 Duke L.J. 787 (February 1999),"Constitutional Law, Criminal Law and Procedure, Economics, Law Enforcement",80,3,9
Mandatory Minimalism [article],"Luna, Erik (Cited 1146 times); Cassell, Paul G. (Cited 1726 times)",43,"Cardozo Law Review, Vol. 32, Issue 1 (September 2010), pp. 1-84",32 Cardozo L. Rev. 1 (2010-2011),"Judges, Criminal Law and Procedure, Sentencing",79,23,67
Principled Enforcement of Penal Codes [article],"Luna, Erik (Cited 1146 times)",43,"Buffalo Criminal Law Review, Vol. 4, Issue 1 (2000), pp. 515-626",4 Buff. Crim. L. Rev. 515 (2000-2001),"Criminal Law and Procedure, Jurisprudence, Biography, Legislation",57,na,4
Drug Exceptionalism [article],"Luna, Erik (Cited 1146 times)",43,"Villanova Law Review, Vol. 47, Issue 4 (2002), pp. 753-808",47 Vill. L. Rev. 753 (2002),"Criminal Law and Procedure, Food and Drug Law, Health Law and Policy, Legal History, Politics, Law and Society",47,na,11
Prosecutors as Judges [article],"Luna, Erik (Cited 1146 times); Wade, Marianne (Cited 44 times)",43,"Washington and Lee Law Review, Vol. 67, Issue 4 (Fall 2010 ), pp. 1413-1532",67 Wash. & Lee L. Rev. 1413 (Fall 2010 ),"Legal Profession, Professional Ethics, Criminal Law and Procedure, Psychiatry and Psychology",40,na,78
Forewrod: Three Strikes in a Nutshell [comments],"Luna, Erik G. (Cited 1146 times)",43,"Thomas Jefferson Law Review, Vol. 20, Issue 1 (Spring 1998), pp. 1-96",20 T. Jefferson L. Rev. 1 (1998),"Criminal Law and Procedure, Courts",39,4,15
Our Vietnam: The Prohibition Apocalypse [article],"Luna, Erik Grant (Cited 40 times)",43,"DePaul Law Review, Vol. 46, Issue 2 (Winter 1997), pp. 483-568",46 DePaul L. Rev. 483 (1996-1997),"Law and Society, Civil Rights, Criminal Law and Procedure",31,1,4
