Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Emerging Importance of Social Visibility in Defining a Particular Social Group and Its Potential Impact on Asylum Claims Related to Sexual Orientation and Gender [article],"Marouf, Fatma E. (Cited 172 times)",3962,"Yale Law & Policy Review, Vol. 27, Issue 1 (Fall 2008), pp. 47-106",27 Yale L. & Pol'y Rev. 47 (2008-2009),"Asylum, Gender, Sexual Orientation, Sexuality and the Law, Appeals, Human Rights Law, Immigration Law",65,na,80
Implicit Bias and Immigration Courts [article],"Marouf, Fatma E. (Cited 172 times)",3962,"New England Law Review, Vol. 45, Issue 2 (Spring 2011), pp. 417-448",45 New Eng. L. Rev. 417 (2010-2011),"Courts, Civil Rights, Psychiatry and Psychology",30,na,110
Regrouping America: Immigration Policies and the Reduction of Prejudice [article],"Marouf, Fatma E. (Cited 172 times)",3962,"Harvard Latino Law Review , Vol. 15, pp. 129-182",15 Harv. Latino L. Rev. 129 (2012),"Aliens, Colleges and Universities, Law and Society, Psychiatry and Psychology, Students, Tuition, Dispute Resolution, Human Rights Law, Politics, Civil Rights",14,na,20
Incompetent But Deportable: The Case for a Right to Mental Competence in Removal Proceedings [article],"Marouf, Fatma E. (Cited 172 times)",3962,"Hastings Law Journal, Vol. 65, Issue 4 (May 2014), pp. 929-998",65 Hastings L.J. 929 (May 2014),"Immigration Law, Psychiatry and Psychology, Due Process, Constitutional Law",13,3,7
Justice on the Fly: The Danger of Errant Deportations [article],"Marouf, Fatma (Cited 172 times); Kagan, Michael (Cited 184 times); Gill, Rebecca (Cited 17 times)",3962,"Ohio State Law Journal, Vol. 75, Issue 2 (2014), pp. 337-404",75 Ohio St. L.J. 337 (2014),"Courts, Immigration Law, Appeals, Practice and Procedure, Congress, States",11,na,3
The Role of Foreign Authorities in U.S. Asylum Adjudication [article],"Marouf, Fatma E. (Cited 172 times)",3962,"New York University Journal of International Law and Politics, Vol. 45, Issue 2 (Winter 2013), pp. 391-486",45 N.Y.U. J. Int'l L. & Pol. 391 (2012-2013),"Asylum, Refugees, Human Rights, Human Rights Law, Immigration Law, National Defense",9,na,8
The Hunt for Noncitizen Voters [article],"Marouf, Fatma (Cited 172 times)",3962,"Stanford Law Review Online, Vol. 65, pp. 66-72",65 Stan. L. Rev. Online 66 (2012-2013),"Consent, Democracy, Immigration Law, Politics, Citizenship, Constitutional Law",8,na,1
Alternatives to Immigration Detention [article],"Marouf, Fatma E. (Cited 172 times)",3962,"Cardozo Law Review, Vol. 38, Issue 6 (August 2017), pp. 2141-2192",38 Cardozo L. Rev. 2141 (2016-2017),"Constitutional Law, Detention, Disability Law, Human Rights Law, Immigration Law, Bail, Money",4,na,130
The Unconstitutional Use of Restraints in Removal Proceedings [article],"Marouf, Fatma E. (Cited 172 times)",3962,"Baylor Law Review, Vol. 67, Issue 1 (Winter 2015), pp. 214-283",67 Baylor L. Rev. 214 (2015),"Criminal Law and Procedure, Immigration Law, Disability Law, Education, Health Law, Juveniles, Torts",4,na,15
Buying Time - False Assumptions about Abusive Appeals [article],"Kagan, Michael (Cited 184 times); Marouf, Fatma (Cited 172 times); Gill, Rebecca (Cited 17 times)",3962,"Catholic University Law Review, Vol. 63, Issue 3 (Spring 2014), pp. 679-728",63 Cath. U. L. Rev. 679 (2013-2014),"Appeals, Immigration Law, Practice and Procedure, Courts, Congress, States",4,na,4
The Rising Bar for Persecution in Asylum Cases Involving Sexual and Reproductive Harm [article],"Marouf, Fatma E. (Cited 172 times)",3962,"Columbia Journal of Gender and Law, Vol. 22, Issue 1 (2011), pp. 81-172",22 Colum. J. Gender & L. 81 (2011),"Asylum, Immigration Law, Sexuality and the Law, Gender, Female Genital Mutilation",3,na,42
A Particularly Serious Exception to the Categorical Approach [article],"Marouf, Fatma (Cited 172 times)",3962,"Boston University Law Review, Vol. 97, Issue 4 (July 2017), pp. 1427-1486",97 B.U. L. Rev. 1427 (2017),"Criminal Law and Procedure, Immigration Law, International Law, Sentencing",2,na,31
Alienage Classifications and the Denial of Health Care to Dreamers [article],"Marouf, Fatma (Cited 172 times)",3962,"Washington University Law Review, Vol. 93, Issue 5 (2016), pp. 1271-1340",93 Wash. U. L. Rev. 1271 (2015-2016),"Fourteenth Amendment, Health, Immigration Law, Education, Students",2,na,17
