Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Reinventing Sovereignty: Federalism as a Constraint on the Voting Rights Act [article],"Tolson, Franita (Cited 149 times)",4685,"Vanderbilt Law Review, Vol. 65, Issue 4 (May 2012), pp. 1195-1260",65 Vand. L. Rev. 1195 (May 2012),"Federalism, Sovereignty, Voting, Elections",31,na,15
Partisan Gerrymandering as a Safeguard of Federalism [article],"Tolson, Franita (Cited 149 times)",4685,"Utah Law Review, Vol. 2010, Issue 3 (2010), pp. 859-910",2010 Utah L. Rev. 859 (2010),"Federalism, Politics, First Amendment",26,na,28
The Boundaries of Litigating Unconscious Discrimination: Firm-Based Remedies in Response to a Hostile Judiciary [article],"Tolson, Franita (Cited 149 times)",4685,"Delaware Journal of Corporate Law, Vol. 33, Issue 2 (2008), pp. 347-422",33 Del. J. Corp. L. 347 (2008),"Boundaries, Discrimination, Employment Practice, Judiciary, Remedies",20,na,9
The Constitutional Structure of Voting Rights Enforcement [article],"Tolson, Franita (Cited 149 times)",4685,"Washington Law Review, Vol. 89, Issue 2 (June 2014), pp. 379-440",89 Wash. L. Rev. 379 (2014),"Fourteenth Amendment, Politics, Voting, History, Race and Ethnicity",17,na,15
What Is Abridgment: A Critique of Two Section Twos [article],"Tolson, Franita (Cited 149 times)",4685,"Alabama Law Review, Vol. 67, Issue 2 (2015), pp. 433-484",67 Ala. L. Rev. 433 (2015-2016),"Fourteenth Amendment, Criminal Law and Procedure, Politics",13,na,10
Protecting Political Participation through the Voter Qualifications Clause of Article I [article],"Tolson, Franita (Cited 149 times)",4685,"Boston College Law Review, Vol. 56, Issue 1 (2015), pp. 159-214",56 B.C. L. Rev. 159 (2015),"Constitutional Law, Voting, Elections, Federalism, Judges, Right to Vote",12,3,18
Benign Partisanship [article],"Tolson, Franita (Cited 149 times)",4685,"Notre Dame Law Review, Vol. 88, Issue 1 (November 2012), pp. 395-456",88 Notre Dame L. Rev. 395 (2012-2013),"Politics, Redistricting, Federalism, Fourteenth Amendment",12,na,16
Litigating under the Voting Rights Act after the Texas Redistricting Cases [article],"Tolson, Franita (Cited 149 times)",4685,"Federal Lawyer, Vol. 59, Issue 5 (June 2012), pp. 46-53",59 Fed. Law. 46 (2012),"Constitutional Law, Politics, Elections, Redistricting, Race, Voting",6,na,4
The Union as a Safeguard against Faction: Congressional Gridlock as State Empowerment [article],"Tolson, Franita (Cited 149 times)",4685,"Notre Dame Law Review, Vol. 88, Issue 5 (June 2013), pp. 2267-2286",88 Notre Dame L. Rev. 2267 (2012-2013),"Democracy, Lobbying, Congress, Legislation, Property",5,na,21
Election Law Federalism and the Limits of the Antidiscrimination Framework [article],"Tolson, Franita (Cited 149 times)",4685,"William & Mary Law Review, Vol. 59, Issue 5 (April 2018), pp. 2211-[viii]",59 Wm. & Mary L. Rev. 2211 (2017-2018),"Federalism, Elections, Sovereignty, Voting",3,na,25
The Federalism Implications of Campaign Finance Regulation [comments],"Tolson, Franita (Cited 149 times)",4685,"University of Pennsylvania Law Review Online, Vol. 164, pp. 247-252",164 U. Pa. L. Rev. Online 247 (2015-2016),"Campaign Finance, Federalism, Regulation, Democracy, First Amendment, Politics",1,na,7
Increasing the Quantity and the Quality of the African-American Vote: Lessons for 2008 and Beyond [article],"Tolson, Franita (Cited 149 times)",4685,"Berkeley Journal of African-American Law & Policy, Vol. 10, Issue 2 (2008), pp. 313-350",10 Berkeley J. Afr.-Am. L. & Pol'y 313 (2008),"Race, Democracy, Identification, Politics, Voting",1,na,6
Second-Order Diverse in Name Only: Sovereign Authority in Disaggregated Institutions [article],"Tolson, Franita (Cited 149 times)",4685,"Tulsa Law Review, Vol. 48, Issue 3 (Spring 2013), pp. 455-476",48 Tulsa L. Rev. 455 (2012-2013),"Law and Society, Politics, Federalism, Democracy",1,na,5
The Spectrum of Congressional Authority over Elections [article],"Tolson, Franita (Cited 149 times)",4685,"Boston University Law Review, Vol. 99, Issue 2 (March 2019), pp. 317-394",99 B.U. L. Rev. 317 (2019),"Elections, Federalism, Sovereignty, Voting",na,na,7
Symposium - The Law of Democracy at a Crossroads: Reflecting on Fifty Years of Voting Rights and the Judicial Regulation of the Political Thicket: Introduction [comments],"Tolson, Franita (Cited 149 times)",4685,"Florida State University Law Review, Vol. 43, Issue 2 (Winter 2016), pp. 345-352",43 Fla. St. U. L. Rev. 345 (2015-2016),"Fourteenth Amendment, Politics, Voting",na,na,5
