Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Criminal Attempts [article],"Yaffe, Gideon (Cited 40 times)",555,"Yale Law Journal, Vol. 124, Issue 1 (October 2014), pp. 92-157",124 Yale L. J. 92 (2014-2015),"Criminal Law and Procedure, Jurisprudence, Philosophy, Comparative Law, Crimes",8,na,50
Conditional Intent and Mens Rea [article],"Yaffe, Gideon (Cited 40 times)",555,"Legal Theory, Vol. 10, Issue 4 (December 2004), pp. 273-310",10 LEG 273 (2004),"Criminal Law and Procedure, Homicide",7,na,12
Reasonableness in the Law and Second-Personal Address [article],"Yaffe, Gideon (Cited 40 times)",555,"Loyola of Los Angeles Law Review , Vol. 40, Issue 3 (Spring 2007), pp. 939-976",40 Loy. L. A. L. Rev. 939 (2006-2007),"Jurisprudence, Contracts, First Amendment",6,na,5
"Intoxication, Recklessness, and Negligence [article]","Yaffe, Gideon (Cited 40 times)",555,"Ohio State Journal of Criminal Law, Vol. 9, Issue 2 (Spring 2012), pp. 545-584",9 Ohio St. J. Crim. L. 545 (2011-2012),"Evidence, Law Enforcement and Corrections, Criminal Law and Procedure, Homicide, Manslaughter",5,na,32
The Government Beguiled Me: The Entrapment Defense and the Problem of Private Entrapment [article],"Yaffe, Gideon (Cited 40 times)",555,"Journal of Ethics & Social Philosophy, Vol. 1, Issue 1 (April 2005), pp. 1-50",1 J. Ethics & Soc. Phil. 1 (2005-2006),"Criminal Law and Procedure, Economics",4,na,10
"Moore on causing, acting, and complicity [article]","Yaffe, Gideon (Cited 40 times)",555,"Legal Theory, Vol. 18, Issue 4 (December 2012), pp. 437-458",18 LEG 437 (2012),"Torts, Causation, Liability",4,na,7
Replies to Guerrero and Greenberg [article],"Yaffe, Gideon (Cited 40 times)",555,"Jurisprudence, Vol. 6, Issue 1 (2015), pp. 112-124",Full Text Not Currently Available in HeinOnline,"Criminal Law and Procedure, Psychiatry and Psychology, Sentencing, Jurisprudence, Law Enforcement and Corrections",2,na,na
"Attempt, Risk-Creation, and Change of Mind: Reflections on Herzog [article]","Yaffe, Gideon (Cited 40 times)",555,"Ohio State Journal of Criminal Law, Vol. 9, Issue 2 (Spring 2012), pp. 779-788",9 Ohio St. J. Crim. L. 779 (2011-2012),"Comparative Law, Crimes, Philosophy, Endangerment",2,na,9
"Reply to Jan Broersen, Thomas Nadelhoffer and Steven Sverdlik [comments]","Yaffe, Gideon (Cited 40 times)",555,"Jurisprudence, Vol. 3, Issue 2 (2012), pp. 489-504",3 Jurisprudence 489 (2012),"Criminal Law and Procedure, Jurisprudence, Sentencing",1,na,2
"Trying to defend Attempts: Replies to Bratman, Brink, Alexander, and Moore [article]","Yaffe, Gideon (Cited 40 times)",555,"Legal Theory, Vol. 19, Issue 2 (June 2013), pp. 178-[v]",19 LEG 178 (2013),"Law and Society, Criminal Law and Procedure, Jurisprudence, Criminal Act",1,na,3
"Harmfulness, Wrongfulness, Lesser Evils and Risk-Creation: A Comment on Douglas Husak's Overcriminalization [article]","Yaffe, Gideon (Cited 40 times)",555,"Jerusalem Review of Legal Studies, Vol. 1, Issue 1 (2010), pp. 35-47",1 Jrslm. Rev. Legal Stud. 35 (2010),"Comparative Law, Criminal Law and Procedure, Intoxication, Model Penal Code, Self-Defense",na,na,9
"The Legal Importance of Trying: Reply to Enoch, Dahan-Katz, and Berman [article]","Yaffe, Gideon (Cited 40 times)",555,"Jerusalem Review of Legal Studies, Vol. 6, Issue 1 (December 2012), pp. 51-78",6 Jrslm. Rev. Legal Stud. 51 (2012),"Civil Disobedience, Age, Criminal Law, Assisted Suicide, Euthanasia, Evidence, Suicide",na,na,2
Excusing Mistakes of Law: A View Sketched [article],"Yaffe, Gideon (Cited 40 times)",555,"Jurisprudence, Vol. 6, Issue 1 (2015), pp. 77-80",Full Text Not Currently Available in HeinOnline,"Law and Society, Necessity Defense, Criminal Law and Procedure, Economics",na,na,na
"Prevention and Imminence, Pre-Punishment and Actuality [article]","Yaffe, Gideon (Cited 40 times)",555,"San Diego Law Review, Vol. 48, Issue 4 (November-December 2011), pp. 1205-1228",48 San Diego L. Rev. 1205 (2011),Punishment,na,na,5
