Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Women, Fairness, and Social Security [article]","Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",4922,"Iowa Law Review, Vol. 82, Issue 4 (May 1997), pp. 1209-1256",82 Iowa L. Rev. 1209 (May 1997),"Social Security, Women, Discrimination, Gender, Law and Society, Race, Retirement",33,na,8
Probate Law Reform and Nonprobable Transfers [article],"McCouch, Grayson M. P. (Cited 222 times)",4922,"University of Miami Law Review, Vol. 62, Issue 3 (April 2008), pp. 757-766",62 U. Miami L. Rev. 757 (2007-2008),"Law Reform, Probate, Probate Law, Uniform Probate Code, Estate Planning, Trusts",18,na,7
Death without Taxes [article],"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",4922,"Virginia Tax Review, Vol. 20, Issue 3 (Spring 2001), pp. 499-556",20 Va. Tax Rev. 499 (2000-2001),"Death, Estate Planning, Taxation-Federal, State and Local Government Law",18,na,6
Estate Tax Repeal: Through the Looking Glass [article],"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",4922,"Virginia Tax Review, Vol. 22, Issue 2 (Fall 2002), pp. 187-230",22 Va. Tax Rev. 187 (2002-2003),"State and Local Government Law, Death, Property, Taxation-Federal",18,na,9
Who Killed the Rule against Perpetuities [article],"McCouch, Grayson M. P. (Cited 222 times)",4922,"Pepperdine Law Review, Vol. 40, Special Issue (2013), pp. 1291-1306",40 Pepp. L. Rev. 1291 (2012-2013),"Rule Against Perpetuities, Trusts, States",16,na,6
Social Security Reform: Lessons from Private Pensions [article],"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",4922,"Cornell Law Review, Vol. 92, Number 2 (January 2007), pp. 297-322",92 Cornell L. Rev. 297 (2006-2007),"Pensions, Social Security, Employment Practice, Retirement",15,1,6
"Family Limited Partnerships: Discounts, Options, and Disappearing Value [comments]","Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",4922,"Florida Tax Review, Vol. 6, Issue 6 (2004), pp. 649-675",6 Fla. Tax Rev. 649 (2003-2005),"Limited Partnerships, Organizations, Partnerships, Liability, Limited Liability Companies",12,na,4
Turning Slogans into Tax Policy [article],"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",4922,"Virginia Tax Review, Vol. 27, Issue 4 (Spring 2008), pp. 747-782",27 Va. Tax Rev. 747 (2007-2008),"President/Executive Department, Tax Policy, Taxation-Federal, State and Local Government Law",12,na,4
"Lipstick, Light Beer, and Back-Loaded Savings Accounts [article]","Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",4922,"Virginia Tax Review, Vol. 25, Issue 4 (Spring 2006), pp. 1101-1150",25 Va. Tax Rev. 1101 (2005-2006),"Banking, Beer, Retirement, Jurisdiction, State and Local Government Law, Death",11,na,3
The Empty Promise of Estate Tax Repeal [article],"McCouch, Grayson M. P. (Cited 222 times)",4922,"Virginia Tax Review, Vol. 28, Issue 2 (Fall 2008), pp. 369-390",28 Va. Tax Rev. 369 (2008-2009),"Taxation-Federal, State and Local Government Law, President/Executive Department, Tax Policy",10,1,3
