Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Patent Disclosure [article],"Fromer, Jeanne C. (Cited 736 times)",5827,"Iowa Law Review , Vol. 94, Issue 2 (February 2009), pp. 539-606",94 Iowa L. Rev. 539 (February 2009),"Intellectual Property Law, Jurisprudence",144,na,90
Expressive Incentives in Intellectual Property [article],"Fromer, Jeanne C. (Cited 736 times)",5827,"Virginia Law Review, Vol. 98, Issue 8 (December 2012), pp. 1745-1824",98 Va. L. Rev. 1745 (December 2012),"Intellectual Property Law, Moral Rights of Artists, Insurance Law, International Law",114,3,57
Claiming Intellectual Property [article],"Fromer, Jeanne C. (Cited 736 times)",5827,"University of Chicago Law Review, Vol. 76, Issue 2 (Spring 2009), pp. 719-796",76 U. Chi. L. Rev. 719 (2009),"Intellectual Property, Property, Intellectual Property Law, Supreme Court of the United States",82,2,24
Patentography [article],"Fromer, Jeanne C. (Cited 736 times)",5827,"New York University Law Review, Vol. 85, Issue 5 (November 2010), pp. 1444-1520",85 N.Y.U. L. Rev. 1444 (2010),"Intellectual Property Law, Courts, Laboratories, Practice and Procedure",68,3,11
A Psychology of Intellectual Property [article],"Fromer, Jeanne C. (Cited 736 times)",5827,"Northwestern University Law Review, Vol. 104, Issue 4 (2010), pp. 1441-1510",104 Nw. U. L. Rev. 1441 (2010),"Intellectual Property, Intellectual Property Law, Property, Psychiatry and Psychology, Legal History, Copyright, Software",63,na,43
The Audience in Intellectual Property Infringement [article],"Fromer, Jeanne C. (Cited 736 times); Lemley, Mark A. (Cited 14167 times)",5827,"Michigan Law Review, Vol. 112, Issue 7 (May 2014), pp. 1251-1304",112 Mich. L. Rev. 1251 (2013-2014),"Intellectual Property, Intellectual Property Law, Property, Copyright, Practice and Procedure",41,na,43
The Intellectual Property Clause's External Limitations [article],"Fromer, Jeanne C. (Cited 736 times)",5827,"Duke Law Journal, Vol. 61, Issue 7 (April 2012), pp. 1329-1414",61 Duke L.J. 1329 (2011-2012),"Constitutional Law, Intellectual Property, Intellectual Property Law, Property, Music",35,na,30
The Layers of Obviousness in Patent Law [article],"Fromer, Jeanne C. (Cited 736 times)",5827,"Harvard Journal of Law & Technology, Vol. 22, Issue 1 (Fall 2008), pp. 75-102",22 Harv. J. L. & Tech. 75 (Fall 2008),"Intellectual Property Law, Jury",32,na,22
Experimental Tests of Intellectual Property Laws' Creativity Thresholds [article],"Buccafusco, Christopher (Cited 590 times); Burns, Zachary C. (Cited 33 times); Fromer, Jeanne C. (Cited 736 times); Sprigman, Christopher Jon (Cited 125 times)",5827,"Texas Law Review, Vol. 92, Issue 7 (June 2014), pp. 1921-1980",92 Tex. L. Rev. 1921 (June 2014),"Courts, Intellectual Property, Practice and Procedure, Property, Copyright",32,na,18
An Information Theory of Copyright Law [article],"Fromer, Jeanne C. (Cited 736 times)",5827,"Emory Law Journal, Vol. 64, Issue 1 (2014), pp. 71-128",64 Emory L.J. 71 (2014-2015),"Copyright, Intellectual Property Law, Law and Society",20,na,28
