Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Unloving [article],"Chen, Jim (Cited 1472 times)",1126,"Iowa Law Review , Vol. 80, Issue 1 (October 1994), pp. 145-176",80 Iowa L. Rev. 145 (1994-95),"Education, Race, Legal Education, Affirmative Action",99,na,2
Diversity and Damnation [article],"Chen, Jim (Cited 1472 times)",1126,"UCLA Law Review, Vol. 43, Issue 6 (August 1996), pp. 1839-1912",43 UCLA L. Rev. 1839 (1995-1996),"Affirmative Action, Constitutional Law, Public Utilities, Standing, Utilities, Broadcasting",63,na,10
"American Ideology, The [article]","Chen, Jim (Cited 1472 times)",1126,"Vanderbilt Law Review, Vol. 48, Issue 4 (May 1995), pp. 809-877",48 Vand. L. Rev. 809 (May 1995),"Cooperatives, Agriculture, Antitrust",61,na,21
Webs of Life: Biodiversity Conservation as a Species of Information Policy [article],"Chen, Jim (Cited 1472 times)",1126,"Iowa Law Review, Vol. 89, Issue 2 (January 2004), pp. 495-608",89 Iowa L. Rev. 495 (2003-2004),"Biodiversity, Communications Law, Conservation, Natural Resources Law, Intellectual Property Law, Science and Technology, Copyright",57,na,17
Of Agriculture's First Disobedience and Its Fruit [article],"Chen, Jim (Cited 1472 times)",1126,"Vanderbilt Law Review, Vol. 48, Issue 5 (October 1995), pp. 1261-1333",48 Vand. L. Rev. 1261 (October 1995),"Agriculture, Conservation, Natural Resources Law, Science and Technology, Congress, Endangered Species, Legislation",55,na,13
Law as a Species of Language Acquisition [article],"Chen, Jim (Cited 1472 times)",1126,"Washington University Law Quarterly, Vol. 73, Issue 3 (Fall 1995), pp. 1263-1310",73 Wash. U. L. Q. 1263 (1995),"Judges, Jurisprudence, Statutes, Legislation",55,na,10
The Last Picture Show (On the Twilight of Federal Mass Communications Regulation) [article],"Chen, Jim (Cited 1472 times)",1126,"Minnesota Law Review, Vol. 80, Issue 6 (June 1996), pp. 1415-1510",80 Minn. L. Rev. 1415 (1995-1996),"Communications Law, Regulation, Jurisdiction, Utilities, Telecommunications",49,na,1
Legal Process and Political Economy of Telecommunications Reform [article],"Chen, Jim (Cited 1472 times)",1126,"Columbia Law Review, Vol. 97, Issue 4 (May 1997), pp. 835-873",97 Colum. L. Rev. 835 (May 1997),"Telecommunications, Communications Law, Property, Takings, Takings Clause, Jurisdiction",48,2,3
A Sober Second Look at Appellations of Origin: How the United States Will Crash France's Wine and Cheese Party [article],"Chen, Jim (Cited 1472 times)",1126,"Minnesota Journal of Global Trade, Vol. 5, Issue 1 (Winter 1996), pp. 29-64",5 Minn. J. Global Trade 29 (1996),"Food and Drug Law, States, Trade Regulation, Boundaries",40,na,11
The Authority to Regulate Broadband Internet Access Over Cable [article],"Chen, Jim (Cited 1472 times)",1126,"Berkeley Technology Law Journal, Vol. 16, Issue 2 (2001), pp. 677-728",16 Berk. Tech. L.J. 677 (2001),"Broadband, Internet, Privacy, Communications Law",37,na,7
Filburn's Legacy [article],"Chen, Jim (Cited 1472 times)",1126,"Emory Law Journal, Vol. 52, Issue 4 (Fall 2003), pp. 1719-1770",52 Emory L.J. 1719 (2003),"Agriculture Law, Constitutional Law, Jurisdiction, Communications Law, Criminal Law and Procedure, Juveniles",37,na,12
The Most Dangerous Justice: The Supreme Court at the Bar of Mathematics [article],"Edelman, Paul H. (Cited 267 times); Chen, Jim (Cited 1472 times)",1126,"Southern California Law Review, Vol. 70, Issue 1 (November 1996), pp. 63-112",70 S. Cal. L. Rev. 63 (November 1996),"Judges, Law and Society",37,na,5
Diversity in a Different Dimension: Evolutionary Theory and Affirmative Action's Destiny [article],"Chen, Jim (Cited 1472 times)",1126,"Ohio State Law Journal, Vol. 59, Issue 3 (1998), pp. 811-914",59 Ohio St. L.J. 811 (1998),"Affirmative Action, Property, Civil Rights, Education",36,1,7
Get Green or Get Out: Decoupling Environmental from Economic Objectives in Agricultural Regulation [article],"Chen, Jim (Cited 1472 times)",1126,"Oklahoma Law Review, Vol. 48, Issue 2 (Summer 1995), pp. 333-352",48 Okla. L. Rev. 333 (1995),"Regulation, Marketing, Agriculture",36,na,13
Globalization and Its Losers [comments],"Chen, Jim (Cited 1472 times)",1126,"Minnesota Journal of Global Trade, Vol. 9, Issue 1 (Winter 2000), pp. 157-218",9 Minn. J. Global Trade 157 (2000),"Administration Law, Politics, Natural Resources Law, International Law",36,na,25
A Vision Softly Creeping: Congressional Acquiescence and the Dormant Commerce Clause [comments],"Chen, Jim (Cited 1472 times)",1126,"Minnesota Law Review, Vol. 88, Issue 6 (June 2004), pp. 1764-1800",88 Minn. L. Rev. 1764 (2003-2004),"Commerce, Commerce Clause, Constitutional Law, Jurisdiction",35,na,15
Foreword--Fiburn's Forgotten Footnote--Of Farm Team Federalism and Its Fate [comments],"Chen, Jim (Cited 1472 times)",1126,"Minnesota Law Review, Vol. 82, Issue 2 (December 1997), pp. 249-316",82 Minn. L. Rev. 249 (December 1997),"Federalism, Commerce, Taxation-State and Local, Sports, Sports Facilities",32,na,2
Feudalism Unmodified: Discourses on Farms and Firms [article],"Chen, Jim (Cited 1472 times); Adams, Edward S. (Cited 524 times)",1126,"Drake Law Review, Vol. 45, Issue 2 (1997), pp. 361-434",45 Drake L. Rev. 361 (1997),"War, Age, International Law, Dower, Real Estate",30,na,6
The Mystery and the Mastery of the Judicial Power [article],"Chen, Jim (Cited 1472 times)",1126,"Missouri Law Review, Vol. 59, Issue 2 (Spring 1994), pp. 281-306",59 Mo. L. Rev. 281 (1994),"Judges, Constitutional Law, First Amendment, Jurisprudence, Public Law, Standing",28,na,5
Embryonic Thoughts on Racial Identity as New Property [article],"Chen, Jim (Cited 1472 times)",1126,"University of Colorado Law Review, Vol. 68, Issue 4 (1997), pp. 1123-1164",68 U. Colo. L. Rev. 1123 (1997),"Property, Affirmative Action, Civil Rights, Education",27,na,3
The Most Dangerous Justice Rides Again: Revisting the Power Pageant of the Justices [article],"Edelman, Paul H. (Cited 267 times); Chen, Jim (Cited 1472 times)",1126,"Minnesota Law Review, Vol. 86, Issue 1 (November 2001), pp. 131-226",86 Minn. L. Rev. 131 (2001-2002),"Judges, Law and Society, Women",27,na,8
Second Coming of Smyth v. Ames [comments],"Chen, Jim (Cited 1472 times)",1126,"Texas Law Review, Vol. 77, Issue 6 , pp. 1535-1570",77 Tex. L. Rev. 1535 (1998-1999),"Law and Society, Criminal Law and Procedure, Professional Ethics",26,na,8
