Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Fixing Frand: A Pseudo-Pool Approach to Standards-Based Patent Licensing [article],"Contreras, Jorge L. (Cited 207 times)",6269,"Antitrust Law Journal, Vol. 79, Issue 1 (2013), pp. 47-98",79 Antitrust L.J. 47 (2013),"Intellectual Property Law, Licensing, Science and Technology, Pledges, Internet, Practice and Procedure, Royalties",37,na,47
A Market Reliance Theory for FRAND Commitments and Other Patent Pledges [article],"Contreras, Jorge L. (Cited 207 times)",6269,"Utah Law Review, Vol. 2015, Issue 2 (2015), pp. 479-vi",2015 Utah L. Rev. 479 (2015),"Pledges, Jurisprudence, Patients",22,na,33
Patent Pledges [article],"Contreras, Jorge L. (Cited 207 times)",6269,"Arizona State Law Journal, Vol. 47, Issue 3 (Fall 2015), pp. 543-608",47 Ariz. St. L.J. 543 (2015),"Intellectual Property Law, Pledges, Good Faith, Jurisprudence",21,na,37
Unified Framework for RAND and Other Reasonable Royalties [article],"Contreras, Jorge L. (Cited 207 times); Gilbert, Richard J. (Cited 303 times)",6269,"Berkeley Technology Law Journal, Vol. 30, Issue 2 (Fall 2015), pp. 1451-1504",30 Berkeley Tech. L.J. 1451 (2015),"Remedies, Royalties, Licensing, Science and Technology, Trade Regulation, Courts",19,na,26
Technical Standards and Ex Ante Disclosure: Results and Analysis of an Empirical Study [article],"Contreras, Jorge L. (Cited 207 times)",6269,"Jurimetrics, Vol. 53, Issue 2 (Winter 2013), pp. 163-212",53 Jurimetrics 163 (2012-2013),"Antitrust, Licensing, Royalties",19,na,9
A Brief History of Frand: Analyzing Current Debates in Standard Setting and Antitrust through a Historical Lens [article],"Contreras, Jorge L. (Cited 207 times)",6269,"Antitrust Law Journal, Vol. 80, Issue 1 (2015), pp. 39-120",80 Antitrust L.J. 39 (2015-2016),"Antitrust, History, Intellectual Property Law, Dispute Resolution, Royalties, Licensing, Organizations",15,na,5
"Data Sharing, Latency Variables, and Science Commons [article]","Contreras, Jorge L. (Cited 207 times)",6269,"Berkeley Technology Law Journal, Vol. 25, Issue 4 (Fall 2010), pp. 1601-1672",25 Berkeley Tech. L.J. 1601 (2010),"Medical Jurisprudence, Licensing, Copyright",9,na,12
"Standards, Patent, and the National Smart Grid [article]","Contreras, Jorge L. (Cited 207 times)",6269,"Pace Law Review, Vol. 32, Issue 3 (Summer 2012), pp. 641-675",32 Pace L. Rev. 641 (2012),"Federalism, Regulation, Privacy, Law Enforcement and Corrections, National Security, Science and Technology",8,na,11
Genetic Property [article],"Contreras, Jorge L. (Cited 207 times)",6269,"Georgetown Law Journal, Vol. 105, Issue 1 (November 2016), pp. 1-54",105 Geo. L.J. 1 (2016-2017),"Medical Jurisprudence, Property, Torts, Genetics, Privacy, States",6,na,66
"Bermuda's Legacy: Policy, Patents, and the Design of the Genome Commons [article]","Contreras, Jorge L. (Cited 207 times)",6269,"Minnesota Journal of Law, Science & Technology, Vol. 12, Issue 1 (2011), pp. 61-126",12 Minn. J.L. Sci. & Tech. 61 (2011),"Medical Jurisprudence, Bioethics, Databases, Interest, Privacy, Research",6,na,11
