Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Women, Fairness, and Social Security [article]","Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",4979,"Iowa Law Review, Vol. 82, Issue 4 (May 1997), pp. 1209-1256",82 Iowa L. Rev. 1209 (May 1997),"Social Security, Women, Discrimination, Gender, Law and Society, Race, Retirement",33,na,8
The Uncertain Future of Limited Liabiliy Companies [article],"Burke, Karen C. (Cited 296 times)",4979,"American Journal of Tax Policy, Vol. 12, Issue 1 (Spring 1995), pp. 13-60",12 Am. J. Tax Pol'y 13 (1995),"Liability, Limited Liability Companies, Statute of Limitations, Corporations",23,na,3
Death without Taxes [article],"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",4979,"Virginia Tax Review, Vol. 20, Issue 3 (Spring 2001), pp. 499-556",20 Va. Tax Rev. 499 (2000-2001),"Death, Estate Planning, Taxation-Federal, State and Local Government Law",18,na,6
Estate Tax Repeal: Through the Looking Glass [article],"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",4979,"Virginia Tax Review, Vol. 22, Issue 2 (Fall 2002), pp. 187-230",22 Va. Tax Rev. 187 (2002-2003),"State and Local Government Law, Death, Property, Taxation-Federal",18,na,9
Secret Surveillance and the European Convention on Human Rights [notes],"Burke, Karen C. (Cited 296 times)",4979,"Stanford Law Review, Vol. 33, Issue 6 (July 1981), pp. 1113-1140",33 Stan. L. Rev. 1113 (July 1981),"Human Rights, Privacy, Right of Privacy, Economics, Torts",16,1,15
Social Security Reform: Lessons from Private Pensions [article],"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",4979,"Cornell Law Review, Vol. 92, Number 2 (January 2007), pp. 297-322",92 Cornell L. Rev. 297 (2006-2007),"Pensions, Social Security, Employment Practice, Retirement",15,1,6
Partnership Distributions: Options for Reform [article],"Burke, Karen C. (Cited 296 times)",4979,"Florida Tax Review, Vol. 3, Issue 12 (1998), pp. 677-730",3 Fla. Tax Rev. 677 (1996-1998),"Partnerships, Taxation, State and Local Government Law",13,na,3
"Family Limited Partnerships: Discounts, Options, and Disappearing Value [comments]","Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",4979,"Florida Tax Review, Vol. 6, Issue 6 (2004), pp. 649-675",6 Fla. Tax Rev. 649 (2003-2005),"Limited Partnerships, Organizations, Partnerships, Liability, Limited Liability Companies",12,na,4
Passthrough Entities: The Missing Element in Business Tax Reform [article],"Burke, Karen C. (Cited 296 times)",4979,"Pepperdine Law Review, Vol. 40, Special Issue (2013), pp. 1329-1344",40 Pepp. L. Rev. 1329 (2012-2013),"Business Organizations, Legislation, States, Taxation-Federal, Tax Policy, Partnerships",12,na,18
Turning Slogans into Tax Policy [article],"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",4979,"Virginia Tax Review, Vol. 27, Issue 4 (Spring 2008), pp. 747-782",27 Va. Tax Rev. 747 (2007-2008),"President/Executive Department, Tax Policy, Taxation-Federal, State and Local Government Law",12,na,4
