Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Access to Gas Markets: A Comparative Study on Access to LNG Terminals in the European Union and the United States [article],"Talus, Kim (Cited 8 times)",1241,"Houston Journal of International Law, Vol. 31, Issue 2 (Spring 2009), pp. 343-376",31 Hous. J. Int'l L. 343 (2008-2009),"European Union, States, Age, Globalization, Electricity, Natural Gas, Oil, Gas and Mineral",4,na,6
Just What is the Scope of the Essential Facilities Doctrine in the Energy Sector: Third Party Access-Friendly Interpretation in the EU v. Contractual Freedom in the US [article],"Talus, Kim (Cited 8 times)",1241,"Common Market Law Review, Vol. 48, Issue 5 (October 2011), pp. 1571-1598",48 Common Market L. Rev. 1571 (2011),"Pipelines, Natural Gas, Comparative Law, Intellectual Property, Intellectual Property Law, Property",2,na,2
First Experience under the Exemption Regime of EC Regulation 1228/2003 on Conditions for Access to the Network of Cross-Border Exchanges in Electricity [article],"Talus, Kim (Cited 8 times)",1241,"Journal of Energy & Natural Resources Law, Vol. 23, Issue 3 (August 2005), pp. 266-281",23 J. Energy & Nat. Resources L. 266 (2005),"Electricity, Regulation",2,na,3
Electricity Interconnectors: A Serious Challenge for EC Competition Law [article],"Talus, Kim (Cited 8 times); Walde, Thomas (Cited 55 times)",1241,"Competition and Regulation in Network Industries, Vol. 7, Issue 3 (2006), pp. 355-390",7 Competition & Reg. Network Indus. 355 (2006),"Electricity, Capacity, Regulation",na,na,8
The Third Legislative package and Ownership Unbundling in the Light of the European Fundamental Rights Discourse [article],"Praduroux, Sabrina; Talus, Kim (Cited 8 times)",1241,"Competition and Regulation in Network Industries, Vol. 9, Issue 1 (2008), pp. 3-28",9 Competition & Reg. Network Indus. 3 (2008),"Ownership, Electricity",na,na,9
"Angus Johnston and Guy Block, EU Energy Law [reviews]","Talus, Kim (Cited 8 times)",1241,"Common Market Law Review, Vol. 51, Issue 2 (April 2014), pp. 727-728",51 Common Market L. Rev. 727 (2014),"European Union, Criminology, Revolution, Regulation",na,na,na
"Float Like a Butterfly, Sting Like a Bee: Judicial Challenges to Renewable-Energy Support Schemes in Europe [article]","Talus, Kim (Cited 8 times)",1241,"Climate Law, Vol. 6, Issue 3-4 (2016), pp. 250-263",Full Text Not Currently Available in HeinOnline,"Renewable Energy, International Law",na,na,na
Regulation of Electricity Markets at the EU Level [article],"Zimmermann, Charles F.; Talus, Kim (Cited 8 times)",1241,"European Energy and Environmental Law Review, Vol. 17, Issue 1 (February 2008), pp. 12-22",17 Eur. Energy & Envtl. L. Rev. 12 (2008),"Deregulation, Electricity, Regulation, Agency",na,na,1
Risks for the Geographical Scope of EU Energy Law [article],"Talus, Kim (Cited 8 times); Wustenberg, Moritz",1241,"European Energy and Environmental Law Review, Vol. 26, Issue 5 (October 2017), pp. 138-147",Full Text Not Currently Available in HeinOnline,"Regulation, Rule of Law, European Union",na,na,na
Old Problems and New Challenges Will the Energy Union Provide the Answers [article],"Talus, Kim (Cited 8 times)",1241,"European Investment Law and Arbitration Review, Vol. 2, Issue 1 (January 2017), pp. 211-224",Full Text Not Currently Available in HeinOnline,"Health, Capacity, Electricity, Regulation, Renewable Energy",na,na,na
"Vertical Natural Gas Transportation Capacity, Upstream Commodity Contracts and EU Competition Law [comments]","Talus, Kim (Cited 8 times)",1241,"Finnish Yearbook of International Law, Vol. 20, pp. 459-463",Full Text Not Currently Available in HeinOnline,na,na,na,na
EU Energy Law and Policy: A Critical Account [reviews],"Talus, Kim (Cited 8 times)",1241,"Journal of Environmental Law, Vol. 27, Issue 2 (July 2015), pp. 362-367",Full Text Not Currently Available in HeinOnline,"Environmental Law, Environment",na,na,na
"First Interpretation of Energy Market Directives by the European Court of Justice - Case C-17/03, Vereniging voor Energie [article]","Talus, Kim (Cited 8 times)",1241,"Journal of Energy & Natural Resources Law , Vol. 24, Issue 1 (February 2006), pp. 39-52",24 J. Energy Nat. Resources L. 39 (2006),"Electricity, Regulation, Agency",na,na,3
National Regulatory Possibilities in Respect of Solid Recovered Fuel [article],"Turunen, Topi; Talus, Kim (Cited 8 times)",1241,"Renewable Energy Law and Policy Review (RELP), Vol. 5, Issue 2 (2014), pp. 87-92",5 Renewable Energy L. & Pol'y Rev. 87 (2014),"Recycling, Chemicals, Regulation, Waste Management",na,na,4
