Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Patent First, Ask Questions Later: Morality and Biotechnology in Patent Law [article]","Bagley, Margo A. (Cited 295 times)",1458,"William and Mary Law Review, Vol. 45, Issue 2 (December 2003), pp. 469-548",45 Wm. & Mary L. Rev. 469 (2003-2004),"Biotechnology, Cloning, Stem Cells, States",101,na,132
Patently Unconstitutional: The Geographical Limitation on Prior Art in a Small World [article],"Bagley, Margo A. (Cited 295 times)",1458,"Minnesota Law Review, Vol. 87, Issue 3 (February 2003), pp. 679-742",87 Minn. L. Rev. 679 (February 2003),"Intellectual Property Law, Natural Resources Law, Genetics, Public Land, Indian Law, Property",62,na,27
Academic Discourse and Propriety Rights: Putting Patents in Their Proper Place [article],"Bagley, Margo A. (Cited 295 times)",1458,"Boston College Law Review, Vol. 47, Issue 2 (March 2006), pp. 217-274",47 B.C. L. Rev. 217 (2005-2006),"Education, Intellectual Property Law, Technology, Science and Technology",52,na,17
Internet Business Model Patents: Obvious by Analogy [article],"Bagley, Margo A. (Cited 295 times)",1458,"Michigan Telecommunications and Technology Law Review, Vol. 7, pp. 253-288",7 Mich. Telecomm. & Tech. L. Rev. 253 (2000-2001),"Internet, States, Commerce, Commercial Law, Communications Law, Electronic Commerce",22,na,24
The Need for Speed (and Grace): Issues in a First-Inventor-to-File World [article],"Bagley, Margo A. (Cited 295 times)",1458,"Berkeley Technology Law Journal, Vol. 23, Issue 3 (Summer 2008), pp. 1035-1062",23 Berkeley Tech. L.J. 1035 (2008),"Congress, Intellectual Property Law, Legislation, Statutory Construction, States",14,na,15
"Legal Movements in Intellectual Property: Trips, Unilateral Action, Bilateral Agreements, and HIV/AIDS [article]","Bagley, Margo A. (Cited 295 times)",1458,"Emory International Law Review, Vol. 17, Issue 2 (Summer 2003), pp. 781-798",17 Emory Int'l L. Rev. 781 (2003),"Food and Drug Law, Health, Intellectual Property Law, Treaties, World Trade Organization, Industrial and Intellectual Property, Public Policy, Health Law, International Law",13,na,6
Using Section 337 of the Tariff Act of 1930 to Block Materially Different Gray Market Goods in the Common Control Context: Are Reports of its Death Greatly Exaggerated [comments],"Bagley, Margo A. (Cited 295 times)",1458,"Emory Law Journal, Vol. 44, Issue 4 (Fall 1995), pp. 1541-1590",44 Emory L. J. 1541 (1995),"Death, International Trade, States",11,1,3
The New Invention Creation Activity Boundary in Patent Law [article],"Bagley, Margo A. (Cited 295 times)",1458,"William and Mary Law Review, Vol. 51, Issue 2 (November 2009), pp. 577-608",51 Wm. & Mary L. Rev. 577 (2009-2010),"Comparative Law, General, Capacity",7,na,18
Still Patently Unconstitutional: A Reply to Professor Nard [comments],"Bagley, Margo A. (Cited 295 times)",1458,"Minnesota Law Review, Vol. 88, Issue 1 (November 2003), pp. 239-248",88 Minn. L. Rev. 239 (2003-2004),"Intellectual Property Law, Science and Technology, Industry, Software",5,na,4
The Wheat and the (GM) Tares: Lessons for Plant Patent Litigation from the Parables of Christ [article],"Bagley, Margo A. (Cited 295 times)",1458,"University of St. Thomas Law Journal, Vol. 10, Issue 3 (2013), pp. 683-[i]",10 U. St. Thomas L.J. 683 (2012-2013),"Agriculture Law, Jurisprudence, Religion, Hermeneutics",3,na,na
"Stem Cells, Cloning and Patents: What's Morality Got to Do with It [comments]","Bagley, Margo A. (Cited 295 times)",1458,"New England Law Review, Vol. 39, Issue 3 (2004-2005), pp. 501-510",39 New Eng. L. Rev. 501 (2004-2005),"Cloning, Stem Cells, Biotechnology, States",3,na,19
The Morality of Compulsory Licensing as an Access to Medicines Tool [article],"Bagley, Margo A. (Cited 295 times)",1458,"Minnesota Law Review, Vol. 102, Issue 6 (June 2018), pp. 2463-2496",102 Minn. L. Rev. 2463 (June 2018),"Licensing, Religion, Royalties, Intellectual Property Law",1,na,44
The Fallacy of Defensive Protection for Traditional Knowledge [article],"Bagley, Margo A. (Cited 295 times)",1458,"Washburn Law Journal, Vol. 58, Issue 2 (Spring 2019), pp. 323-364",58 Washburn L.J. 323 (2019),"International Law, Genetics, Intellectual Property Law, International Criminal Law, Patents, Copyrights and Trademarks, Indian Law, Organizations",1,na,14
Ask Me No Questions: The Struggle for Disclosure of Cultural and Genetic Resource Utilization in Design [article],"Bagley, Margo A. (Cited 295 times)",1458,"Vanderbilt Journal of Entertainment & Technology Law, Vol. 20, Issue 4 (Summer 2018), pp. 975-1026",20 Vand. J. Ent. & Tech. L. 975 (2017-2018),"International Trade, Industrial Design, Science and Technology, States",na,na,30
