Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Student Speech Rights in the Digital Age [article],"Papandrea, Mary-Rose (Cited 349 times)",6137,"Florida Law Review, Vol. 60, Issue 5 (December 2008), pp. 1027-1102",60 Fla. L. Rev. 1027 (2008),"Age, Education, First Amendment",92,3,37
Citizen Journalism and the Reporter's Privilege [article],"Papandrea, Mary-Rose (Cited 349 times)",6137,"Minnesota Law Review, Vol. 91, Issue 3 (February 2007), pp. 515-591",91 Minn. L. Rev. 515 (2006-2007),"Communications Law, News Reporters, Privileged Communications, Shield Laws, Age, News Media, Congress, First Amendment",68,5,150
"Lapdogs, Watchdogs, and Scapegoats: The Press and National Security Information [article]","Papandrea, Mary-Rose (Cited 349 times)",6137,"Indiana Law Journal, Vol. 83, Issue 1 (Winter 2008), pp. 233-306",83 Ind. L.J. 233 (2008),na,59,na,41
Leaker Traitor Whistleblower Spy: National Security Leaks and the First Amendment [article],"Papandrea, Mary-Rose (Cited 349 times)",6137,"Boston University Law Review, Vol. 94, Issue 2 (March 2014), pp. 449-544",94 B.U. L. Rev. 449 (2014),"First Amendment, Military, War and Peace, National Security, Communications Law, Espionage",27,1,109
Under Attack: The Public's Right to Know and the War on Terror [article],"Papandrea, Mary-Rose (Cited 349 times)",6137,"Boston College Third World Law Journal, Vol. 25, Issue 1 (Winter 2005), pp. 35-80",25 B.C. Third World L.J. 35 (2005),"Communications Law, Freedom of Information, Jurisprudence, Military, War and Peace, Administration Law",19,na,18
"Social Media, Public School, Teachers, and the First Amendment [article]","Papandrea, Mary-Rose (Cited 349 times)",6137,"North Carolina Law Review, Vol. 90, Issue 5 (June 2012), pp. 1597-1642",90 N.C. L. Rev. 1597 (2011-2012),"Education, Employment Practice, First Amendment, Social Media, Teachers, Students, Age",18,na,153
The Free Speech Rights of Off-Duty Government Employees [article],"Papandrea, Mary-Rose (Cited 349 times)",6137,"Brigham Young University Law Review, Vol. 2010, Issue 6 (2010), pp. 2117-2174",2010 BYU L. Rev. 2117 (2010),"Employees, Employment Practice, First Amendment, Government, Labor Law, Freedom of Speech",16,2,13
The Free Speech Rights of University Students [article],"Papandrea, Mary-Rose (Cited 349 times)",6137,"Minnesota Law Review, Vol. 101, Issue 5 (May 2017), pp. 1801-1862",101 Minn. L. Rev. 1801 (2016-2017),"Students, Freedom of Speech, Regulation",15,na,150
Standing to Allege Violations of the Doctrine of Specialty: An Examination of the Relationship between the Individual and the Sovereign [comments],"Papandrea, Mary-Rose (Cited 349 times)",6137,"University of Chicago Law Review, Vol. 62, Issue 3 (Summer 1995), pp. 1187-1214",62 U. Chi. L. Rev. 1187 (Summer 1995),"Criminal Law and Procedure, Criminal Procedure, Jurisdiction, Legal Profession, International Law",10,1,na
The Publication of National Security Information in the Digital Age [article],"Papandrea, Mary-Rose (Cited 349 times)",6137,"Journal of National Security Law & Policy, Vol. 5, Issue 1 (2011), pp. 119-130",5 J. Nat'l Sec. L. & Pol'y 119 (2011-2012),"Communications Law, First Amendment, Military, War and Peace, Criminal Law and Procedure",6,na,27
The Government Brand [article],"Papandrea, Mary-Rose (Cited 349 times)",6137,"Northwestern University Law Review, Vol. 110, Issue 5 (2016), pp. 1195-1234",110 Nw. U. L. Rev. 1195 (2015-2016),"Government, First Amendment, Veterans",4,na,16
Balancing and the Unauthorized Disclosure of National Security Information: A Response to Mark Fenster's Disclosure's Effects: WikiLeaks and Transparency [comments],"Papandrea, Mary-Rose (Cited 349 times)",6137,"Iowa Law Review Bulletin, Vol. 97, pp. 94-114",97 Iowa L. Rev. Bull. 94 (2012-2013),"National Security, First Amendment, Military, War and Peace",4,na,1
Where Intellectual Property and Free Speech Collide [article],"Papandrea, Mary-Rose (Cited 349 times)",6137,"Boston College Law Review, Vol. 50, Issue 5 (November 2009), pp. 1307-1314",50 B.C. L. Rev. 1307 (2009),"First Amendment, Intellectual Property, Intellectual Property Law, Property, Baseball, Publicity, Right of Publicity, Appeals, Fantasy Sports, Marketing",3,na,11
"Moving beyond Cameras in the Courtroom: Technology, the Media, and the Supreme Court [article]","Papandrea, Mary-Rose (Cited 349 times)",6137,"Brigham Young University Law Review, Vol. 2012, Issue 6 (2012), pp. 1901-1952",2012 BYU L. Rev. 1901 (2012),"Cameras in the Courtroom, Technology, Courts, Federal Courts, Oral Argument, Research",3,na,30
National Security Information Disclosures and the Role of Intent [article],"Papandrea, Mary-Rose (Cited 349 times)",6137,"William & Mary Law Review, Vol. 56, Issue 4 (March 2015), pp. 1381-1442",56 Wm. & Mary L. Rev. 1381 (2014-2015),"Criminal Law and Procedure, National Security, Communications Law, Democracy, Labor Law, Military, War and Peace, Whistleblowers, Espionage",3,na,7
"Sex and the Constitution: Sex, Religion, and Law from America's Origins to the Twenty-First Century [reviews]","Papandrea, Mary-Rose (Cited 349 times)",6137,"Michigan Law Review, Vol. 116, Issue 6 (April 2018), pp. 859-880",116 Mich. L. Rev. 859 (2017-2018),"Religion, Sex, Sexual Orientation, Constitutional Law, Military Law, First Amendment",2,na,34
Justice Scalia and the First Amendment Symposium Introduction [comments],"Papandrea, Mary-Rose (Cited 349 times)",6137,"First Amendment Law Review, Vol. 15, Issue 2 (2017), pp. 152-158",15 First Amend. L. Rev. 152 (2016-2017),"First Amendment, Judges, Jurisprudence, Legislation",na,na,5
"First Amendment Rights of Government Employees Subpoenaed to Testify about Information Learned on the Job, The (13-483) [notes]","Papandrea, Mary-Rose (Cited 349 times)",6137,"Preview of United States Supreme Court Cases, Vol. 41, Issue 7 (April 21, 2014), pp. 298-300",41 Preview U.S. Sup. Ct. Cas. 298 (2013-2014),"Employees, First Amendment, Government, Public Employees, Employment Practice, Testimony",na,na,2
